event	numu	nue	cosmict	enu	dvtx_cm
114446	-2.181->-2.740	=	=	132->126	0.1
180801	0.656->0.290	=	=	1058->1452	1.0
285567	1.639->1.460	-3.374->-3.987	=	1319->1513	0.0
314838	-0.207->-0.353	=	=	1455->1426	0.1
463565	-0.609->-0.797	-4.301->-15.000	=	1631->1475	0.0
506746	-0.506->-0.650	-3.939->-4.301	=	2427->2285	0.0
