arm	event	nfit	nunc	unc_pct	unc_len_cm	len_dead	len_cathode	len_assoc	len_bridge	len_stitch	n_dead	n_cathode	n_assoc	n_bridge	n_stitch
work-poc48-off	10550	346	81	23.4	44.7	0.0	0.0	0.0	42.6	2.2	0	0	0	3	2
work-poc48-off	111412	411	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
work-poc48-off	116962	-	-	-	-	-	-	-	-	-	-	-	-	-
work-poc48-off	122660	590	62	10.5	32.7	0.0	0.0	0.0	22.6	10.1	0	0	0	4	7
work-poc48-off	131357	427	36	8.4	29.9	0.0	0.0	0.0	27.5	2.4	0	0	0	4	2
work-poc48-off	137238	595	50	8.4	27.6	0.0	0.0	0.0	25.2	2.4	0	0	0	2	2
work-poc48-off	138009	656	70	10.7	43.8	0.0	0.0	0.0	37.8	6.0	0	0	0	3	2
work-poc48-off	163543	549	4	0.7	0.6	0.0	0.0	0.0	0.0	0.6	0	0	0	0	1
work-poc48-off	168596	833	58	7.0	42.6	0.0	0.0	0.0	40.2	2.4	0	0	0	3	2
work-poc48-off	172230	580	17	2.9	5.9	0.0	0.0	0.0	0.0	5.9	0	0	0	0	3
work-poc48-off	174637	411	28	6.8	23.4	0.0	0.0	0.0	18.6	4.8	0	0	0	1	1
work-poc48-off	196649	648	10	1.5	4.8	0.0	0.0	0.0	0.0	4.8	0	0	0	0	2
work-poc48-off	214469	1088	49	4.5	26.2	0.0	0.0	0.0	20.4	5.8	0	0	0	3	2
work-poc48-off	219295	784	55	7.0	33.5	0.0	0.0	0.5	22.8	10.1	0	0	1	3	5
work-poc48-off	234638	902	226	25.1	197.3	0.0	0.0	0.0	125.9	71.4	0	0	0	6	3
work-poc48-off	235435	261	2	0.8	0.6	0.0	0.0	0.0	0.0	0.6	0	0	0	0	1
work-poc48-off	239794	979	81	8.3	51.0	0.0	0.0	0.0	42.0	9.0	0	0	0	7	3
work-poc48-off	246579	815	76	9.3	44.0	0.0	0.0	0.0	36.4	7.7	0	0	0	5	5
work-poc48-off	256587	1734	101	5.8	91.3	0.0	0.0	0.0	89.4	1.9	0	0	0	7	3
