set	event	shower	matched	seg	cls	adj	q	length	is_main_cluster	held_conn	pdg	cluster	same_cluster	held_by	held_nseg	held_q	sib_labelled	tgt_sib	sites	hows
98	21073	60081	60081	31023	SPLIT	False	84077.5	1.684	0	2	11	31	0	31023	11	1560738.8				
98	21073	60081	60081	31024	STOLEN	False	108099.5	2.58	0	2	13	31	0	31023	11	1560738.8			from_vertices	walk_add
98	21073	60081	60081	33026	STOLEN	False	180253.3	2.581	0	2	11	33	0	31023	11	1560738.8			pass4_proximity	direct
98	21073	60081	60081	34027	STOLEN	False	38659.3	0.617	0	2	11	34	0	31023	11	1560738.8			pass4_proximity	direct
98	21073	60081	60081	57049	STOLEN	False	661575.6	15.871	0	2	11	57	0	31023	11	1560738.8			pass4_angle	direct
98	21073	60081	60081	64108	STOLEN	False	119333.5	1.351	0	2	11	64	0	31023	11	1560738.8			pass4_proximity	direct
98	21073	60081	60081	64109	STOLEN	False	231387.9	3.772	0	2	13	64	0	31023	11	1560738.8			pass4_angle	direct
98	54332	16014	16017	97060	SPLIT	False	89825.8	1.707	0	2	11	97	0	97060	16	2305782.1999999997				
98	54332	16014	16017	97062	STOLEN	False	250921.4	6.248	0	2	11	97	0	97060	16	2305782.1999999997			from_vertices	walk_add
98	54332	16014	16017	97063	STOLEN	False	215744.5	4.109	0	2	11	97	0	97060	16	2305782.1999999997			from_vertices	walk_add
98	54332	16014	16017	97064	STOLEN	False	125384.2	3.312	0	2	11	97	0	97060	16	2305782.1999999997			from_vertices	walk_add
98	54332	16014	16017	98066	STOLEN	False	707833.7	9.802	0	2	13	98	0	97060	16	2305782.1999999997			pass4_angle	direct
98	54332	16014	16017	98067	STOLEN	False	301466.6	3.573	0	2	11	98	0	97060	16	2305782.1999999997			pass4_angle	direct
98	54332	16014	16017	98068	STOLEN	False	209141.4	6.245	0	2	11	98	0	97060	16	2305782.1999999997			pass4_angle	direct
98	54332	16014	16017	99069	STOLEN	False	95828.4	0.595	0	2	2212	99	0	97060	16	2305782.1999999997			pass4_angle	direct
98	54332	16014	16017	129113	STOLEN	False	72877.7	0.687	0	2	13	129	0	97060	16	2305782.1999999997			pass4_angle	direct
98	54332	122091	122091	76038	SPLIT	False	194847.8	2.658	0	2	11	76	0	76038	1	194847.8				
98	54332	122091	122091	77039	SPLIT	False	82927.7	1.422	0	2	11	77	0	77039	4	156982.9				
98	54332	122091	122091	78040	STOLEN	False	28740.5	0.315	0	2	13	78	0	77039	4	156982.9			pass4_angle	direct
98	54332	122091	122091	79041	STOLEN	False	23573.9	0.299	0	2	13	79	0	77039	4	156982.9			pass4_angle	direct
98	54332	122091	122091	80042	SPLIT	False	35251.5	0.544	0	3	11	80	0	80042	1	35251.5				
98	54332	122091	122091	81043	SPLIT	False	122806.0	1.335	0	2	11	81	0	81043	1	122806.0				
98	54332	122091	122091	92054	STOLEN	False	21740.8	0.334	0	2	13	92	0	77039	4	156982.9			pass4_angle	direct
98	54332	122091	122091	121084	SPLIT	False	226128.1	5.353	0	2	11	121	0	121084	2	358678.5				
98	54332	122091	122091	123098	SPLIT	False	723323.8	12.184	0	4	13	123	0	123098	2	842933.5			pass4_angle	direct
98	54332	122091	122091	123099	STOLEN	False	119609.7	1.941	0	4	11	123	0	123098	2	842933.5			pass4_angle	direct
98	76346	14059	14059	14058	SPLIT	False	295535.0	6.288	1	1	11	14	1	14058	3	379962.5				
98	76346	14059	14059	32022	STOLEN	False	81197.6	0.198	0	3	2212	32	0	42033	2	402334.9			in_other_clusters_seg_cone	direct
98	76346	14059	14059	33023	STOLEN	False	18407.1	0.24	0	1	11	33	0	14058	3	379962.5				
98	76346	14059	14059	34024	STOLEN	False	120475.0	1.169	0	2	13	34	0	41031	5	482817.3			pass4_angle	direct
98	76346	14059	14059	35025	STOLEN	False	63653.7	0.259	0	2	2212	35	0	41031	5	482817.3			pass4_angle	direct
98	76346	14059	14059	36026	STOLEN	False	20402.3	0.355	0	2	11	36	0	41031	5	482817.3				
98	76346	14059	14059	39029	SPLIT	False	115848.9	0.782	0	3	2212	39	0	39029	1	115848.9				
98	76346	14059	14059	40030	STOLEN	False	66020.4	1.118	0	1	11	40	0	14058	3	379962.5				
98	76346	14059	14059	41031	SPLIT	False	131806.3	2.871	0	2	11	41	0	41031	5	482817.3				
98	76346	14059	14059	41032	STOLEN	False	146480.0	2.759	0	2	13	41	0	41031	5	482817.3			from_vertices	walk_add
98	76346	14059	14059	42033	SPLIT	False	321137.3	3.06	0	3	11	42	0	42033	2	402334.9				
98	76346	40030	49048	37027	SPLIT	False	78917.0	0.23	0	3	2212	37	0	37027	1	78917.0			pass3_cone	direct
98	76346	40030	49048	38028	SPLIT	False	69544.0	0.34	0	4	2212	38	0	38028	1	69544.0			pass3_cone	direct
98	84229	69134	69134	9058	SPLIT	False	738035.1	9.589	1	2	11	9	1	9058	8	4359104.5				
98	105946	55063	55063	35009	STOLEN	False	45144.4	0.453	0	2	13	35	0	53030	6	1425007.0000000002			pass4_angle	direct
98	105946	55063	55063	53029	STOLEN	False	722260.8	14.124	0	2	11	53	0	53030	6	1425007.0000000002			from_vertices	walk_add
98	105946	55063	55063	53030	SPLIT	False	257026.1	9.219	0	2	11	53	0	53030	6	1425007.0000000002				
98	105946	55063	55063	53031	STOLEN	False	210598.0	3.21	0	2	11	53	0	53030	6	1425007.0000000002			from_vertices	walk_add
98	105946	55063	55063	54032	SPLIT	False	152006.2	4.212	0	3	11	54	0	54032	1	152006.2				
98	105946	56056	56056	39013	SPLIT	False	142836.3	2.043	0	4	11	39	0	39013	1	142836.3			pass4_angle	direct
98	105946	56056	56056	50025	SIBLING	False	48769.9	0.672	0	2	11	50	0	55063	18	6864246.400000001	55063			
98	122660	9110	9110	30032	STOLEN	False	220058.1	3.092	0	2	11	30	0	54071	3	2650300.6			pass4_angle	direct
98	122660	9110	9110	36038	STOLEN	False	202007.9	2.792	0	3	13	36	0	47050	7	3431706.4			in_other_clusters_seg_cone	direct
98	122660	9110	9110	39041	STOLEN	False	84103.1	0.457	0	3	2212	39	0	47050	7	3431706.4			in_other_clusters_seg_cone	direct
98	122660	9110	9110	47049	STOLEN	False	1456027.0	12.693	0	3	13	47	0	47050	7	3431706.4			in_other_clusters_A	walk_add
98	122660	9110	9110	47050	SPLIT	False	513138.1	10.816	0	3	11	47	0	47050	7	3431706.4				
98	122660	9110	9110	53069	STOLEN	False	414478.8	5.547	0	3,3	11	53	0	47050,53070	7	3431706.4			in_other_clusters_A,in_other_clusters_seg_cone	direct,walk_add
98	122660	9110	9110	53070	STOLEN	False	371275.5	6.606	0	3,3	11	53	0	47050,53070	7	3431706.4			in_other_clusters_seg_cone	direct
98	122660	9110	9110	54071	SPLIT	False	1275237.1	13.809	0	2	13	54	0	54071	3	2650300.6				
98	122660	9110	9110	55073	STOLEN	False	1155005.4	13.16	0	2	13	55	0	54071	3	2650300.6			pass4_angle	direct
98	122660	9110	9110	60104	STOLEN	False	390676.0	2.644	0	3	2212	60	0	47050	7	3431706.4			in_other_clusters_seg_cone	direct
98	169626	53069	53069	39039	SPLIT	False	194891.6	2.921	0	3	11	39	0	39039	1	194891.6				
98	169626	53069	53069	42042	SPLIT	False	249983.6	3.347	0	2	11	42	0	42042	2	264575.1				
