# doc pr/138 B3 -- kernel with k from the seed count; seed finding FROZEN at Phase A (sep_scale=1.6 max_seeds=4), acceptance reuses the trigger's valley<=0.95 frac>=0.03
# K0     K0  PAIR   bundle/centroid  (shipped)
# K1     K1  greedy bundle/centroid  (PRE-REG)
# K1n    K1n greedy bundle/centroid nearest-V
# K2     K2  greedy bundle/PLURALITY
# K3     K3  greedy segment/PLURALITY
# K4     K4  greedy hier/PLURALITY snap=0.80
# K5     K5  greedy k-conditional unit
# SHIP2  SHIP2 cap=2 greedy/bundle/centroid
# SHIP3  SHIP3 cap=3 greedy/k-cond unit
# SHIP4  SHIP4 cap=4 greedy/k-cond unit
# K7c3   K7c3 pair-then-grow k-cond cap=3
# K7c4   K7c4 pair-then-grow k-cond cap=4
# K7b    K7b pair-then-grow, bundle/centroid
# K6     K6  greedy-ALL k-conditional unit
# K6b    K6b greedy-ALL bundle/centroid
# K0p    K0p PAIR   bundle/PLURALITY
# K0h    K0h PAIR   hier/PLURALITY snap=0.80
event	node	verdict	n_own	n_seed	K0	k_K0	K1	k_K1	K1n	k_K1n	K2	k_K2	K3	k_K3	K4	k_K4	K5	k_K5	SHIP2	k_SHIP2	SHIP3	k_SHIP3	SHIP4	k_SHIP4	K7c3	k_K7c3	K7c4	k_K7c4	K7b	k_K7b	K6	k_K6	K6b	k_K6b	K0p	k_K0p	K0h	k_K0h
21073	60081	SPLIT2	2	4	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1	0.5593	1
21073	63100	SPLIT2	2	4	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2
52605	51023	SPLIT2	2	4	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1	0.5719	1
58755	30003	SPLIT2	2	4	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2	0.8284	2
67394	58035	SPLIT2	2	4	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	0.9707	3	0.9237	4	0.9237	4	1.0000	2	1.0000	2	1.0000	2	1.0000	2
71642	41028	SPLIT2	2	3	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2
71642	84105	SPLIT2	2	3	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2
76350	103093	SPLIT2	2	3	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2
84229	69134	SPLIT2	2	4	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2
91917	17005	SPLIT2	2	3	1.0000	2	0.9386	3	1.0000	2	0.9386	3	0.9386	3	0.9386	3	0.9386	3	1.0000	2	0.9386	3	0.9386	3	0.9386	3	0.9386	3	0.9386	3	1.0000	2	1.0000	2	1.0000	2	1.0000	2
96383	14005	SPLIT2	2	3	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	0.9615	3	0.9615	3	0.9615	3	1.0000	2	1.0000	2	1.0000	2	1.0000	2
98844	6013	SPLIT2	2	4	0.9322	2	0.9322	2	0.9322	2	0.9322	2	0.5092	2	0.5092	2	0.9322	2	0.9322	2	0.9322	2	0.9322	2	0.9322	2	0.9322	2	0.9322	2	0.9322	2	0.9322	2	0.9322	2	0.5092	2
122660	9111	SPLIT2	2	4	1.0000	2	0.8895	2	0.8895	2	0.8895	2	0.8895	2	0.8895	2	0.8895	2	0.8895	2	0.8895	2	0.8895	2	0.8895	3	0.8268	4	0.8268	4	0.8895	2	0.8895	2	1.0000	2	1.0000	2
142421	108104	SPLIT2	2	4	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1	0.8211	1
169356	67030	SPLIT2	2	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2
170761	8026	SPLIT2	2	4	1.0000	2	0.9873	3	1.0000	2	0.9742	2	0.6406	3	0.6406	3	0.6406	3	1.0000	2	0.6406	3	0.6406	3	0.6406	3	0.6406	3	0.9873	3	1.0000	2	1.0000	2	0.0385	1	0.6533	2
174771	91075	SPLIT3	3	4	0.9688	2	0.9875	2	0.9875	2	0.9875	2	0.9875	2	0.9875	2	0.9875	2	0.9875	2	0.9875	2	0.9875	2	0.7707	3	0.7707	3	0.9875	2	0.9875	2	0.9875	2	0.9688	2	0.9688	2
176502	23030	SPLIT3	3	4	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1	0.7295	1
176502	109119	SPLIT3	4	4	0.5033	2	0.6914	4	0.5033	2	0.6914	4	0.5749	4	0.5749	4	0.5749	4	0.5033	2	0.6535	3	0.5749	4	0.6535	3	0.5749	4	0.6914	4	0.5033	2	0.5033	2	0.5033	2	0.5033	2
181050	15005	SPLIT2	2	3	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1	0.8130	1
269774	13237	SPLIT2	2	4	1.0000	2	0.9381	2	0.9381	2	0.9381	2	0.9381	2	0.9381	2	0.9381	2	0.9381	2	0.9381	2	0.9381	2	0.8965	3	0.7587	4	0.8903	4	0.9381	2	0.9381	2	1.0000	2	0.9811	2
280972	79136	SPLIT2	2	4	1.0000	2	0.9424	3	1.0000	2	0.9424	3	0.9424	3	0.9424	3	0.9424	3	1.0000	2	0.9424	3	0.9424	3	0.9424	3	0.9424	3	0.9424	3	1.0000	2	1.0000	2	1.0000	2	1.0000	2
281485	87078	SPLIT3	3	4	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1	0.4372	1
281485	89095	SPLIT2	2	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2	1.0000	2
281567	9025	SPLIT2	2	4	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1	0.6029	1
281781	89069	SPLIT3	3	4	0.6708	2	0.6734	3	0.6627	2	0.6734	3	0.6851	3	0.6734	3	0.6734	3	0.6627	2	0.6734	3	0.6734	3	0.7781	3	0.7781	4	0.6734	4	0.6627	2	0.6627	2	0.6708	2	0.6708	2
284200	6013	SPLIT2	2	4	1.0000	2	0.9635	3	1.0000	2	0.9635	3	0.9635	3	0.9635	3	0.9635	3	1.0000	2	0.9635	3	0.9635	3	0.9635	3	0.9635	3	0.9635	3	1.0000	2	1.0000	2	1.0000	2	1.0000	2
