event	bucket	shower	matched	n_target	n_actual	n_inter	n_miss	n_extra	comp	pur	q_comp	q_pur	q_f1	q_target	q_actual	q_miss	q_extra	drift	miss	extra	set
21073	1 under-clustered	60081	60081	45	39	38	7	1	0.8444	0.9744	0.8856	0.9971	0.9381	12441016.8068	11049326.2378	1423386.5705	31696.0015	1	31023,31024,33026,34027,57049,64108,64109	47040	98
47212	2 over-clustered	2103	105072	24	24	24	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	7507818.6517	7507818.6517	0	0	1			98
47212	2 over-clustered	70038	70038	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1217628.4290	1217628.4290	0	0	0			98
54332	2 over-clustered	16014	16017	13	5	4	9	1	0.3077	0.8000	0.5727	0.9817	0.7234	4842458.8211	2825207.9597	2069023.6073	51772.7459	2	97060,97062,97063,97064,98066,98067,98068,99069,129113	85047	98
54332	2 over-clustered	122091	122091	15	13	12	3	1	0.8000	0.9231	0.7408	0.9542	0.8341	3725980.9917	2892791.7952	965739.5569	132550.3605	10	81043,123098,123099	121085	98
64591	1 under-clustered	83044	83044	18	19	18	0	1	1.0000	0.9474	1.0000	0.9949	0.9975	4362255.9749	4384430.4459	0	22174.4710	2		67016	98
76346	1+2 both	14059	14059	15	15	15	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	3630265.0580	3630265.0580	0	0	14			98
76346	1+2 both	40030	49048	5	5	5	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1463341.2251	1463341.2251	0	0	6			98
84229	2 over-clustered	69134	9034	51	34	34	17	0	0.6667	1.0000	0.6406	1.0000	0.7809	17154348.3388	10988622.5550	6165725.7838	0	18	43074,48079,61095,63097,67102,67107,67108,68109,69134,69135,69136,69137,69140,69149,69150,69151,69154		98
105946	1 under-clustered	55063	55063	21	28	20	1	8	0.9524	0.7143	0.9742	0.9086	0.9402	8162144.4533	8751846.9693	210597.9569	800300.4729	12	53031	32006,33007,36010,37011,38012,40014,47022,50025	98
105946	1 under-clustered	56056	56056	5	2	2	3	0	0.4000	1.0000	0.9011	1.0000	0.9480	868554.6207	782649.1505	85905.4702	0	1	39013,42016,50025		98
122660	1 under-clustered	9110	9110	47	40	38	9	2	0.8085	0.9500	0.7483	0.8251	0.7849	23378822.7646	21202202.8335	5884006.7420	3707386.8109	3	30032,39041,47049,47050,53069,53070,54071,55073,60104	31033,50052	98
142421	2 over-clustered	7010	108104	34	47	34	0	13	1.0000	0.7234	1.0000	0.8103	0.8952	12971689.9131	16009460.7054	0	3037770.7923	46		48024,50026,51027,56032,64040,72048,79055,107100,107101,108104,108105,108106,108107	98
166870	1 under-clustered	87058	87058	11	14	11	0	3	1.0000	0.7857	1.0000	0.9490	0.9738	3148129.5546	3317469.0699	0	169339.5153	4		42030,47035,51039	98
168596	1 under-clustered	14153	14153	61	68	61	0	7	1.0000	0.8971	1.0000	0.9846	0.9922	24949937.2671	25340701.4767	0	390764.2096	27		66088,68090,72094,75097,76098,84106,87109	98
169626	1 under-clustered	53069	53069	34	30	30	4	0	0.8824	1.0000	0.7981	1.0000	0.8877	10650288.6322	8500522.1853	2149766.4469	0	0	39039,42042,43043,53070		98
173093	1 under-clustered	12007	12007	16	15	13	3	2	0.8125	0.8667	0.8188	0.9787	0.8917	4179170.4948	3496267.0945	757261.9368	74358.5365	2	53024,58029,61040	50021,57028	98
173093	1 under-clustered	18017	18017	6	7	6	0	1	1.0000	0.8571	1.0000	0.9728	0.9862	906198.7955	931494.1223	0	25295.3268	1		69048	98
269774	1+2 both	13237	13237	43	43	43	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	12457935.4202	12457935.4202	0	0	5			98
269774	1+2 both	97197	97197	16	16	15	1	1	0.9375	0.9375	0.9829	0.9769	0.9799	4700077.9877	4729233.8137	80182.3798	109338.2059	10	62074	31043	98
281485	1 under-clustered	88090	88090	7	4	4	3	0	0.5714	1.0000	0.7119	1.0000	0.8317	2007385.7920	1429030.7992	578354.9927	0	2	62041,90104,90105		98
284235	1 under-clustered	6004	6004	8	10	8	0	2	1.0000	0.8000	1.0000	0.9643	0.9818	2572504.0730	2667623.9806	0	95119.9076	3		26007,29010	98
284235	1 under-clustered	74027	74027	8	7	7	1	0	0.8750	1.0000	0.8756	1.0000	0.9337	1927295.6948	1687595.4199	239700.2748	0	1	38019		98
314838	2 over-clustered	110088	13010	30	29	28	2	1	0.9333	0.9655	0.9868	0.9965	0.9916	10949864.2973	10843786.6710	144418.0746	38340.4484	17	87031,91035	88032	98
342199	1 under-clustered	74101	74101	10	3	3	7	0	0.3000	1.0000	0.5037	1.0000	0.6700	2659116.9499	1339490.1639	1319626.7860	0	0	25035,25037,25038,25108,25109,72098,73099		98
347129	1 under-clustered	11000	11000	10	1	1	9	0	0.1000	1.0000	0.7974	1.0000	0.8873	1582853.4206	1262240.8327	320612.5879	0	0	36002,37003,38004,39005,40032,40033,41007,42008,43009		98
409634	1 under-clustered	69032	27015	12	10	10	2	0	0.8333	1.0000	0.7653	1.0000	0.8670	2748759.7859	2103502.0199	645257.7660	0	12	69032,69033		98
415278	1 under-clustered	23012	24073	44	21	20	24	1	0.4545	0.9524	0.4779	0.9970	0.6461	19171855.0306	9189982.0660	10009314.2028	27441.2383	18	23012,23032,23033,23042,23049,23195,57102,59104,60105,62107,63108,69124,69125,87143,98154,101166,101167,102168,103169,104175,104176,105181,105182,110187	111188	98
415278	1 under-clustered	23037	56091	48	19	17	31	2	0.3542	0.8947	0.4610	0.9898	0.6290	26752941.1112	12458886.3504	14421078.7403	127023.9795	28	23016,23019,23020,23022,23025,23036,23037,23044,23046,23047,23194,55085,56092,58103,61106,66115,67117,75131,76132,77133,79135,80136,82138,86142,90146,91147,92148,95151,96152,99156,99157	70126,71127	98
423981	1 under-clustered	12095	12095	23	28	20	3	8	0.8696	0.7143	0.9791	0.9628	0.9709	10100148.0196	10270829.8974	211300.8323	381982.7101	16	56063,63070,64071	44051,48055,51058,57064,68075,69076,70077,71078	98
444187	1 under-clustered	19079	19079	7	3	3	4	0	0.4286	1.0000	0.6280	1.0000	0.7715	7166954.5141	4500578.1376	2666376.3765	0	0	19039,19067,19082,61074		98
463565	1+2 both	13001	13001	41	31	15	26	16	0.3659	0.4839	0.5869	0.8842	0.7055	16384267.3697	10875394.1577	6768781.7949	1259908.5829	16	48040,49041,50042,51043,59051,72064,73065,75067,109073,109074,110075,111079,112080,113081,114084,114086,115088,115090,115092,115094,115099,115100,115101,115102,115103,115106	44036,45037,46038,47039,61053,62054,63055,64056,65057,66058,67059,68060,69061,71063,74066,117108	98
469665	1 under-clustered	15003	15003	30	26	23	7	3	0.7667	0.8846	0.8839	0.9467	0.9142	10146883.1090	9474124.6672	1177735.8997	504977.4579	8	32007,35010,37012,62073,62074,66042,66048	38013,64032,65040	98
52044	?	24035	58029	9	5	5	4	0	0.5556	1.0000	0.3638	1.0000	0.5335	2565841.5356	933534.9816	1632306.5540	0	8	24007,24009,24034,24035		141
52693	?	18034	18034	13	15	13	0	2	1.0000	0.8667	1.0000	0.9631	0.9812	2927114.4247	3039375.3942	0	112260.9696	3		48012,49013	141
54341	?	96031	96031	5	5	4	1	1	0.8000	0.8000	0.5155	0.9019	0.6560	1673199.0605	956355.5329	810652.1682	93808.6405	2	96033	75017	141
54341	?	101041	101041	17	18	16	1	2	0.9412	0.8889	0.8569	0.9889	0.9182	6073640.9072	5262925.7232	869057.4165	58342.2325	6	34015	79021,100039	141
54453	?	57050	57050	6	6	4	2	2	0.6667	0.6667	0.6880	0.9550	0.7998	3483988.4417	2510046.3786	1087007.7450	113065.6819	2	23026,23028	62055,63056	141
67394	?	19012	58035	11	11	11	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	3365638.8725	3365638.8725	0	0	1			141
69232	?	20021	20021	4	6	4	0	2	1.0000	0.6667	1.0000	0.5732	0.7287	1632908.1454	2848903.9456	0	1215995.8003	1		20021,61017	141
71872	?	13012	13012	1	10	1	0	9	1.0000	0.1000	1.0000	0.7765	0.8742	1074101.5049	1383240.4998	0	309138.9949	10		41020,47026,49028,52031,56035,58037,59038,67053,68054	141
72786	?	16017	16017	6	9	6	0	3	1.0000	0.6667	1.0000	0.7901	0.8828	1918413.4884	2427999.4368	0	509585.9484	1		9009,31033,46040	141
74326	?	80061	80061	2	2	2	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	445948.2011	445948.2011	0	0	6			141
91917	?	87053	87053	9	8	8	1	0	0.8889	1.0000	0.9354	1.0000	0.9666	2658899.2207	2487088.1182	171811.1025	0	0	66021		141
94392	?	5019	5019	3	4	3	0	1	1.0000	0.7500	1.0000	0.9661	0.9828	603086.9820	624248.2077	0	21161.2257	3		21024	141
98844	?	70063	70063	14	15	12	2	3	0.8571	0.8000	0.9032	0.8956	0.8994	5327316.6276	5372562.5409	515506.7644	560752.6777	4	66043,69062	53030,67046,68058	141
100135	?	14025	14025	7	7	6	1	1	0.8571	0.8571	0.9084	0.9905	0.9477	3053397.2279	2800368.8670	279728.5874	26700.2266	1	14024	43016	141
100222	?	113236	113236	68	72	67	1	5	0.9853	0.9306	0.9850	0.9880	0.9865	32229968.8518	32130711.7392	483542.7508	384285.6382	7	14006	68055,69056,74061,76063,80067	141
168432	?	19032	19032	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	946105.0071	946105.0071	0	0	1			141
168432	?	49028	49028	7	7	6	1	1	0.8571	0.8571	0.8977	0.9700	0.9324	3479686.9139	3220266.4421	356007.5893	96587.1176	2	50029	47020	141
171572	?	85025	85025	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	377378.8003	377378.8003	0	0	2			141
173495	?	26021	26021	5	5	5	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1733539.0735	1733539.0735	0	0	1			141
174771	?	85085	85060	5	7	3	2	4	0.6000	0.4286	1.0000	0.5164	0.6811	1229555.2273	2380822.8662	0.0000	1151267.6388	7	85084,85085	74047,75048,85060,93077	141
175896	?	17044	17044	1	2	1	0	1	1.0000	0.5000	1.0000	0.5394	0.7008	859323.2105	1592966.7300	0	733643.5195	1		66037	141
179048	?	17012	17012	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	2479509.8241	2479509.8241	0	0	2			141
179369	?	17002	17002	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	914888.7760	914888.7760	0	0	8			141
181050	?	15006	15005	20	11	10	10	1	0.5000	0.9091	0.4160	0.9875	0.5854	5699683.1980	2401095.6504	3328543.9026	29956.3551	13	15001,15006,50010,51011,52012,53013,61021,64025,65026,67027	57017	141
278420	?	61027	61027	10	9	7	3	2	0.7000	0.7778	0.9154	0.9270	0.9212	1734497.4101	1712878.2155	146671.0821	125051.8875	12	65031,66032,77043	72038,74040	141
281325	?	42039	42039	11	9	8	3	1	0.7273	0.8889	0.7760	0.9898	0.8700	2830221.2603	2219013.8235	633838.6071	22631.1703	10	27016,41034,41036	23012	141
282271	?	6063	6063	4	25	3	1	22	0.7500	0.1200	0.9355	0.7354	0.8235	2574646.9969	3275210.9330	166045.4558	866609.3919	22	6004	33020,35022,36023,37024,38025,39026,42029,45032,46033,47034,48035,61048,62049,64051,65052,66053,67054,68055,69056,72059,73060,74061	141
282979	?	14003	14003	3	4	3	0	1	1.0000	0.7500	1.0000	0.9753	0.9875	2058111.0969	2110263.9254	0	52152.8286	11		20010	141
283515	?	23009	-1	1	0	0	1	0	0.0000	-	0.0000	-	-	1964650.4875	0	1964650.4875	0	14	23009		141
284206	?	10051	10051	4	2	1	3	1	0.2500	0.5000	0.3452	0.9871	0.5115	3643579.9514	1273994.4943	2385978.1542	16392.6971	1	10052,10054,10056	35037	141
286655	?	79023	19006	6	11	6	0	5	1.0000	0.5455	1.0000	0.6589	0.7944	2733657.9225	4148510.8114	0	1414852.8889	2		67016,69018,71020,81062,82063	141
286681	?	3012	3012	1	5	1	0	4	1.0000	0.2000	1.0000	0.9513	0.9750	2381985.4913	2503902.5975	0	121917.1062	5		29013,33017,36020,37021	141
287007	?	22001	22001	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	3013706.4586	3013706.4586	0	0	1			141
289246	?	63034	63034	25	27	23	2	4	0.9200	0.8519	0.8767	0.9640	0.9183	4195262.6944	3815441.8590	517184.0286	137363.1932	4	77063,77064	66037,67038,70041,74045	141
291072	?	21023	21023	33	37	33	0	4	1.0000	0.8919	1.0000	0.9773	0.9885	9987186.5991	10218920.3289	0	231733.7298	6		65057,67059,69061,70062	141
293149	?	4001	4001	14	9	9	5	0	0.6429	1.0000	0.9296	1.0000	0.9635	4691242.9491	4361126.1566	330116.7925	0	5	27006,29008,30009,31010,38017		141
294174	?	71067	71067	9	14	7	2	7	0.7778	0.5000	0.7741	0.9036	0.8338	2816824.7201	2413004.9219	636430.6533	232610.8551	7	64059,64065	47036,51040,52041,55044,59048,62051,77079	141
318769	?	19003	65037	3	5	3	0	2	1.0000	0.6000	1.0000	0.6015	0.7512	4469602.9200	7430979.7515	0	2961376.8315	5		19001,65037	141
347085	?	72066	72066	17	21	17	0	4	1.0000	0.8095	1.0000	0.9166	0.9565	3671035.1616	4005231.5911	0	334196.4295	6		30016,33019,38024,71058	141
347824	?	24112	107060	22	23	22	0	1	1.0000	0.9565	1.0000	0.9950	0.9975	7177754.2096	7214035.1821	0	36280.9725	2		89023	141
348471	?	60026	60026	17	21	17	0	4	1.0000	0.8095	1.0000	0.8884	0.9409	6234013.3311	7017269.6072	0	783256.2761	6		18006,33013,39019,63051	141
350121	?	2011	2011	5	15	5	0	10	1.0000	0.3333	1.0000	0.8255	0.9044	4989383.6663	6044290.2281	0	1054906.5618	11		14017,16019,17020,19022,22025,24027,25028,28031,30041,31042	141
350354	?	18092	18092	32	50	32	0	18	1.0000	0.6400	1.0000	0.8723	0.9318	8280301.8595	9491967.7696	0	1211665.9101	18		18015,45022,46023,47024,48025,51028,52029,53030,54031,55032,56033,57034,63040,64041,66043,67044,68045,74051	141
386442	?	16008	16008	3	17	3	0	14	1.0000	0.1765	1.0000	0.8219	0.9022	2705352.1623	3291725.6995	0	586373.5372	15		22012,39013,40014,41015,43017,44018,46020,47021,48022,49023,50024,51025,65027,66028	141
393505	?	63025	63025	3	9	3	0	6	1.0000	0.3333	1.0000	0.7777	0.8750	1049198.7258	1349062.7661	0	299864.0403	7		60018,61019,62020,72026,73027,76030	141
395597	?	20004	20004	2	3	1	1	2	0.5000	0.3333	0.7619	0.9674	0.8525	2794145.1889	2200529.6687	665248.1976	71632.6774	3	20006	83011,84012	141
396037	?	69026	69026	7	7	5	2	2	0.7143	0.7143	0.6204	0.9679	0.7561	2289558.4775	1467480.2183	869174.1805	47095.9213	3	63015,65017	55007,56008	141
396323	?	18012	18012	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	2946164.5067	2946164.5067	0	0	0			141
