arm	event	rcid	nlegs	chord_cm	shower	n_inner	n_outer	rin_cm	rout_cm	angle_in_out_deg	aniso_outer	fired
work-pr51r6-flip48	111412	18026	3	27.66	0	14	16	6.0	13.8	6.63	16.46	0
work-pr51r6-flip48	111412	18054	3	5.20	1	7	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	111412	18055	3	5.60	1	11	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	122660	9014	2	9.47	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	122660	9019	2	4.95	1	6	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	131357	12010	2	15.42	0	8	5	6.0	9.0	1.94	9.80	0
work-pr51r6-flip48	131357	12030	2	11.90	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	137238	143052	2	18.83	1	7	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	137238	143058	2	12.50	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	138009	12015	3	13.70	1	9	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	138009	12091	3	30.65	0	8	15	6.0	15.3	2.75	31.84	0
work-pr51r6-flip48	138009	12092	3	2.01	0	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	168596	14085	2	16.91	0	8	5	6.0	9.0	4.87	9.58	0
work-pr51r6-flip48	168596	14163	2	6.53	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	172230	5024	3	10.78	0	8	5	6.0	9.0	4.67	9.78	0
work-pr51r6-flip48	172230	5030	3	17.44	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	172230	5118	3	4.48	0	6	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	174637	9019	2	10.56	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	174637	9039	2	25.57	0	8	11	6.0	12.8	2.74	22.50	0
work-pr51r6-flip48	214469	16010	2	83.68	0	8	20	6.0	18.0	2.15	43.46	0
work-pr51r6-flip48	214469	16037	2	27.17	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	219295	15003	2	87.28	0	7	20	6.0	18.0	1.42	42.41	0
work-pr51r6-flip48	219295	15059	2	9.94	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	234638	10053	2	71.19	0	7	20	6.0	18.0	1.89	40.66	0
work-pr51r6-flip48	234638	10063	2	24.59	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	239794	2038	2	17.41	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	239794	2064	2	26.13	0	8	11	6.0	13.1	1.01	22.45	0
work-pr51r6-flip48	246579	19055	2	20.30	1	7	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	246579	19080	2	9.95	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	256587	11095	2	28.62	0	8	14	6.0	14.3	2.19	15.23	0
work-pr51r6-flip48	256587	11131	2	28.74	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	267597	5012	2	79.65	0	8	20	6.0	18.0	0.99	42.06	0
work-pr51r6-flip48	267597	5040	2	14.36	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	268067	15076	3	2.27	0	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	268067	15077	3	2.20	0	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	268067	15080	3	2.49	1	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	268784	13001	3	112.76	0	7	21	6.0	18.0	4.67	39.17	0
work-pr51r6-flip48	268784	13003	3	3.11	1	5	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	268784	13054	3	7.16	1	9	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	269774	87120	2	23.33	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	269774	87129	2	7.47	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	271851	23013	3	10.30	0	9	6	6.0	9.0	32.37	8.74	1
work-pr51r6-flip48	271851	23014	3	13.03	0	8	6	6.0	9.0	17.24	7.34	0
work-pr51r6-flip48	271851	23102	3	9.98	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	30504	11005	3	5.87	1	9	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	30504	11006	3	5.77	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	30504	11063	3	1.72	0	5	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	342199	20035	2	37.39	0	8	20	6.0	18.0	1.93	41.08	0
work-pr51r6-flip48	342199	20036	2	14.84	1	7	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	388	23016	3	2.07	1	2	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	388	23031	3	21.16	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	388	23040	3	22.47	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	38856	12038	2	43.66	0	8	20	6.0	18.0	6.93	36.80	0
work-pr51r6-flip48	38856	12088	2	2.41	1	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	389538	11004	4	159.86	0	8	20	6.0	18.0	0.99	43.12	0
work-pr51r6-flip48	389538	11012	4	3.90	0	5	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	389538	11014	4	44.03	0	8	20	6.0	18.0	1.40	36.83	0
work-pr51r6-flip48	389538	11100	4	4.11	0	5	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	400474	18007	4	27.93	0	8	13	6.0	14.0	2.00	21.42	0
work-pr51r6-flip48	400474	18012	4	24.83	1	9	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	400474	18130	4	2.47	0	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	400474	18131	4	1.76	1	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	42280	8022	2	4.29	0	5	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	42280	8029	2	16.32	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	422851	1017	2	22.74	1	7	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	422851	1022	2	6.36	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	423981	12003	4	81.96	0	8	21	6.0	18.0	6.60	35.35	0
work-pr51r6-flip48	423981	12013	4	4.90	0	6	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	423981	12040	4	7.76	1	7	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	423981	12052	4	29.63	0	8	15	6.0	14.8	4.67	28.03	0
work-pr51r6-flip48	433451	4005	4	2.86	0	4	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	433451	4018	4	15.45	0	8	5	6.0	9.0	6.84	9.49	0
work-pr51r6-flip48	433451	4034	4	27.02	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	433451	4227	4	1.87	0	2	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	437699	11011	3	2.10	0	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	437699	11015	3	11.45	0	8	5	6.0	9.0	7.00	9.79	0
work-pr51r6-flip48	437699	11024	3	23.20	1	9	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	444187	19001	2	143.24	0	7	20	6.0	18.0	1.29	43.05	0
work-pr51r6-flip48	444187	19034	2	12.36	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	447477	11006	3	6.08	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	447477	11007	3	7.32	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	447477	11018	3	35.09	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	489330	4020	2	21.39	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	489330	4033	2	63.69	0	8	20	6.0	18.0	3.56	35.64	0
work-pr51r6-flip48	52672	9011	5	5.29	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	52672	9016	5	14.06	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	52672	9024	5	9.79	1	9	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	52672	9025	5	2.01	1	2	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	52672	9099	5	1.65	1	2	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	54095	17041	2	18.48	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	54095	17092	2	46.35	0	8	20	6.0	18.0	0.78	43.46	0
work-pr51r6-flip48	69314	3009	5	140.65	0	8	21	6.0	18.0	2.61	24.05	0
work-pr51r6-flip48	69314	3015	5	37.68	0	8	20	6.0	18.0	2.73	36.80	0
work-pr51r6-flip48	69314	3027	5	34.72	0	8	19	6.0	17.4	5.95	39.19	0
work-pr51r6-flip48	69314	3028	5	30.85	0	8	16	6.0	15.4	3.63	23.59	0
work-pr51r6-flip48	69314	3100	5	1.87	1	2	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	74544	12099	2	15.87	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	74544	12100	2	10.86	0	7	5	6.0	9.0	5.46	9.45	0
work-pr51r6-flip48	81597	19009	2	20.24	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip48	81597	19047	2	13.94	0	8	5	6.0	9.0	6.12	9.73	0
work-pr51r6-flip48	90055	11045	3	13.57	0	8	5	6.0	9.0	8.35	7.24	0
work-pr51r6-flip48	90055	11054	3	19.57	0	9	6	6.0	9.8	3.14	11.36	0
work-pr51r6-flip48	90055	11166	3	3.91	1	4	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	114446	21000	2	9.12	0	7	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	114446	21007	2	2.01	1	2	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	142421	7006	3	141.64	0	8	20	6.0	18.0	3.00	35.21	0
work-pr51r6-flip19	142421	7011	3	221.93	0	9	20	6.0	18.0	11.25	28.31	0
work-pr51r6-flip19	142421	7014	3	66.53	0	8	22	6.0	18.0	2.25	26.86	0
work-pr51r6-flip19	180801	15014	2	17.61	1	10	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	180801	15081	2	3.75	0	4	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	18625	11005	2	91.92	0	8	20	6.0	18.0	3.20	27.41	0
work-pr51r6-flip19	18625	11006	2	59.66	0	8	20	6.0	18.0	1.06	39.10	0
work-pr51r6-flip19	259542	128102	2	2.67	0	4	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	259542	128138	2	2.58	1	4	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	285567	8012	3	4.35	0	5	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	285567	8013	3	4.98	0	7	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	285567	8055	3	3.14	1	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	37112	84071	3	4.41	0	5	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	37112	84072	3	9.96	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	37112	84078	3	15.27	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	399860	17044	4	16.49	0	8	5	6.0	9.0	1.95	8.17	0
work-pr51r6-flip19	399860	17052	4	23.89	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	399860	17056	4	13.62	0	8	5	6.0	9.0	17.78	9.51	0
work-pr51r6-flip19	399860	17111	4	2.31	0	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	463565	13027	2	6.24	1	13	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	463565	13116	2	2.56	0	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	506746	21048	3	18.79	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	506746	21050	3	9.49	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	506746	21052	3	72.54	0	9	22	6.0	18.0	4.85	22.64	0
work-pr51r6-flip19	56982	22015	3	3.04	0	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	56982	22016	3	11.14	0	8	6	6.0	9.0	41.22	11.76	1
work-pr51r6-flip19	56982	22017	3	4.65	1	6	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip19	71372	92121	2	53.52	0	9	22	6.0	18.0	14.37	21.81	0
work-pr51r6-flip19	71372	92123	2	12.04	1	7	0	-1.0	-1.0	-1.00	-1.00	0
