# doc pr/138 -- a-priori cleanliness strata (vgap<=5, |dv|<1, ncand<=3)
event	node	owner	positive	fired	clean	vgap_cm	dv_cm	n_cand	valley_best	n_seed	confidence
388	23032	KEEP	0	0	1	0.00	0.006	2	1.0000	4	high
10550	7036	KEEP	0	0	1	0.00	0.004	1	1.0000	4	high
21073	60081	SPLIT2	1	0	1	3.38	0.006	2	0.9603	4	high
21073	63100	SPLIT2	1	1	0	26.33	0.006	2	0.3021	4	high
37112	84074	KEEP	0	0	1	0.00	0.005	2	1.0000	2	high
38856	12089	KEEP	0	0	1	0.00	0.006	3	1.0000	1	high
47212	109100	KEEP	0	0	0	27.95	0.005	2	1.0000	3	high
52605	51023	SPLIT2	1	0	1	0.00	0.004	1	0.9774	4	high
52672	9011	KEEP	0	0	0	39.09	0.004	2	1.0000	4	high
52693	18034	KEEP	0	0	1	0.00	0.005	1	1.0000	3	high
54332	27025	KEEP	0	0	0	38.90	0.004	6	1.0000	2	high
54332	122091	KEEP	0	1	0	39.57	0.004	6	0.0000	4	high
56982	22116	KEEP	0	0	0	0.00	0.003	4	1.0000	2	high
57709	99036	KEEP	0	0	0	37.41	0.007	2	1.0000	2	high
58755	30003	SPLIT2	1	1	1	0.00	0.006	1	0.8799	4	high
59085	3007	KEEP	0	0	1	4.94	0.008	1	1.0000	1	high
64409	8022	KEEP	0	0	1	0.00	0.005	1	1.0000	3	high
65053	139020	KEEP	0	0	0	7.47	0.004	1	1.0000	1	high
67394	58035	SPLIT2	1	1	0	43.46	0.006	1	0.0119	4	high
71372	19049	KEEP	0	0	0	7.42	0.006	3	1.0000	4	high
71642	41028	SPLIT2	1	1	0	9.19	0.006	6	0.4410	3	high
71642	76071	KEEP	0	0	0	58.53	0.006	6	1.0000	4	high
71642	78077	KEEP	0	0	0	36.87	0.006	6	1.0000	4	high
71642	84105	SPLIT2	1	1	0	3.51	0.006	6	0.8115	3	high
71872	13008	KEEP	0	0	1	4.93	0.004	3	1.0000	2	high
72786	16017	KEEP	0	0	0	8.90	0.006	2	1.0000	2	high
74326	10020	KEEP	0	0	0	19.24	0.002	2	1.0000	4	high
75954	21063	KEEP	0	0	1	0.00	0.004	2	1.0000	2	high
76346	14059	KEEP	0	0	0	0.00	60.163	2	1.0000	1	high
76346	49048	KEEP	0	0	0	55.55	60.163	2	1.0000	2	high
76350	12098	KEEP	0	0	1	0.00	0.005	2	1.0000	4	high
76350	103093	SPLIT2	1	1	0	10.21	0.005	2	0.7915	3	high
84229	69134	SPLIT2	1	1	0	14.42	0.005	1	0.9298	4	high
90055	11033	KEEP	0	0	1	0.00	0.004	1	1.0000	4	high
91917	17005	SPLIT2	1	1	0	115.70	0.003	2	0.0000	3	high
94224	17013	KEEP	0	0	1	0.00	0.006	1	1.0000	1	high
95151	6002	KEEP	0	0	0	23.80	0.005	1	1.0000	2	high
96383	14005	SPLIT2	1	1	1	0.00	0.005	2	0.3924	3	high
96383	14007	KEEP	0	0	1	0.84	0.005	2	1.0000	1	high
98844	6013	SPLIT2	1	1	1	0.00	0.005	2	0.9405	4	high
98844	70063	KEEP	0	0	0	40.97	0.005	2	1.0000	3	high
99782	61032	KEEP	0	0	0	23.77	0.004	2	1.0000	2	high
99782	64035	KEEP	0	0	0	14.75	0.004	2	1.0000	3	high
99838	58038	KEEP	0	0	1	3.09	0.004	3	1.0000	3	high
100222	67054	KEEP	0	0	0	142.84	0.006	3	1.0000	2	high
100222	75062	KEEP	0	0	0	142.79	0.006	3	1.0000	3	high
105946	55063	KEEP	0	0	0	8.07	0.004	1	1.0000	4	high
116962	21070	TRIM	0	0	0	0.00	0.005	5	1.0000	3	high
122660	9110	KEEP	0	0	0	0.00	0.006	4	1.0000	4	high
122660	9111	SPLIT2	1	1	0	0.00	0.006	4	0.7216	4	high
122660	53070	KEEP	0	0	0	85.28	0.006	4	1.0000	1	high
131357	12014	KEEP	0	0	1	0.00	0.006	1	1.0000	4	high
138009	12088	KEEP	0	0	1	0.00	0.004	1	1.0000	4	high
142421	108104	SPLIT2	1	0	0	7.20	0.005	1	1.0000	4	high
165157	9000	KEEP	0	1	0	13.38	0.002	2	0.6380	4	high
166870	85045	KEEP	0	0	0	10.89	0.002	3	1.0000	1	high
167612	100074	KEEP	0	0	0	195.56	0.004	3	1.0000	1	high
167612	101086	KEEP	0	0	0	190.78	0.004	3	1.0000	2	high
168432	22006	KEEP	0	0	0	25.10	0.004	2	1.0000	1	high
169356	67030	SPLIT2	1	1	0	33.68	0.006	1	0.0352	2	high
170098	78064	KEEP	0	0	0	18.13	0.006	2	1.0000	3	high
170761	8026	SPLIT2	1	1	1	0.00	0.003	1	0.6453	4	high
171729	9005	KEEP	0	0	1	0.00	0.005	1	1.0000	3	high
172230	5027	KEEP	0	0	1	0.00	0.005	1	1.0000	4	high
172942	4002	TRIM	0	0	1	0.00	0.006	2	1.0000	4	high
173093	12007	KEEP	0	0	0	38.54	0.002	1	1.0000	2	high
173495	26021	KEEP	0	0	0	270.22	0.004	1	1.0000	1	high
174771	15018	KEEP	0	0	0	2.45	0.005	4	1.0000	2	high
174771	87065	KEEP	0	1	0	95.82	0.005	4	0.0089	2	high
174771	91075	SPLIT3	1	1	0	24.19	0.005	4	0.4057	4	high
176502	20005	KEEP	0	0	0	192.99	0.004	6	1.0000	1	high
176502	23030	SPLIT3	1	0	0	15.03	0.004	6	1.0000	4	high
176502	109119	SPLIT3	1	1	0	0.00	0.004	6	0.5926	4	high
176502	109299	KEEP	0	0	0	0.00	0.004	6	1.0000	1	high
176533	11035	KEEP	0	0	1	0.00	0.003	2	1.0000	4	high
176986	67048	KEEP	0	0	0	7.22	0.006	2	1.0000	2	high
179048	17012	KEEP	0	0	1	0.00	0.005	1	1.0000	1	high
179611	10001	TRIM	0	0	1	0.00	0.004	1	1.0000	4	high
180801	15082	KEEP	0	0	0	0.00	0.004	4	1.0000	4	high
180801	112061	KEEP	0	0	0	40.29	0.004	4	1.0000	2	high
181050	15005	SPLIT2	1	0	0	29.97	0.005	1	1.0000	3	high
196649	11113	KEEP	0	0	1	0.00	0.005	1	1.0000	4	high
256587	11301	KEEP	0	0	1	0.00	0.005	1	1.0000	4	high
