sample	run	subrun	event	classes	enu_a	enu_b	denu	numu_a	numu_b	nue_a	nue_b	vtx_move_cm	label_a	label_b	eval_a	eval_b	rc_a	rc_b	nuefill_a	nuefill_b
mcp1k	18255	1	286655	nue_fill,numu				-2.0792146	-1.9297649										filled	unfilled
mcp1k	18255	1	315167	enu,nue_fill,numu	1425.9111	1677.9358	252.025	2.8047507	2.7477462										unfilled	filled
mcp1k	18255	1	349945	nue_fill,numu				4.0449777	3.8746068										unfilled	filled
mcp1k	18255	1	353223	nue_fill,numu				-0.17068867	-0.28852972										filled	unfilled
mcp1k	18259	1	67394	nue_fill															filled	unfilled
mcp1k	18259	1	168432	enu,nue_fill,numu	824.1953	755.98584	-68.209	1.8629826	2.0681634										filled	unfilled
mcp1k	18259	1	169626	enu,nue_fill,numu,vtx_cm	782.60986	623.3525	-159.257	0.18793707	-2.6443033			59.555							unfilled	filled
mcp2k	18255	1	56763	nue_fill,numu				-1.3569374	-1.4613806										filled	unfilled
mcp2k	18255	1	69254	nue_fill,numu				0.52848727	0.47780225										filled	unfilled
mcp2k	18255	1	77328	nue_fill,numu				3.6619403	3.5706587										filled	unfilled
mcp2k	18255	1	317077	enu,nue_fill,numu	34.896145	111.68065	76.785	-2.9134653	-1.5990849										unfilled	filled
mcp2k	18255	1	347824	enu,nue_fill,numu	1751.7229	1601.3132	-150.410	3.1244273	3.3203726										filled	unfilled
mcp2k	18255	1	354578	nue_fill,numu				0.5875493	0.6900569										unfilled	filled
mcp2k	18255	1	397630	enu,nue_fill,numu	752.9809	626.0588	-126.922	1.9829987	2.2403889										unfilled	filled
mcp2k	18255	1	406125	enu,nue_fill	946.0821	837.0916	-108.990												unfilled	filled
mcp2k	18259	1	47212	enu,nue_fill	1342.3474	1412.8428	70.495												filled	unfilled
mcp2k	18259	1	53130	nue_fill,numu				0.6109304	0.43227547										filled	unfilled
mcp2k	18259	1	94392	enu,nue_fill	1060.8085	1138.9619	78.153												filled	unfilled
mcp2k	18259	1	165544	nue_fill															unfilled	filled
mcp2k	18259	1	176260	nue_fill,numu				3.6209657	3.708617										unfilled	filled
mcp2k	18259	1	178535	enu,nue_fill,numu	63.43138	80.50918	17.078	-1.5332963	-1.107135										unfilled	filled
mcp2k	18259	1	179369	enu,nue_fill,numu	1561.2856	1326.67	-234.616	2.866556	3.2270234										filled	unfilled
mcp2k	18259	1	181050	enu,nue_fill,numu	519.99243	615.9242	95.932	0.21751046	-0.039506182										filled	unfilled
ncpi0	18261	1	285567	enu,nue_fill,numu	1935.1533	1814.8389	-120.314	0.9874169	1.1720846										unfilled	filled
nuecc48	18264	1	137238	nue_fill,numu				1.1364765	0.8407038										filled	unfilled
mcp2k	18255	1	281567	enu,nue,numu	1896.5483	1817.9952	-78.553	-0.45256862	-0.34420323	1.6038469	-6.368517									
mcp2k	18255	1	71642	enu,nue,numu	1795.7822	1696.8606	-98.922	1.4624469	1.5705307	-9.0711775	-2.1790943									
mcp2k	18255	1	76346	nue,numu,vtx_cm				-1.3877059	-1.4859236	-13.348208	-11.746161	60.164								
mcp2k	18259	1	100222	enu,nue,numu	3184.5085	2656.2678	-528.241	1.0108488	0.6842236	-1.4856114	0.86749226									
nuecc48	18255	1	423981	enu,nue	2132.617	2057.06	-75.557			3.4018006	8.454065									
mcp2k	18255	1	390942	nue,numu				-1.1404345	-0.98904216	-8.160653	-3.9108863									
mcp1k	18255	1	395610	enu,numu	596.4791	1010.8064	414.327	2.1410332	2.738061											
mcp1k	18255	1	279445	enu,numu	21.864649	429.36423	407.500	-0.30400866	-0.054450907											
mcp1k	18255	1	281837	enu,numu	1153.5818	1548.8218	395.240	1.2575986	0.85852206											
mcp2k	18255	1	55740	enu,numu	493.87268	886.2893	392.417	0.40342933	1.078437											
mcp2k	18255	1	392009	enu	1003.1362	1389.7977	386.662													
mcp2k	18255	1	284206	nue						0.42472893	-3.4378364									
mcp2k	18255	1	282271	enu,nue	775.6143	843.98566	68.371			-3.5822444	0.25617057									
mcp2k	18255	1	318703	nue						-11.510811	-7.709068									
mcp1k	18255	1	58755	nue						-5.2383785	-1.491181									
mcp2k	18255	1	415278	enu,nue,numu	2803.1953	2432.109	-371.086	0.31779233	0.116997086	-1.5620867	-1.6816462									
mcp2k	18255	1	74784	enu,numu	785.18854	1128.0881	342.900	4.244579	4.3324933											
mcp2k	18255	1	396222	enu,nue,numu	4654.1606	4324.413	-329.748	-0.7946933	-0.4102585	1.3214117	0.7703177									
mcp2k	18255	1	54332	enu	1516.4957	1195.2552	-321.240													
mcp2k	18255	1	49745	enu,nue,numu	328.31003	369.06363	40.754	-1.2886844	-1.0163398	-3.7730286	-0.5922987									
mcp2k	18255	1	409140	nue,numu				0.7425661	0.8028268	-5.6340756	-2.5617678									
mcp1k	18255	1	64591	enu,numu	944.4276	637.29865	-307.129	-2.392834	-2.5055783											
