# doc pr/139 sec 4 -- the 23-object scan set for tag splitscan-0902-pi0.
# Built from the pr/138 curated set (same columns) restricted to what THIS
# round decides.  stratum names the group; owner_scan=1 on group A only, so
# the four broken pi0s sort to the FRONT of the worklist.
#   A-broken-pi0    (4)  the pi0s the splitter broke -- these decide
#                        shower_split_max_impact.  TWO questions each.
#   B-marked-shower (18) fired parents in events holding a hand-marked
#                        shower the fire touches -- the joint-label enabler.
#   C-adjudicate    (1)  evt314838, the three-instrument contradiction.
# See docs/pr/pr139-scan-brief.md.
event	node	stratum	owner_scan	proxy_cls	Q	nseg	npts	valley_best	d2_best	frac_best	angle_best	valley	d2_over_d1	seed_frac	n_seed	angle	balance	gap_cm	gap_scaled	w_pull	sep_scaled	vgap_min	dedx15_min	n_2mip	r_ratio	q_ratio	m_pi0
54332	122091	A-broken-pi0	1	SINGLE	2.893e+06	13	94	6.587e-07	0.9467	0.1597	85.42	1	0.827	0.2142	4	70.59	0.2578	75.76	15.61	18.95	10.76	39.57	0.7828	0	2.174	1.024	94.55
165157	9000	A-broken-pi0	1	MERGED	3.129e+06	8	103	0.638	0.6331	0.2589	78.52	0.638	0.6331	0.2589	4	60.51	0.473	6.334	1.355	4.918	8.381	13.38	0.406	0	1.967	1.171	94.52
281485	89095	A-broken-pi0	1	MERGED	1.573e+06	8	49	0.9403	0.9515	0.4793	22.34	0.9403	0.9515	0.4793	2	23.12	0.4793	9.368	2.178	0.7468	2.394	20.03	0.6346	0	0.9489	0.558	13.23
396222	9059	A-broken-pi0	1	MERGED	4.6e+07	123	1331	0.3126	0.871	0.2425	36.62	0.3126	0.871	0.2425	4	81.5	0.003395	35.65	6.855	9.211	14.41	14.5	0.4639	0	0.9548	2.148	218.6
84229	69134	B-marked-shower	0	MERGED	1.722e+07	54	504	0.9298	0.5165	0.3561	16.78	0.9298	0.5165	0.3561	4	17.67	0.3624	5.287	1	2.276	3.51	14.42	0.8775	1	nan	nan	135.8
269774	13237	B-marked-shower	0	MERGED	1.709e+07	59	492	0.8566	0.6661	0.09548	24.01	1	0.7603	0.1615	4	18.28	0.2767	6.03	1.114	3.156	3.814	27.39	0.4886	0	1.161	0.9737	156.2
415278	83139	B-marked-shower	0	SINGLE	2.076e+06	12	66	0.3254	0.1839	0.04258	15.51	1	0.3532	0.1809	4	16.79	0.04258	29.9	3.965	1.727	5.425	96.41	0.8033	0	2.844	0.09619	6.222
415278	23037	B-marked-shower	0	MERGED	2.159e+07	42	564	0.6592	0.7637	0.3702	23.95	0.6592	0.7637	0.3702	4	23.8	0.4599	0	0	3.661	4.09	0	0.5585	1	0.7176	1.219	248.9
415278	23012	B-marked-shower	0	SINGLE	1.771e+07	39	490	0.519	0.6704	0.3452	20.44	0.519	0.6704	0.3452	4	20.88	0.4819	13.95	2.528	2.912	4.509	0	1.433	0	1.393	0.8203	193.6
463565	13001	B-marked-shower	0		1.125e+07	37	288																				
67394	58035	B-marked-shower	0	SINGLE	3.549e+06	12	100	0.01191	0.132	0.05159	44.15	1	0.4744	0.04707	4	39.05	0.05159	34.5	6.096	1.798	8.701	43.46	0.9452	0	nan	nan	25.85
174771	91075	B-marked-shower	0	MERGED	2.59e+06	9	106	0.4057	0.3792	0.1249	53.76	1	0.4779	0.2037	4	70.52	0.01248	29.82	6.686	3.138	8.102	24.19	0.7532	0	2.851	0.8969	16.91
174771	87065	B-marked-shower	0	SINGLE	1.254e+06	5	28	0.008874	0.0471	0.04359	23.86	0.008874	0.0471	0.04359	2	23.93	0.04359	72.28	10.39	2.814	7.121	95.82	nan	0	10.88	0.4342	5.185
175896	17044	B-marked-shower	0		1.674e+06	3	32																				
278420	61027	B-marked-shower	0	SINGLE	3.546e+06	23	108	0.2067	0.7799	0.3501	32.79	0.2067	0.7799	0.3501	4	30.28	0.4831	16.32	2.89	5.122	6.772	31.62	0.895	0	3.522	1.156	47.9
281325	42039	B-marked-shower	0		2.297e+06	11	68																				
294174	71067	B-marked-shower	0	SINGLE	2.413e+06	14	74	0.6987	0.6379	0.3392	10.64	0.6987	0.6379	0.3392	4	21.41	0.03518	43.33	6.018	3.424	6.608	108.1	0.4761	0	2.209	0.2495	8.934
294174	16004	B-marked-shower	0	SINGLE	1.126e+06	5	29	1.953e-05	0.1309	0.1099	24.1	1.953e-05	0.1309	0.1099	2	24.21	0.1099	149.5	14.23	8.583	9.774	231.7	0.9848	1	4.221	0.1164	6.655
350354	18092	B-marked-shower	0	MERGED	1.01e+07	51	350	0.08404	0.3164	0.153	166.6	1	0.5366	0.1842	4	166.3	0.1534	8.922	1.821	3.043	18.97	0	nan	0	nan	nan	431.5
393505	63025	B-marked-shower	0	SINGLE	1.349e+06	9	45	0.007095	0.453	0.03882	60.97	0.2675	0.1222	0.08987	4	32.42	0.1324	36.15	6.616	7.631	6.822	58.33	0.4792	0	nan	nan	13.64
396037	69026	B-marked-shower	0	SINGLE	2.216e+06	10	48	0.7458	0.6554	0.3248	32.9	0.7458	0.6554	0.3248	4	36.18	0.3379	10.57	2.496	3.388	3.428	17.69	0.9033	0	nan	nan	38.9
406125	38021	B-marked-shower	0	MERGED	3.952e+06	14	79	0.3914	0.4437	0.2919	32.38	0.3914	0.4437	0.2919	4	53.38	0.0249	23.48	4.984	5.785	7.655	3.346	0.6727	0	1.76	1.642	25.65
314838	110088	C-adjudicate	0	MERGED	1.393e+07	37	454	0.7818	0.9165	0.03665	22	1	0.3634	0.005016	4	57.49	0.00419	23.92	4.742	0.9418	9.897	12.36	1.844	1	nan	nan	48.43
