setname	sample	event	origin	labelsrc	match	mass_vertex	mass_axis	why
98	mcp2k	47212	ncpi0	base	exact	132.75811026491846	131.4102586155196	
141	mcp1k	54341	other_em	base	exact	100.6815746980868	135.21072087119535	
141	mcp1k	56243	numucc_em	base	exact	165.92634680166552	138.85857185327333	
141	mcp2k	57709	other_em	base	exact	161.78756024411422	178.31262518374822	
98	ncpi0	71372	ncpi0	base	exact	139.23263424509608	140.04418054760515	
141	mcp2k	74123	numucc_em	base	exact	151.58041331154152	177.70337348904488	
141	mcp2k	91917	numucc_em	base	exact	140.74162841182454	152.43618946159137	
141	mcp2k	99782	numucc_em	base	exact	158.83697077197914	153.87237346672694	
98	mcp2k	99838	ncpi0	base	exact	125.75048735293461	111.9880365050334	
141	mcp2k	103798	other_em	base	exact	74.49607670055852	137.75028667686092	
98	ncpi0	105946	ncpi0	base	exact	133.8210096912716	226.3411786014171	
98	mcp1k	166870	ncpi0	base	exact	116.29154311507344	116.12680535768705	
98	mcp1k	169356	ncpi0	base	exact	138.08985754498488	155.91090960725785	
98	mcp1k	169626	owner	base	exact	145.44846908337985	144.57156906285562	
141	mcp2k	171729	numucc_em	base	exact		130.73681747607972	
98	mcp2k	173093	ncpi0	base	exact	148.99379139810804	149.85463870065396	
141	mcp2k	242726	numucc_em	base	exact	134.52706080296065	161.7599776859509	
98	mcp1k	278794	ncpi0	base	exact	159.07220820649397	143.01116149129618	
141	mcp1k	280972	numucc_em	pi0scan-0829-agent	exact	84.09813104641484	84.09813104641441	
98	mcp2k	281165	ncpi0	base	exact	148.10533784720272	137.3890466402442	
98	mcp1k	281639	ncpi0	base	exact	128.09304032730137	125.08228423087716	
98	mcp1k	284235	ncpi0	base	exact	146.45053877227502	161.0706247178788	
141	mcp1k	285443	numucc_em	base	exact	161.4970461424005	163.85765699155306	
98	ncpi0	285567	ncpi0	base	exact		147.9300576732301	
141	mcp1k	292027	numucc_em	base	exact	154.68540489877725	154.10119135496205	
141	mcp2k	292524	numucc_em	base	exact	114.29581876525504	88.03659055975979	
98	ncpi0	314838	ncpi0	pi0scan-0829-agent	exact	130.55469846653074	130.5546984665305	
141	mcp1k	348691		pi0mass-0904-owner	exact	141.8426993084444	116.70407778309685	
141	mcp2k	392901	other_em	pi0scan-0829-agent	exact	135.54458871159977	135.54458871159977	
98	mcp1k	399052	ncpi0	base	exact	159.03889679896517	161.02102551580813	
