# doc pr/139 sec 2.2 -- every peeled daughter and its parent, shipped baseline
event	node	kind	pdg	kine_MeV	paired	conn	nseg
21073	34027	daughter	11	73.28	1	3	9
21073	63100	parent	11	94.85	1	-1	-1
54332	76038	daughter	11	57.23	0	4	8
54332	122091	parent	11	129.84	1	-1	-1
56243	44017	daughter	11	5.76	0	4	1
56243	69032	parent	11	115.20	1	-1	-1
56982	22118	parent	11	115.54	0	-1	-1
56982	31048	daughter	11	5.03	0	4	2
58755	30003	parent	11	97.59	0	-1	-1
58755	99021	daughter	11	35.49	0	3	4
67394	41015	daughter	11	9.28	0	3	1
67394	58035	parent	11	165.57	0	-1	-1
71642	10013	daughter	2212	138.38	0	3	2
71642	41028	parent	11	48.98	0	-1	-1
71642	64051	daughter	13	3.06	0	3	1
71642	84105	parent	11	74.48	1	-1	-1
76350	76079	daughter	11	44.57	0	3	4
76350	103093	parent	11	31.90	0	-1	-1
84229	9058	daughter	13	476.38	0	3	34
84229	69134	parent	11	280.48	0	-1	-1
91917	17005	parent	11	29.34	0	-1	-1
91917	71057	daughter	11	18.16	0	4	3
96383	14005	parent	11	61.16	1	-1	-1
96383	45023	daughter	11	5.48	0	3	2
98844	6013	parent	11	317.32	0	-1	-1
98844	56033	daughter	11	27.15	0	3	5
122660	9111	parent	11	83.32	0	-1	-1
122660	38040	daughter	11	19.37	0	3	3
165157	9000	parent	11	94.35	0	-1	-1
165157	58027	daughter	11	67.77	0	3	7
169356	55015	daughter	11	3.43	0	3	1
169356	67030	parent	11	78.96	1	-1	-1
170761	8026	parent	11	311.43	0	-1	-1
170761	43046	daughter	11	9.71	0	3	6
174771	48032	daughter	11	3.30	0	4	1
174771	85060	daughter	11	111.93	1	3	7
174771	87065	parent	11	57.95	1	-1	-1
174771	91075	parent	11	9.29	0	-1	-1
175896	17044	parent	11	102.98	1	-1	-1
175896	64020	daughter	11	2.83	0	3	1
176502	109119	parent	11	1711.20	0	-1	-1
176502	148258	daughter	11	570.72	0	3	26
269774	13237	parent	11	802.24	1	-1	-1
269774	31043	daughter	13	181.58	0	3	16
278420	61027	parent	11	82.35	0	-1	-1
278420	64030	daughter	11	101.16	0	3	14
280972	72076	daughter	11	239.39	1	3	9
280972	79136	parent	11	471.69	1	-1	-1
281165	24010	parent	11	119.55	1	-1	-1
281165	49016	daughter	13	1.52	0	3	1
281165	55036	parent	11	73.69	1	-1	-1
281165	56025	daughter	13	25.10	0	3	8
281325	24013	daughter	11	4.31	0	3	2
281325	42039	parent	11	124.89	0	-1	-1
281485	89095	parent	11	27.21	0	-1	-1
281485	91111	daughter	11	0.00	0	3	4
281781	14007	daughter	13	87.74	0	3	5
281781	89069	parent	11	260.66	1	-1	-1
284200	6013	parent	11	172.80	0	-1	-1
284200	32039	daughter	13	46.11	0	3	3
287830	21042	parent	11	118.86	1	-1	-1
287830	62081	daughter	11	2.65	0	4	2
292643	25015	parent	11	105.80	0	-1	-1
292643	112035	daughter	13	31.70	0	3	4
294174	16004	parent	11	47.01	0	-1	-1
294174	71067	parent	11	88.92	0	-1	-1
294174	72069	daughter	11	41.64	0	4	4
294174	75077	daughter	11	2.95	0	4	1
313781	9012	parent	11	95.53	0	-1	-1
313781	41009	daughter	11	5.48	0	3	3
314838	13010	daughter	11	594.92	1	3	29
314838	110088	parent	11	181.84	1	-1	-1
318769	31026	parent	211	108.17	0	-1	-1
318769	139088	daughter	13	23.85	0	3	6
318769	142091	daughter	11	98.73	1	3	5
318769	143101	parent	11	57.76	1	-1	-1
350354	18092	parent	11	528.90	0	-1	-1
350354	46023	daughter	11	35.86	0	3	12
390634	1011	parent	11	132.59	0	-1	-1
390634	20021	daughter	11	11.11	0	3	7
393212	6009	parent	11	279.75	1	-1	-1
393212	50031	daughter	11	8.41	0	4	1
393505	63025	parent	11	66.88	0	-1	-1
393505	73027	daughter	11	5.23	0	3	2
396037	57009	daughter	13	29.94	0	3	3
396037	69026	parent	11	82.84	0	-1	-1
396222	9059	parent	11	1922.93	0	-1	-1
396222	129310	daughter	11	949.55	1	3	50
406125	38021	parent	11	129.57	0	-1	-1
406125	74055	daughter	11	32.41	1	3	7
415278	23012	parent	11	570.65	1	-1	-1
415278	23037	parent	11	489.77	0	-1	-1
415278	24073	daughter	11	497.85	1	3	21
415278	56091	daughter	11	505.26	0	3	19
415278	83139	parent	11	5.68	0	-1	-1
415278	107184	daughter	13	62.44	0	4	11
463565	13001	parent	11	664.95	1	-1	-1
463565	52044	daughter	11	15.95	1	3	6
487853	13000	parent	11	152.97	0	-1	-1
487853	30006	daughter	11	3.34	0	3	2
