evt	sample	src	carried	target	d_target	adm5	adm10	veto	reject_pick	M1	M2	M3	live_base	live_topo3	live_dlonly	live_trad	hit_M3
53361	mcp1k	human	0	78013	0.00	0	1	0	27001	29005	27001	27001	27001	27001	29005	27001	0
53427	mcp1k	human	0	14002	0.26	1	1	0	14002	14002	14002	14002	14002	14002	14002	14002	1
53658	mcp2k	human	0	15002	0.94	0	0	0	15001	15001	15001	15001	15001	15001	15001	15001	0
53793	mcp2k	ai-scanner	0	37016	1.74	1	1	0	12001	37016	37016	37016	37016	37016	37016	12001	1
53881	mcp2k	human	0	12002	0.00	1	1	0	12002	12002	12002	12002	12002	12002	12002	12002	1
54095	nuecc48	human	0	17007	0.45	1	1	0	17007	17007	17007	17007	17007	17007	17007	17007	1
54175	mcp1k	human	0	18002	3.56	0	0	0	18002	18002	18002	18002	18002	18002	18002	18002	1
54332	mcp2k	human	0	16004	5.84	0	0	0	16013	97090	16013	16013	16013	16013	97090	16013	0
54341	mcp1k	human	0	18002	0.50	1	1	0	18002	18002	18002	18002	18002	18002	18002	18002	1
54351	mcp1k	human	0	17006	0.75	1	1	0	17006	17006	17006	17006	17006	17006	17006	17006	1
54508	mcp2k	ai-scanner	0	10003	0.55	0	1	0	10003	22006	10003	10003	10003	10003	10003	10003	1
54629	mcp2k	human	0	15002	0.27	0	0	0	15001	53012	15001	15001	15001	15001	53012	15001	0
55278	mcp2k	ai-scanner	0	21002	0.19	1	1	0	13001	21002	21002	21002	21002	21002	21002	13001	1
55322	mcp2k	ai-scanner	0	18002	0.46	1	1	0	18002	18002	18002	18002	18002	18002	18002	18002	1
55539	mcp1k	human	0	18001	0.00	0	1	0	18001	18003	18001	18001	18001	18001	18003	18001	1
55542	mcp2k	ai-scanner	0	5004	0.74	1	1	0	5004	5004	5004	5004	5004	5004	5004	5004	1
