arm	event	klass	d_main	d_cand	cand_vid	cand_is_maincand	cross_cluster
mcp1k	54341	CORRECT	0.0	0.0	18002	1	0
mcp1k	56243	CORRECT	0.0	0.0	9002	1	0
mcp1k	59085	WRONG+CAND	4.94	0.0	3001	1	1
mcp1k	64409	CORRECT	0.0	0.0	8001	1	0
mcp1k	64591	CORRECT	0.0	0.0	17001	1	0
mcp1k	65053	WRONG+CAND	10.74	0.0	139013	1	1
mcp1k	71178	WRONG+CAND	22.91	0.0	79026	1	1
mcp1k	166870	NEAR	2.59	0.0	10001	1	0
mcp1k	169356	CORRECT	0.0	0.0	16004	1	0
mcp1k	170808	CORRECT	0.0	0.0	14003	1	0
mcp1k	172266	CORRECT	0.0	0.0	16003	1	0
mcp1k	174752	WRONG+CAND	13.95	0.0	14000	1	1
mcp1k	278420	CORRECT	0.0	0.0	18002	1	0
mcp1k	278794	CORRECT	0.0	0.0	7001	1	0
mcp1k	280972	CORRECT	0.0	0.0	7005	1	0
mcp1k	281485	WRONG+CAND	4.04	0.0	88076	0	1
mcp1k	281639	CORRECT	0.0	0.0	80023	1	0
mcp1k	282979	WRONG+CAND	102.04	0.0	44039	1	1
mcp1k	283713	CORRECT	0.0	0.0	17003	1	0
mcp1k	284200	CORRECT	0.0	0.0	31036	1	0
mcp1k	284235	NEAR	1.73	1.73	36025	1	0
mcp1k	284791	WRONG+CAND	8.08	0.0	36030	1	1
mcp1k	285443	CORRECT	0.0	0.0	7001	1	0
mcp1k	286655	WRONG+CAND	27.88	0.0	19001	1	1
mcp1k	286681	WRONG+CAND	68.6	0.0	3006	0	0
mcp1k	287830	CORRECT	0.0	0.0	16004	1	0
mcp1k	292027	CORRECT	0.0	0.0	12002	1	0
mcp1k	292643	CORRECT	0.0	0.0	18001	1	0
mcp1k	293149	WRONG+CAND	23.77	0.0	4000	1	0
mcp1k	313781	WRONG+CAND	40.94	0.0	50012	1	1
mcp1k	321767	WRONG+CAND	30.54	0.0	45029	0	1
mcp1k	347085	CORRECT	0.0	0.0	4004	1	0
mcp1k	347129	CORRECT	0.62	0.62	53030	1	0
mcp1k	348471	CORRECT	0.0	0.0	12067	0	0
mcp1k	348691	CORRECT	0.0	0.0	9003	1	0
mcp1k	349549	CORRECT	0.0	0.0	12100	0	0
mcp1k	350121	CORRECT	0.0	0.0	2007	1	0
