# doc pr/138 -- the C++ partition vs the owner labels (tape=work-pr138r1-on4-*)
event	node	verdict	track_typed	fired	cxx_nparts	owner_k	agreement	npeel
388	23032	KEEP	0	0	1	1		0
10550	7036	KEEP	0	0	1	1		0
21073	60081	SPLIT2	0	0	1	2		0
21073	63100	SPLIT2	0	1	2	2	1.0000	1
37112	84074	KEEP	0	0	1	1		0
38856	12089	KEEP	0	0	1	1		0
47212	109100	KEEP	0	0	1	1		0
52605	51023	SPLIT2	0	0	1	2		0
52672	9011	KEEP	0	0	1	1		0
52693	18034	KEEP	0	0	1	1		0
54332	27025	KEEP	0	0	1	1		0
54332	122091	KEEP	0	1	3	1	0.4934	2
56982	22116	KEEP	0	0	1	1		0
57709	99036	KEEP	0	0	1	1		0
58755	30003	SPLIT2	0	1	2	2	0.8284	1
59085	3007	KEEP	0	0	1	1		0
64409	8022	KEEP	0	0	1	1		0
65053	139020	KEEP	0	0	1	1		0
67394	58035	SPLIT2	0	1	2	2	1.0000	1
71372	19049	KEEP	0	0	1	1		0
71642	41028	SPLIT2	0	1	2	2	1.0000	1
71642	76071	KEEP	0	0	1	1		0
71642	78077	KEEP	0	0	1	1		0
71642	84105	SPLIT2	0	1	2	2	1.0000	1
71872	13008	KEEP	0	0	1	1		0
72786	16017	KEEP	0	0	1	1		0
74326	10020	KEEP	0	0	1	1		0
75954	21063	KEEP	0	0	1	1		0
76346	14059	KEEP	0	0	1	1		0
76346	49048	KEEP	0	0	1	1		0
76350	12098	KEEP	0	0	1	1		0
76350	103093	SPLIT2	0	1	2	2	1.0000	1
84229	69134	SPLIT2	0	1	2	2	1.0000	1
90055	11033	KEEP	0	0	1	1		0
91917	17005	SPLIT2	0	1	3	2	0.9386	2
94224	17013	KEEP	0	0	1	1		0
95151	6002	KEEP	0	0	1	1		0
96383	14005	SPLIT2	0	1	2	2	1.0000	1
96383	14007	KEEP	0	0	1	1		0
98844	6013	SPLIT2	0	1	2	2	0.9322	1
98844	70063	KEEP	0	0	1	1		0
99782	61032	KEEP	0	0	1	1		0
99782	64035	KEEP	0	0	1	1		0
99838	14004	KEEP	1	0	1	1		0
99838	58038	KEEP	0	0	1	1		0
100222	67054	KEEP	0	0	1	1		0
100222	75062	KEEP	0	0	1	1		0
105946	55063	KEEP	0	0	1	1		0
116962	21070	TRIM	0	0	1	2		0
122660	9110	KEEP	0	0	1	1		0
122660	9111	SPLIT2	0	1	2	2	0.8895	1
122660	53070	KEEP	0	0	1	1		0
122660	54071	KEEP	1	0	1	1		0
131357	12014	KEEP	0	0	1	1		0
138009	12088	KEEP	0	0	1	1		0
142421	108104	SPLIT2	0	0	1	2		0
165157	9000	KEEP	0	1	2	1	0.5270	1
166870	85045	KEEP	0	0	1	1		0
167612	100074	KEEP	0	0	1	1		0
167612	101086	KEEP	0	0	1	1		0
168432	22006	KEEP	0	0	1	1		0
169356	67030	SPLIT2	0	1	2	2	1.0000	1
170098	78064	KEEP	0	0	1	1		0
170761	8026	SPLIT2	0	1	3	2	0.6406	2
171729	9005	KEEP	0	0	1	1		0
172230	5027	KEEP	0	0	1	1		0
172942	4002	TRIM	0	0	1	2		0
173093	12007	KEEP	0	0	1	1		0
173495	26021	KEEP	0	0	1	1		0
174771	15018	KEEP	0	0	1	1		0
174771	87065	KEEP	0	1	2	1	0.9564	1
174771	91075	SPLIT3	0	1	2	3	0.9875	1
176502	20005	KEEP	0	0	1	1		0
176502	23030	SPLIT3	0	0	1	3		0
176502	109119	SPLIT3	0	1	4	4	0.5750	3
176502	109141	KEEP	1	0	1	1		0
176502	109299	KEEP	0	0	1	1		0
176533	11035	KEEP	0	0	1	1		0
176986	67048	KEEP	0	0	1	1		0
179048	17012	KEEP	0	0	1	1		0
179611	10001	TRIM	0	0	1	2		0
180801	15082	KEEP	0	0	1	1		0
180801	112061	KEEP	0	0	1	1		0
181050	15005	SPLIT2	0	0	1	2		0
196649	11113	KEEP	0	0	1	1		0
256587	11301	KEEP	0	0	1	1		0
259542	88060	KEEP	0	0	1	1		0
268784	13027	KEEP	0	0	1	1		0
269774	13237	SPLIT2	0	1	2	2	0.9381	1
275011	11037	KEEP	0	0	1	1		0
278420	18002	SPLIT2	1	0	1	2		0
278420	61027	KEEP	0	1	4	1	0.3885	3
280972	79136	SPLIT2	0	1	3	2	0.9424	2
281165	16006	KEEP	0	0	1	1		0
281485	87078	SPLIT3	0	0	1	3		0
