# doc pr/141 sec 17 -- audit of doc pr/139 sec 22.5
arm	src	event	shower	pdg	cls	verdict	conf	fired	nacc	nparts	tag
work-pr140r2-off	tape	388	23032	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	10550	7036	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	21073	63100	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	tape	54332	122091	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	58755	30003	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	tape	64409	8022	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	67394	58035	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	71372	19049	11	EM	SPLIT3	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	71642	76071	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	71642	84105	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	tape	76346	14059	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	76350	12098	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	84229	69134	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	90055	11033	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	98844	6013	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	99838	14004	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	100222	67054	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	122660	9110	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	122660	53070	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	122660	54071	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	138009	12088	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	165157	9000	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	170761	8026	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	tape	172230	5027	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	174771	87065	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	174771	91075	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	175896	17044	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	176502	109119	11	EM	SPLIT3	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	tape	176502	109141	2212	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	179611	10001	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	196649	11113	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	256587	11301	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	269774	13237	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	278420	61027	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	280972	79136	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	tape	281325	42039	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	281485	89095	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	281781	89069	11	EM	SPLIT3	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	tape	282909	75060	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	283515	24014	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	284200	6013	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	tape	286681	72040	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	292005	46017	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	292524	9018	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	292643	25015	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	tape	293536	15027	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	294174	16004	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	294174	71067	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	314838	110088	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	317939	30022	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	318769	31026	211	nonEM	KEEP	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	tape	321767	45019	11	EM	KEEP	high	0	2	1	splitscan-0903-wide
work-pr140r2-off	tape	348691	49046	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	350354	18092	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	386948	16002	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	386948	91060	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	389538	19021	2212	nonEM	KEEP	high	0	2	1	splitscan-0902-pi0
work-pr140r2-off	tape	393212	6009	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	tape	393505	63025	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	396037	69026	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	396222	9059	11	EM	SPLIT4+	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	396222	9084	211	nonEM	SPLIT3	high	0	2	1	splitscan-0903-wide
work-pr140r2-off	tape	406125	38021	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
