evt	sample	label_source	carried	d_p100base	d_base	d_nofitx	d_pre103	d_trad	d_dlonly	d_ma4	d_topo3	d_topk10
388	nuecc	human	1	0.000	0.000	0.630	0.000	0.000	0.000	0.000	0.000	0.000
10550	nuecc	human	1	47.365	47.365	47.226	47.365	35.788	47.365	47.365	47.365	47.365
18625	ncpi0	human	0	1.183	1.183	0.000	1.183	1.183	1.183	1.183	1.183	1.183
21073	ncpi0	human	1	0.000	0.000	0.054	0.000	8.184	0.000	0.000	0.000	0.000
30504	nuecc	human	1	74.754	74.754	75.474	74.754	74.754	100.787	100.787	74.754	74.754
37112	ncpi0	human	1	2.003	2.003	0.592	2.003	28.763	2.003	2.003	2.003	2.003
38856	nuecc	human	1	24.484	22.841	30.074	24.484	22.841	22.841	22.841	22.841	22.841
42280	nuecc	human	1	0.000	0.000	0.304	0.000	29.617	0.000	0.000	0.000	0.000
47058	mcp2k	ai-scanner	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47784	mcp2k	ai-scanner	1	0.000	0.000	0.278	0.000	0.000	0.000	0.000	0.000	0.000
47916	mcp2k	ai-scanner	1	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000
48774	mcp2k	ai-scanner	0	4.528	4.528	0.000	4.528	4.528	4.528	4.528	4.528	4.528
48895	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	31.266	0.000	0.000	0.000
50182	mcp2k	ai-scanner	1	0.000	0.000	0.143	0.000	0.000	0.000	0.000	0.000	0.000
50303	mcp1k	human	0	22.466	22.466	22.469	22.466	22.466	36.033	22.466	22.466	22.466
51128	mcp2k	human	1	0.000	0.000	0.004	0.000	0.000	62.697	0.000	0.000	0.000
51219	mcp2k	ai-scanner	1	0.000	0.000	0.548	0.000	2.563	0.000	0.000	0.000	0.000
51513	mcp1k	human	1	0.000	0.000	0.549	0.000	0.000	0.000	0.000	0.000	0.000
51868	mcp2k	human	1	156.100	156.100	0.000	156.100	156.100	83.895	149.464	156.100	156.100
51890	mcp2k	ai-scanner	1	0.000	0.000	0.148	0.000	0.000	0.000	0.000	0.000	0.000
52044	mcp2k	human	1	0.000	0.000	0.368	0.000	0.000	0.000	0.000	0.000	0.000
52085	mcp1k	human	1	0.000	0.000	0.862	0.000	0.000	0.000	0.000	0.000	0.000
52605	mcp2k	human	1	29.787	29.787	29.831	29.787	29.787	23.780	0.174	29.787	29.787
52672	nuecc	human	1	30.603	30.603	3.852	30.603	30.603	139.508	139.508	30.603	30.603
52693	mcp2k	human	1	0.000	0.000	0.348	0.000	0.000	86.533	86.533	0.000	0.000
52723	mcp1k	human	1	0.000	0.000	0.780	0.000	0.000	0.000	0.000	0.000	0.000
53130	mcp2k	ai-scanner	1	0.000	0.000	0.831	0.000	0.000	0.000	0.000	0.000	0.000
53361	mcp1k	human	1	3.251	3.251	3.251	3.251	3.251	224.710	115.463	3.251	3.251
53427	mcp1k	human	1	0.000	0.000	0.229	0.000	0.000	0.000	0.000	0.000	0.000
54095	nuecc	human	1	0.000	0.000	0.312	0.000	0.000	0.000	0.000	0.000	0.000
54332	mcp2k	human	0	20.059	20.059	69.019	20.059	20.059	106.040	106.040	20.059	20.059
54341	mcp1k	human	1	0.000	0.000	0.355	0.000	0.000	0.000	0.000	0.000	0.000
54351	mcp1k	human	1	0.000	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.000
54508	mcp2k	ai-scanner	1	0.000	0.000	0.521	0.000	0.000	0.000	0.000	0.000	0.000
54629	mcp2k	human	0	123.310	123.310	123.310	123.310	123.310	24.567	37.837	123.310	123.310
55278	mcp2k	ai-scanner	1	0.000	0.000	0.186	0.000	4.717	0.000	0.000	0.000	0.000
55539	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	180.558	180.558	0.000	0.000
55542	mcp2k	ai-scanner	1	0.000	0.000	0.690	0.000	0.000	0.000	0.000	0.000	0.000
55595	mcp1k	human	0	4.911	4.911	1.895	4.911	4.911	4.911	4.911	4.911	4.911
55715	mcp1k	human	1	0.000	0.000	0.116	0.000	0.000	0.000	0.000	0.000	0.000
56180	mcp2k	human	0	1.981	1.981	0.000	1.981	1.981	1.981	1.981	1.981	1.981
56211	mcp1k	human	1	6.194	6.194	6.222	6.194	6.194	6.194	6.194	6.194	6.194
56243	mcp1k	human	1	0.000	0.000	0.191	0.000	0.000	0.000	0.000	0.000	0.000
56463	mcp1k	human	0	1.003	1.003	0.000	1.003	1.003	1.003	1.003	1.003	1.003
56763	mcp2k	human	1	14.920	14.920	11.043	14.920	14.920	43.073	32.442	14.920	14.920
56972	mcp2k	human	1	36.896	36.896	0.000	36.896	36.896	36.896	27.490	36.896	36.896
56982	ncpi0	human	1	11.097	11.097	33.207	11.097	13.220	11.097	11.097	11.097	11.097
57280	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
57441	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	33.206	0.000	0.000	0.000
57485	mcp1k	human	1	0.000	0.000	0.449	0.000	0.000	0.000	0.000	0.000	0.000
57577	mcp2k	ai-scanner	1	0.000	0.000	0.105	0.000	0.000	0.000	0.000	0.000	0.000
57661	mcp1k	human	1	0.000	0.000	0.322	0.000	0.000	0.000	0.000	0.000	0.000
57709	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
57742	mcp2k	ai-scanner	1	0.000	0.000	0.422	0.000	0.000	0.000	0.000	0.000	0.000
57883	mcp1k	human	0	1.045	1.045	1.465	1.045	2.793	1.045	1.045	1.045	1.045
58321	mcp1k	human	1	0.000	0.000	0.122	0.000	0.000	0.000	0.000	0.000	0.000
58325	mcp2k	ai-scanner	1	0.000	0.000	0.835	0.000	0.000	18.458	0.000	0.000	0.000
58345	mcp1k	human	1	46.426	46.426	46.426	46.426	46.426	96.666	0.000	46.426	46.426
58607	mcp1k	human	1	3.797	3.797	4.039	3.797	3.797	66.154	3.797	3.797	3.797
58653	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	22.977	0.000	0.000	0.000
58717	mcp1k	human	0	16.217	16.217	0.000	16.217	1.066	1.066	16.217	1.066	16.217
58919	mcp2k	ai-scanner	1	0.000	0.000	0.164	0.000	0.000	33.631	0.000	0.000	0.000
59025	mcp1k	human	1	0.000	0.000	0.268	0.000	0.000	0.000	0.000	0.000	0.000
59085	mcp1k	human	1	4.940	4.940	4.940	4.940	4.940	21.432	21.432	4.940	4.940
59247	mcp1k	human	0	4.116	4.116	0.000	4.116	155.011	4.116	4.116	4.116	4.116
59261	mcp1k	human	0	5.546	5.546	83.343	5.546	87.709	5.546	5.546	5.546	5.546
59335	mcp1k	human	1	0.000	0.000	66.005	0.000	0.000	0.000	0.000	0.000	0.000
