event	moved_cm	dA_cm	dB_cm	verdict	b1_cm	nue	numu	cosmict
389538	213.463	213.47	0.30	toward	213.47	4.30->-15.00	0.78->4.30	=
46363	45.057	45.06	0.00	toward	45.06	4.30->1.82	-1.04->-1.76	=
111412	41.322	40.53	0.80	toward	40.53	0.04->4.30	0.07->-1.39	=
52672	30.972	30.60	3.85	toward	30.60	-4.30->-15.00	-1.45->-1.44	=
235435	30.922	30.82	0.18	toward	30.82	-15.00->4.30	0.69->-0.55	=
38856	9.228	22.84	30.07	ADVERSE	22.84	-0.37->2.31	0.60->0.20	=
122660	5.941	5.68	0.27	toward	5.68	4.30->-15.00	-0.39->0.01	=
163543	5.716	37.41	32.61	toward	37.41	-1.39->3.18	-0.64->0.62	=
469665	1.548	1.41	0.44	toward	1.41	1.23->4.30	-1.53->-0.10	=
30504	1.032	74.75	75.47	away	74.75	-1.39->-15.00	-0.99->0.09	0.0->1.0
131357	0.795	0.00	0.80	on	0.00	=	-0.12->-0.57	=
138009	0.645	0.00	0.65	on	0.00	=	-0.45->-0.23	=
90055	0.633	0.00	0.63	on	0.00	=	-1.14->-0.83	=
388	0.630	0.00	0.63	on	0.00	=	-1.75->-1.43	=
137238	0.442	0.00	0.44	on	0.00	-3.41->-15.00	1.14->0.70	=
246579	0.411	0.00	0.41	on	0.00	=	-2.38->-2.10	=
433451	0.409	0.00	0.41	on	0.00	=	-1.93->-0.83	=
268784	0.398	0.00	0.40	on	0.00	=	-0.60->0.37	=
74544	0.372	0.00	0.37	on	0.00	=	-0.21->-1.77	=
10550	0.339	47.37	47.23	toward	47.37	=	-0.97->-0.45	=
447477	0.331	0.00	0.33	on	0.00	=	0.26->0.69	=
54095	0.312	0.00	0.31	on	0.00	=	0.01->-1.22	=
42280	0.304	0.00	0.30	on	0.00	=	-2.24->-0.83	=
239794	0.300	0.00	0.30	on	0.00	=	-0.76->-0.95	=
422851	0.294	0.00	0.29	on	0.00	=	-0.19->-0.38	=
269774	0.272	0.00	0.27	on	0.00	=	-1.02->-0.73	=
489330	0.269	0.00	0.27	on	0.00	=	-1.77->-0.88	=
400474	0.253	0.00	0.25	on	0.00	4.16->4.30	-0.07->0.28	=
69314	0.247	0.00	0.25	on	0.00	-15.00->0.13	3.96->1.85	=
350186	0.239	0.00	0.24	on	0.00	=	-1.07->-0.66	=
342199	0.234	0.00	0.23	on	0.00	=	-1.13->-1.14	=
172230	0.214	0.00	0.21	on	0.00	=	=	=
174637	0.161	0.00	0.16	on	0.00	=	0.62->0.97	=
256587	0.161	0.00	0.16	on	0.00	=	-2.30->-1.39	=
81597	0.104	0.00	0.10	on	0.00	=	-0.74->-0.70	=
219295	0.085	0.00	0.09	on	0.00	=	-0.28->0.06	=
214469	0.074	0.00	0.07	on	0.00	=	-0.27->-0.48	=
444187	0.070	0.00	0.07	on	0.00	=	1.57->0.96	=
