==============================================================================
pr/130 item 4 part 10 -- why the right shower did not acquire the cluster
==============================================================================

78 segment(s), 2.1955e+07 of charge

  OWNED       1 seg  1.4284e+05    0.7%
  REJECTED   21 seg  4.4772e+06   20.4%
  ABSENT     56 seg  1.7335e+07   79.0%

per event:
  event      OWNED  REJECTED  ABSENT
  21073          0        11       0
  105946         1         7       0
  122660         0         0      11
  181050         0         0       8
  342199         0         3       0
  463565         0         0      26
  469665         0         0      11

per segment (by charge):
  event    shower   seg      class              q site               angle_v1 angle_v2  pair_dis
  122660   9110     47049    ABSENT     1.456e+06 -                         -        -         -
  122660   9110     54071    ABSENT     1.275e+06 -                         -        -         -
  122660   9110     55073    ABSENT     1.155e+06 -                         -        -         -
  463565   13001    115100   ABSENT     9.442e+05 -                         -        -         -
  342199   25109    74106    REJECTED   9.322e+05 pass4_angle_early      36.0    121.7      91.1
  181050   15006    69039    ABSENT     8.272e+05 -                         -        -         -
  463565   13001    115088   ABSENT     7.325e+05 -                         -        -         -
  105946   55063    53029    REJECTED   7.223e+05 pass4_angle_early      18.4     51.6      71.8
  21073    60081    57049    REJECTED   6.616e+05 pass4_angle_early      49.5     52.0      46.4
  122660   9110     53068    ABSENT     6.406e+05 -                         -        -         -
  463565   13001    109073   ABSENT     5.586e+05 -                         -        -         -
  463565   13001    115106   ABSENT     5.198e+05 -                         -        -         -
  463565   13001    111079   ABSENT     5.159e+05 -                         -        -         -
  122660   9110     47050    ABSENT     5.131e+05 -                         -        -         -
  463565   13001    115103   ABSENT     4.175e+05 -                         -        -         -
  122660   9110     53069    ABSENT     4.145e+05 -                         -        -         -
  463565   13001    109074   ABSENT     4.089e+05 -                         -        -         -
  469665   15003    62073    ABSENT     3.915e+05 -                         -        -         -
  122660   9110     60104    ABSENT     3.907e+05 -                         -        -         -
  122660   9110     53070    ABSENT     3.713e+05 -                         -        -         -
  469665   15003    66042    ABSENT     3.690e+05 -                         -        -         -
  463565   13001    115099   ABSENT     3.539e+05 -                         -        -         -
  469665   15003    68052    ABSENT     3.296e+05 -                         -        -         -
  469665   15003    66048    ABSENT     3.279e+05 -                         -        -         -
  181050   15006    68031    ABSENT     2.996e+05 -                         -        -         -
  463565   13001    114086   ABSENT     2.925e+05 -                         -        -         -
  342199   25109    74107    REJECTED   2.909e+05 pass4_angle_early      37.7    122.9      97.6
  181050   15006    61021    ABSENT     2.722e+05 -                         -        -         -
  463565   13001    72064    ABSENT     2.718e+05 -                         -        -         -
  105946   55063    53030    REJECTED   2.570e+05 pass4_angle_early      24.4     64.3      69.1
  21073    60081    64109    REJECTED   2.314e+05 pass4_angle_early      50.8     52.3      79.5
  463565   13001    115102   ABSENT     2.257e+05 -                         -        -         -
  122660   9110     30032    ABSENT     2.201e+05 -                         -        -         -
  469665   15003    68053    ABSENT     2.130e+05 -                         -        -         -
  105946   55063    53031    REJECTED   2.106e+05 pass4_angle_early      28.5     64.0      76.1
  122660   9110     36038    ABSENT     2.020e+05 -                         -        -         -
  463565   13001    75067    ABSENT     1.990e+05 -                         -        -         -
  469665   15003    66047    ABSENT     1.906e+05 -                         -        -         -
  463565   13001    115101   ABSENT     1.850e+05 -                         -        -         -
  463565   13001    110075   ABSENT     1.832e+05 -                         -        -         -
  21073    60081    33026    REJECTED   1.803e+05 pass4_angle_early      48.5     51.0      43.7
  463565   13001    115090   ABSENT     1.714e+05 -                         -        -         -
  469665   15003    68059    ABSENT     1.681e+05 -                         -        -         -
  105946   55063    54032    REJECTED   1.520e+05 pass4_angle_early      14.7     52.4      64.6
  463565   13001    114084   ABSENT     1.517e+05 -                         -        -         -
  105946   56056    39013    OWNED      1.428e+05 pass4_angle               -        -         -
  105946   55063    38012    REJECTED   1.408e+05 pass4_angle_early      37.8     72.9      81.3
  181050   15006    68034    ABSENT     1.301e+05 -                         -        -         -
  463565   13001    59051    ABSENT     1.250e+05 -                         -        -         -
  463565   13001    112080   ABSENT     1.241e+05 -                         -        -         -
  21073    60081    64108    REJECTED   1.193e+05 pass4_angle_early      52.1     53.5      82.2
  342199   25109    74101    REJECTED   1.164e+05 pass4_angle_early      38.0    124.5      98.4
  21073    60081    31024    REJECTED   1.081e+05 pass4_angle_early      49.0     52.2      35.0
  181050   15006    68032    ABSENT     9.066e+04 -                         -        -         -
  181050   15006    58018    ABSENT     8.928e+04 -                         -        -         -
  122660   9110     39041    ABSENT     8.410e+04 -                         -        -         -
  21073    60081    31023    REJECTED   8.408e+04 pass4_angle_early      49.0     52.2      35.0
  463565   13001    73065    ABSENT     7.418e+04 -                         -        -         -
  463565   13001    115092   ABSENT     7.344e+04 -                         -        -         -
  181050   15006    54014    ABSENT     5.895e+04 -                         -        -         -
  105946   55063    32006    REJECTED   4.919e+04 pass4_angle_early      27.4     52.8      93.0
  105946   55063    35009    REJECTED   4.514e+04 pass4_angle_early      16.9     40.8      82.9
  21073    60081    52045    REJECTED   4.479e+04 pass4_angle_early      47.1     49.3      47.1
  463565   13001    113081   ABSENT     4.281e+04 -                         -        -         -
  463565   13001    49041    ABSENT     3.906e+04 -                         -        -         -
  463565   13001    50042    ABSENT     3.889e+04 -                         -        -         -
  21073    60081    34027    REJECTED   3.866e+04 pass4_angle_early      44.8     47.1      42.8
  21073    60081    29021    REJECTED   3.546e+04 pass4_angle_early      37.1     37.9      95.9
  463565   13001    115094   ABSENT     3.192e+04 -                         -        -         -
  21073    60081    47040    REJECTED   3.170e+04 pass4_angle_early      39.5     41.7      40.0
  181050   15006    57017    ABSENT     2.996e+04 -                         -        -         -
  463565   13001    48040    ABSENT     2.771e+04 -                         -        -         -
  469665   15003    35010    ABSENT     2.692e+04 -                         -        -         -
