ev	site	shw	seg	pdg	verdict	final_owner	kept	len_cm	site_ang	dist_cm	ang15	ang60	ao
166870	pass3_cone	10074	10003	11	UNL	10074	1	7.72	10.41	18.93	10.41	12.71	0.0
166870	pass3_cluster_map	10074	10001	11	UNL	10074	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
169626	pass3_cone	22034	54078	13	UNL	22034	1	0.49	12.28	52.2	12.28	12.98	0.0
169626	pass3_cone	22034	55079	13	UNL	22034	1	0.21	7.23	42.69	7.23	8.0	0.0
169626	pass3_cone	22034	56080	13	UNL	22034	1	0.31	8.35	46.76	8.35	8.15	0.0
169626	pass3_cone	22034	57081	2212	UNL	22034	1	0.38	8.96	58.41	8.96	8.29	0.0
169626	pass3_cone	22034	59083	13	UNL	22034	1	0.33	12.83	44.67	12.83	12.1	0.0
172942	pass3_cone	4002	68014	11	UNL	4002	1	9.76	15.48	55.43	15.48	11.32	0.0
172942	pass3_cone	4002	68015	11	UNL	4002	1	2.62	18.67	62.77	18.67	11.9	0.0
172942	pass3_cone	4002	70017	11	UNL	4002	1	0.95	16.89	66.02	16.89	10.45	0.0
172942	pass3_cone	4002	73031	11	UNL	4002	1	4.52	18.67	72.22	18.67	12.03	0.0
347129	pass3_cone	53021	44010	2212	UNL	53021	1	0.39	5.72	75.1	5.72	5.72	0.0
347129	pass3_cone	53021	51011	11	UNL	53021	1	5.51	4.12	77.55	4.12	4.12	0.0
347129	pass3_cone	53021	52019	11	UNL	53021	1	4.87	6.24	30.71	6.24	6.24	0.0
347129	pass3_cone	53021	52020	11	UNL	53021	1	2.61	6.44	34.77	6.44	1.57	0.0
347129	pass3_cone	53021	54027	11	UNL	53021	1	6.39	3.71	48.52	3.71	3.11	0.0
347129	pass3_cone	53021	54030	11	UNL	53021	1	4.46	4.21	54.24	4.21	1.77	0.0
394532	pass3_cone	39021	24004	13	UNL	39021	1	1.24	20.48	23.87	20.48	20.48	0.0
394532	pass3_cone	39021	26006	13	UNL	39021	1	0.33	17.34	48.23	17.34	13.42	0.0
394532	pass3_cone	39021	27007	2212	UNL	39021	1	0.33	14.1	64.58	14.1	6.11	0.0
165157	pass3_cone	62049	43016	13	UNL	43016	0	1.14	5.78	93.27	5.78	5.78	0.0
165157	pass3_cone	62049	52025	11	UNL	62049	1	3.84	12.34	18.69	12.34	12.34	0.0
165157	pass3_cone	62049	63044	11	UNL	62049	1	11.25	6.81	26.55	6.81	9.18	0.0
165157	pass3_cone	62049	63045	11	UNL	62049	1	4.23	3.11	23.63	3.11	1.98	0.0
165157	pass3_cone	62049	63047	11	UNL	62049	1	10.0	7.85	26.6	7.85	5.34	0.0
176502	pass3_cone	109119	20001	2212	UNL	109119	1	6.53	14.11	196.96	13.14	13.15	5.0
176502	pass3_cone	109119	20005	13	UNL	109119	1	5.19	12.97	194.75	12.09	12.08	5.0
176502	pass3_cone	109119	20010	11	UNL	109119	1	2.14	15.28	113.06	14.47	14.46	5.0
176502	pass3_cone	109119	20012	11	UNL	109119	1	1.55	16.43	38.5	16.1	16.02	5.0
176502	pass3_cone	109119	71034	13	UNL	109119	1	0.3	8.99	108.72	10.29	10.49	5.0
176502	pass3_cone	109119	76039	2212	UNL	109119	1	0.36	11.2	155.97	12.53	12.13	5.0
176502	pass3_cone	109119	78041	13	UNL	109119	1	0.49	5.89	88.32	5.28	4.87	5.0
176502	pass3_cone	109119	83046	13	UNL	109119	1	0.55	6.72	189.13	7.24	6.78	5.0
176502	pass3_cone	109119	84047	13	UNL	109119	1	0.39	7.21	113.42	5.99	5.72	5.0
176502	pass3_cone	109119	85048	11	UNL	109119	1	2.7	14.47	126.62	12.63	12.75	5.0
176502	pass3_cone	109119	86049	11	UNL	109119	1	1.77	3.74	125.45	4.44	4.0	5.0
176502	pass3_cone	109119	87050	11	UNL	109119	1	0.7	4.16	136.95	2.49	2.41	5.0
176502	pass3_cone	109119	88051	11	UNL	109119	1	2.81	3.81	125.56	4.54	4.1	5.0
176502	pass3_cone	109119	90053	13	UNL	109119	1	0.45	6.82	52.46	5.3	5.7	5.0
176502	pass3_cone	109119	91054	11	UNL	109119	1	2.11	7.33	55.5	6.8	7.18	5.0
176502	pass3_cone	109119	92055	13	UNL	109119	1	0.2	19.25	70.82	17.68	17.78	5.0
176502	pass3_cone	109119	95058	13	UNL	109119	1	0.34	5.79	118.03	4.31	4.42	5.0
176502	pass3_cone	109119	98061	13	UNL	109119	1	0.4	12.13	148.6	10.51	10.61	5.0
176502	pass3_cone	109119	100063	11	UNL	109119	1	3.45	15.2	114.95	13.75	13.85	5.0
176502	pass3_cone	109119	101064	11	UNL	109119	1	12.64	16.29	97.64	17.77	17.68	5.0
176502	pass3_cone	109119	104067	2212	UNL	109119	1	2.92	7.57	128.83	8.19	8.07	5.0
176502	pass3_cone	109119	105068	11	UNL	109119	1	1.99	13.42	104.55	11.78	11.87	5.0
176502	pass3_cone	109119	106069	13	UNL	109119	1	2.31	4.73	145.78	4.39	4.51	5.0
176502	pass3_cone	109119	107070	13	UNL	109119	1	0.58	12.48	165.19	10.92	11.01	5.0
176502	pass3_cone	109119	108072	11	UNL	109119	1	4.23	11.64	131.35	9.97	10.06	5.0
176502	pass3_cone	109119	108073	11	UNL	109119	1	3.77	11.72	135.33	10.07	10.16	5.0
176502	pass3_cone	109119	108074	11	UNL	109119	1	3.87	11.72	135.33	10.07	10.16	5.0
176502	pass3_cone	109119	109114	11	UNL	109119	1	34.23	12.64	5.94	13.33	13.42	5.0
176502	pass3_cone	109299	109122	11	UNL	109299	1	24.49	13.8	20.11	13.8	13.8	5.0
176502	pass3_cone	109119	109123	13	UNL	109119	1	28.04	8.9	59.05	4.02	7.95	5.0
176502	pass3_cone	109119	109139	11	UNL	109119	1	23.61	7.34	86.72	10.86	7.0	5.0
176502	pass3_cone	109299	109144	11	UNL	109299	1	11.13	27.32	29.93	27.32	11.73	5.0
176502	pass3_cone	109119	110163	11	UNL	109119	1	4.89	16.91	77.0	20.33	16.62	5.0
176502	pass3_cone	109119	112165	11	UNL	109119	1	3.4	10.49	99.33	13.01	9.48	5.0
176502	pass3_cone	109119	115177	11	UNL	109119	1	6.91	7.05	90.1	1.8	5.55	5.0
176502	pass3_cone	109119	131203	13	UNL	109119	1	0.19	12.79	71.14	18.79	15.76	5.0
176502	pass3_cone	109119	144216	13	UNL	109119	1	0.57	21.27	71.23	27.3	23.78	5.0
176502	pass3_cone	109119	147229	11	UNL	109119	1	7.2	18.63	33.09	24.64	21.55	5.0
176502	pass3_cone	109119	147239	11	UNL	109119	1	3.18	25.47	34.64	31.49	26.94	5.0
176502	pass3_cone	109119	147245	11	UNL	109119	1	9.97	28.63	25.17	34.65	29.38	5.0
176502	pass3_cone	109119	147248	11	UNL	109119	1	4.99	18.63	33.09	24.64	17.49	5.0
176502	pass3_cone	109119	148251	11	UNL	109119	1	4.06	20.74	65.29	26.74	18.5	5.0
176502	pass3_cone	109119	148253	11	UNL	109119	1	21.45	25.92	47.37	31.92	23.68	5.0
176502	pass3_cone	109119	148254	11	UNL	109119	1	14.97	25.92	47.37	31.92	20.68	5.0
176502	pass3_cone	109119	148257	11	UNL	109119	1	6.09	27.32	39.3	33.27	19.1	5.0
176502	pass3_cone	109119	148258	11	UNL	109119	1	18.21	24.34	15.84	30.34	15.5	5.0
176502	pass3_cone	109119	148259	11	UNL	109119	1	9.57	27.08	31.57	33.05	17.23	5.0
176502	pass3_cone	109119	148261	11	UNL	109119	1	4.45	27.32	39.3	33.27	16.65	5.0
176502	pass3_cone	109119	148262	11	UNL	109119	1	4.19	27.03	43.42	33.02	15.95	5.0
176502	pass3_cone	109119	148263	11	UNL	109119	1	4.12	26.92	43.15	32.89	15.42	5.0
176502	pass3_cone	109119	148264	11	UNL	109119	1	13.84	27.05	44.48	32.92	15.22	5.0
176502	pass3_cone	109119	148265	11	UNL	109119	1	12.9	28.76	48.82	34.69	15.47	5.0
176502	pass3_cone	109119	153270	13	UNL	109119	1	1.37	24.17	64.76	29.11	18.34	5.0
176502	pass3_cone	109119	166289	11	UNL	109119	1	5.35	29.07	65.97	35.12	15.03	5.0
176502	pass3_cone	109119	168291	11	UNL	109119	1	6.87	14.2	173.45	18.59	9.71	5.0
176502	pass3_cone	109119	169292	13	UNL	109119	1	3.16	14.42	117.01	16.65	16.01	5.0
176502	pass3_cluster_map	109119	20003	211	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
176502	pass3_cluster_map	109119	109112	11	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
176502	pass3_cluster_map	109119	109113	11	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
176502	pass3_cluster_map	109119	109140	11	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
176502	pass3_cluster_map	109119	109142	13	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
176502	pass3_cluster_map	109119	109145	13	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
176502	pass3_cluster_map	109119	109158	11	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
176502	pass3_cluster_map	109119	109160	11	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
176502	pass3_cluster_map	109119	147237	11	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
176502	pass3_cluster_map	109119	147242	11	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
176502	pass3_cluster_map	109119	147247	11	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
