event	sample	setname	R_prod	m_prod	e_pair	need_mev	orphan_mev	other_shower_mev	budget_mev	budget_lo	budget_hi	k_ratio	need_over_budget	verdict	rescued_by_marks
71178	mcp1k	141	0.183	23.9	158.1	706.3	30.9	53.5	84.4	71.0	95.0	1.34	8.37	EXCLUDED	0
397630	mcp2k	141	0.4	54.0	225.8	338.5	265.6	68.8	334.4	329.6	340.0	1.03	1.012	INDETERMINATE	0
168432	mcp1k	141	0.423	53.5	356.9	486.7	263.8	81.6	345.3	240.3	437.1	1.82	1.409	EXCLUDED	0
281485	mcp1k	98	0.513	62.5	95.5	90.7	4.8	426.8	431.6	258.4	589.0	2.28	0.21	REACHABLE	0
103798	mcp2k	141	0.538	72.0	222.1	190.8	87.8	64.0	151.8	139.8	170.8	1.22	1.257	EXCLUDED	0
280159	mcp2k	141	0.566	73.6	203.5	156.0	506.4	487.7	994.0	950.8	1079.7	1.14	0.157	REACHABLE	0
342199	nuecc48	98	0.688	92.6	118.1	53.6	322.8	863.5	1186.3	891.5	1895.0	2.13	0.045	RESCUED	1
409634	mcp1k	98	0.749	77.4	203.6	68.2	35.6	118.4	154.0	154.0	154.0	1.0	0.443	RESCUED	1
280972	mcp1k	141	0.773	78.2	700.3	205.7	1855.1	877.2	2732.3	1328.7	3480.0	2.62	0.075	REACHABLE	0
176986	mcp2k	98	0.799	105.9	276.0	69.4	12.5	61.2	73.7	65.8	80.3	1.22	0.942	INDETERMINATE	0
54341	mcp1k	141	0.873	63.7	298.3	43.4	402.2	53.3	455.4	260.7	486.8	1.87	0.095	RESCUED	1
281639	mcp1k	98	0.895	120.8	277.4	32.5	23.7	8.4	32.1	30.3	34.3	1.13	1.013	INDETERMINATE	0
499577	mcp2k	141	0.921	111.7	135.5	11.6	73.7	1369.9	1443.6	1299.4	2019.1	1.55	0.008	REACHABLE	0
283713	mcp1k	141	0.936	88.2	177.7	12.2	455.4	1970.3	2425.8	1849.6	2557.6	1.38	0.005	REACHABLE	0
54332	mcp2k	98	0.938	109.0	246.3	16.3	634.9	676.2	1311.1	1120.8	1387.8	1.24	0.012	RESCUED	1
242726	mcp2k	141	0.961	125.1	171.1	6.9	912.5	9.1	921.6	815.3	997.6	1.22	0.008	REACHABLE	0
169356	mcp1k	98	0.974	131.2	175.6	4.7	627.3	136.0	763.3	671.9	867.6	1.29	0.006	REACHABLE	0
347129	mcp1k	98	0.976	122.0	193.2	4.8	22.1	22.3	44.4	33.9	51.6	1.52	0.107	REACHABLE	0
392901	mcp2k	141	0.979	126.1	281.6	6.0	1354.1	1988.2	3342.3	2400.1	4240.8	1.77	0.002	REACHABLE	0
