# doc pr/138 sec 5.1 -- conversion gap vs wrong vertex, rad=5 cm
event	node	owner	positive	fired	vgap_cm	void_frac	occ_other
388	23032	KEEP	0	0	0.00	0.0000	1.0000
10550	7036	KEEP	0	0	0.00	0.0000	1.0000
21073	60081	SPLIT2	1	0	3.38	0.0000	1.0000
21073	63100	SPLIT2	1	1	26.33	0.8000	0.8000
37112	84074	KEEP	0	0	0.00	0.0000	1.0000
38856	12089	KEEP	0	0	0.00	0.0000	1.0000
47212	109100	KEEP	0	0	27.95	0.4667	0.9333
52605	51023	SPLIT2	1	0	0.00	0.0667	1.0000
52672	9011	KEEP	0	0	39.09	0.3667	0.8667
52693	18034	KEEP	0	0	0.00	0.4000	1.0000
54332	27025	KEEP	0	0	38.90	0.7000	0.7000
54332	122091	KEEP	0	1	39.57	0.8667	0.8667
56982	22116	KEEP	0	0	0.00	0.0000	1.0000
57709	99036	KEEP	0	0	37.41	0.6333	0.8667
58755	30003	SPLIT2	1	1	0.00	0.6667	1.0000
59085	3007	KEEP	0	0	4.94	0.0000	1.0000
64409	8022	KEEP	0	0	0.00	0.0000	1.0000
65053	139020	KEEP	0	0	7.47	0.0000	0.7000
67394	58035	SPLIT2	1	1	43.46	0.5667	0.9333
71372	19049	KEEP	0	0	7.42	0.0000	1.0000
71642	41028	SPLIT2	1	1	9.19	0.0000	0.4000
71642	76071	KEEP	0	0	58.53	0.6667	0.8000
71642	78077	KEEP	0	0	36.87	0.0000	0.3333
71642	84105	SPLIT2	1	1	3.51	0.0333	1.0000
71872	13008	KEEP	0	0	4.93	0.0000	1.0000
72786	16017	KEEP	0	0	8.90	0.2000	0.9000
74326	10020	KEEP	0	0	19.24	0.0000	0.1333
75954	21063	KEEP	0	0	0.00	0.0000	1.0000
76346	14059	KEEP	0	0	0.00	0.5667	1.0000
76346	49048	KEEP	0	0	55.55	0.6333	1.0000
76350	12098	KEEP	0	0	0.00	0.0000	1.0000
76350	103093	SPLIT2	1	1	10.21	0.0667	0.4333
84229	69134	SPLIT2	1	1	14.42	0.1000	0.9000
90055	11033	KEEP	0	0	0.00	0.0000	1.0000
91917	17005	SPLIT2	1	1	115.70	0.9000	0.9000
94224	17013	KEEP	0	0	0.00	0.0000	1.0000
95151	6002	KEEP	0	0	23.80	0.3667	0.8333
