     evt    L_cm  dvtx_cm  dEnu      PF-tree change
  283595     3.3  0.0      0.0       -[] +[]
  281595     3.4  0.0      0.0       -[] +[]
  489327     5.2  0.5      23.6      -[e- 384, mu- 912, e- 49] +[e- 368, mu- 911, p 81]
  394796     8.5  0.0      -47.4     -[e- 47] +[]
   73004    11.9  92.3     -28.2     -[mu- 243, e- 21, e- 35] +[mu- 242, e- 6, e- 21, e- 1]
  169356    16.9  27.1     -149.0    -[pi+ 105, pi+ 110, mu- 125, e- 30, e- 28, e- 65, e- 1] +[mu- 280, e- 304, e- 2, e- 4, e- 0]
  317939    16.9  2.1      -189.0    -[mu- 358, p 125, e- 167, e- 53, p 19] +[e- 615, e- 29, e- 1, e- 1, e- 1]
  315849    21.1  0.0      -183.1    -[p 175] +[]
  285467    39.5  116.5    -169.3    -[mu- 120, mu- 12, e- 329] +[mu- 36, mu- 256]
  278684    61.6  0.0      -386.4    -[mu- 125, e- 386] +[mu- 125]
  314507    62.2  0.0      278.5     -[mu- 254] +[pi+ 276, p 83, e- 26, e- 1]
  288639    80.7  0.0      0.2       -[pi+ 181] +[pi+ 181]
   59003   109.4  0.0      -361.5    -[e- 362] +[]
  282899   158.7  0.0      0.0       -[] +[]
