event	bucket	shower	matched	n_target	n_actual	n_inter	n_miss	n_extra	comp	pur	q_comp	q_pur	q_f1	q_target	q_actual	q_miss	q_extra	drift	miss	extra	set
21073	1 under-clustered	60081	60081	45	38	38	7	0	0.8444	1.0000	0.8848	1.0000	0.9389	12350683.9000	10927297.3000	1423386.6000	0	0	31023,31024,33026,34027,57049,64108,64109		98
47212	2 over-clustered	2103	105072	24	24	24	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	7502170.3000	7502170.3000	0	0	1			98
47212	2 over-clustered	70038	70038	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1217628.4000	1217628.4000	0	0	0			98
54332	2 over-clustered	16014	16017	13	5	4	9	1	0.3077	0.8000	0.5727	0.9817	0.7234	4842458.9000	2825207.9000	2069023.7000	51772.7000	2	97060,97062,97063,97064,98066,98067,98068,99069,129113	85047	98
54332	2 over-clustered	122091	122091	15	12	11	4	1	0.7333	0.9167	0.7313	0.9536	0.8278	3725980.8000	2857540.2000	1000991.0000	132550.4000	9	80042,81043,123098,123099	121085	98
64591	1 under-clustered	83044	83044	18	19	18	0	1	1.0000	0.9474	1.0000	0.9949	0.9975	4362256.0000	4384430.5000	0	22174.5000	2		67016	98
76346	1+2 both	14059	14059	15	15	15	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	3630265.1000	3630265.1000	0	0	14			98
76346	1+2 both	40030	49048	5	5	5	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1463341.1000	1463341.1000	0	0	6			98
84229	2 over-clustered	69134	69134	51	53	50	1	3	0.9804	0.9434	0.9569	0.9936	0.9749	17115201.5000	16482070.6000	738035.1000	104904.2000	3	9058	58092,59093,65099	98
105946	1 under-clustered	55063	55063	21	18	16	5	2	0.7619	0.8889	0.8299	0.9857	0.9011	8153185.3000	6864246.4000	1387035.5000	98096.6000	2	35009,53029,53030,53031,54032	37011,50025	98
105946	1 under-clustered	56056	56056	5	3	3	2	0	0.6000	1.0000	0.8106	1.0000	0.8954	1011390.9000	819784.7000	191606.2000	0	0	39013,50025		98
122660	1 under-clustered	9110	9110	47	39	37	10	2	0.7872	0.9487	0.7391	0.8229	0.7788	23313050.4000	20938430.2000	6082007.0000	3707386.8000	2	30032,36038,39041,47049,47050,53069,53070,54071,55073,60104	31033,50052	98
142421	2 over-clustered	7010	108104	34	47	33	1	14	0.9706	0.7021	0.5399	0.6913	0.6063	12855702.1000	10040956.2000	5914487.0000	3099741.1000	48	7010	48024,50026,51027,52028,56032,64040,72048,79055,107100,107101,108104,108105,108106,108107	98
166870	1 under-clustered	87058	87058	11	12	11	0	1	1.0000	0.9167	1.0000	0.9935	0.9967	3104741.4000	3125072.1000	0	20330.7000	2		47035	98
168596	1 under-clustered	14153	14153	61	68	61	0	7	1.0000	0.8971	1.0000	0.9844	0.9921	24678169.0000	25068933.3000	0	390764.3000	27		66088,68090,72094,75097,76098,84106,87109	98
169626	1 under-clustered	53069	53069	34	30	30	4	0	0.8824	1.0000	0.7966	1.0000	0.8868	10571564.9534	8421798.6000	2149766.3534	0	0	39039,42042,43043,53070		98
173093	1 under-clustered	12007	12007	16	15	13	3	2	0.8125	0.8667	0.8186	0.9787	0.8915	4173573.0000	3490669.6000	757261.9000	74358.5000	2	53024,58029,61040	50021,57028	98
173093	1 under-clustered	18017	18017	6	7	6	0	1	1.0000	0.8571	1.0000	0.9728	0.9862	906198.8000	931494.1000	0	25295.3000	1		69048	98
269774	1+2 both	13237	13237	43	51	43	0	8	1.0000	0.8431	1.0000	0.8983	0.9464	12360820.9000	13760308.2000	0	1399487.3000	3		19040,67079,68080,96189,96190,100213,108232,109233	98
269774	1+2 both	97197	97197	16	9	8	8	1	0.5000	0.8889	0.7022	0.9679	0.8140	4700078.0000	3409928.9000	1399487.3000	109338.2000	1	19040,67079,68080,96189,96190,100213,108232,109233	31043	98
281485	1 under-clustered	88090	88090	7	4	4	3	0	0.5714	1.0000	0.7144	1.0000	0.8334	2000451.7000	1429030.8000	571420.9000	0	2	62041,90104,90105		98
284235	1 under-clustered	6004	6004	8	10	8	0	2	1.0000	0.8000	1.0000	0.9643	0.9818	2572504.2000	2667624.1000	0	95119.9000	3		26007,29010	98
284235	1 under-clustered	74027	74027	8	7	7	1	0	0.8750	1.0000	0.8756	1.0000	0.9337	1927295.7000	1687595.4000	239700.3000	0	1	38019		98
314838	2 over-clustered	110088	110088	30	28	20	10	8	0.6667	0.7143	0.7573	0.7219	0.7392	10868789.1000	11401165.7000	2638309.2000	3170685.8000	2	13010,83027,85029,87031,89033,91035,94038,95039,109070,109071	98042,110083,110084,110085,110088,110089,111091,111092	98
342199	1 under-clustered	74101	74101	10	3	3	7	0	0.3000	1.0000	0.5040	1.0000	0.6702	2657838.2000	1339490.2000	1318348.0000	0	0	25035,25037,25038,25108,25109,72098,73099		98
