event	arm	seg	pdg	len_cm	med_dqdx_mip	cur	cur_nseg	cur_len_cm	owner	divert	pair_dis_cm	front_dis_cm	body_dis_cm	snap_dis_cm	angle_v1	angle_v2	tier	trk	seg_mark	marked_shower	verdict	label_tag
99782	work-pr123r1-dbg141v2-mcp2k	54017	13	0.37	0.864	64035	3	16.3	64035	0	57.99	44.77	24.77	33.2	19.89	26.98	1	1			correct	emscan-0828-agent5
99782	work-pr123r1-dbg141v2-mcp2k	60018	11	8.2	1.148	64035	4	16.6	64035	0	62.03	47.44	2.78	34.07	1.67	3.17	1	1			correct	emscan-0828-agent5
99782	work-pr123r1-dbg141v2-mcp2k	62033	11	2.45	1.327	64035	5	24.8	64035	0	40.6	26.13	12.77	12.77	2.09	7.16	1	0			correct	emscan-0828-agent5
99782	work-pr123r1-dbg141v2-mcp2k	63034	13	3.74	1.054	64035	6	27.3	64035	0	32.79	18.11	4.85	4.85	2.91	0.66	1	1			correct	emscan-0828-agent5
99782	work-pr123r1-dbg141v2-mcp2k	52015	13	0.09	1.05	61032	4	14.7	61032	0	39.65	16.03	8.52	8.52	4.71	3.58	1	1			correct	emscan-0828-agent5
99838	work-pr123r1-dbgA2-mcp2k	42017	13	0.92	0.511	58038	3	12.8	58038	0	60.2	57.12	46.24	46.24	1.84	1.95	1	1				emscan-0827
99838	work-pr123r1-dbgA2-mcp2k	44019	11	1.48	1.508	58038	4	13.7	58038	0	28.91	26.06	17.78	17.78	24.11	26.61	1	0				emscan-0827
99838	work-pr123r1-dbgA2-mcp2k	46021	13	0.92	1.328	58038	5	15.2	58038	0	17.01	14.09	4.18	4.18	14.28	17.94	1	1				emscan-0827
99838	work-pr123r1-dbgA2-mcp2k	49035	13	0.31	0.621	58038	6	16.1	58038	0	29.98	26.9	12.89	16.0	1.11	1.61	1	1				emscan-0827
99838	work-pr123r1-dbgA2-mcp2k	59052	13	7.19	1.161	58038	7	16.4	58038	0	26.86	23.99	8.41	13.46	16.3	18.86	1	1				emscan-0827
99838	work-pr123r1-dbgA2-mcp2k	59053	211	4.22	1.007	58038	8	23.6	58038	0	32.81	30.09	0.0	20.12	23.94	26.63	1	1				emscan-0827
99838	work-pr123r1-dbgA2-mcp2k	41016	2212	0.37	1.551	48024	6	25.2	48024	0	66.16	34.1	23.42	23.42	6.77	13.29	1	1				emscan-0827
99838	work-pr123r1-dbgA2-mcp2k	43018	13	1.04	1.159	48024	7	25.5	48024	0	48.31	16.32	6.19	6.19	3.93	15.89	1	1				emscan-0827
99838	work-pr123r1-dbgA2-mcp2k	45020	13	2.72	1.006	48024	8	26.6	48024	0	45.04	12.61	1.72	1.72	1.86	7.24	1	1				emscan-0827
100135	work-pr123r1-dbg141v2-mcp2k	48021	13	2.3	1.12	44017	1	2.2	44017	0	43.54	12.46	12.46	12.46	20.82	23.65	1	1			under-clustered	emscan-0828-agent5
100222	work-pr123r1-dbg141v2-mcp2k	57044	13	0.63	1.121	75062	1	1.7	75062	0	170.03	32.02	30.35	30.35	18.74	10.0	2	1			over-clustered	emscan-0828-agent5
100222	work-pr123r1-dbg141v2-mcp2k	58045	13	0.94	0.887	75062	2	2.4	75062	0	175.63	34.68	8.95	33.01	20.96	5.48	1	1			over-clustered	emscan-0828-agent5
100222	work-pr123r1-dbg141v2-mcp2k	61048	13	0.64	1.157	75062	3	3.3	75062	0	176.1	45.74	17.0	44.23	14.05	25.3	1	1			over-clustered	emscan-0828-agent5
100222	work-pr123r1-dbg141v2-mcp2k	77064	2212	0.28	1.831	75062	4	4.0	75062	0	159.79	22.21	14.81	20.64	20.92	27.08	1	1			over-clustered	emscan-0828-agent5
100222	work-pr123r1-dbg141v2-mcp2k	109172	11	1.87	0.539	75062	5	4.2	75062	0	164.29	29.55	9.03	28.04	17.79	24.23	1	1			over-clustered	emscan-0828-agent5
100222	work-pr123r1-dbg141v2-mcp2k	111183	11	1.74	0.813	75062	6	6.1	75062	0	181.48	54.23	9.56	52.73	11.53	26.97	1	1			over-clustered	emscan-0828-agent5
100222	work-pr123r1-dbg141v2-mcp2k	111185	11	3.51	0.546	75062	7	7.9	75062	0	181.52	55.27	0.0	53.78	11.02	28.25	1	1			over-clustered	emscan-0828-agent5
100222	work-pr123r1-dbg141v2-mcp2k	55042	2212	0.03	1.943	67054	1	2.6	67054	0	154.8	12.3	9.92	9.92	7.92	21.0	1	1			over-clustered	emscan-0828-agent5
100222	work-pr123r1-dbg141v2-mcp2k	63050	13	0.29	0.883	67054	2	2.6	67054	0	161.71	20.75	10.88	18.53	8.74	29.89	1	1			over-clustered	emscan-0828-agent5
100222	work-pr123r1-dbg141v2-mcp2k	112192	11	5.28	1.996	67054	3	2.9	67054	0	163.64	22.28	14.36	19.92	3.94	16.02	1	0			over-clustered	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	66021	11	1.84	1.482	89037	1	8.2	89037	0	18.85	6.85	6.85	6.85	9.98	10.4	1	0			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	67022	11	1.05	0.454	89037	2	10.0	89037	0	22.87	10.97	2.78	10.97	12.18	13.19	1	1			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	68023	11	0.75	1.002	89037	3	11.1	89037	0	19.26	6.98	3.07	6.98	0.83	1.51	1	1			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	69024	11	1.34	0.289	89037	4	11.8	89037	0	31.1	18.97	9.2	18.97	10.27	10.6	1	1			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	70025	13	0.22	1.135	89037	5	13.2	89037	0	23.67	11.57	3.5	11.57	6.04	7.68	1	1			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	71026	11	0.99	0.84	89037	6	13.4	89037	0	27.45	15.42	4.59	15.42	6.27	8.9	1	1			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	74029	13	0.59	0.646	89037	7	14.4	89037	0	44.57	32.48	16.34	32.48	6.39	7.91	1	1			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	90044	2212	4.67	2.293	89037	8	15.0	89037	0	26.95	14.66	2.65	14.66	4.89	4.13	1	1			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	75030	13	0.76	0.417	92061	4	24.6	92061	0	39.52	17.25	11.53	11.53	1.93	15.46	1	1			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	76031	13	0.41	0.794	92061	5	25.4	92061	0	46.64	23.78	7.8	14.51	4.73	10.14	1	1			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	78033	2212	0.6	1.564	92061	6	25.8	92061	0	60.29	37.83	13.96	28.61	4.74	11.67	1	1			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	79034	13	0.34	0.767	92061	7	26.4	92061	0	86.04	62.8	26.18	52.34	2.77	2.67	3	1			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	81036	11	0.64	0.787	92061	8	26.7	92061	0	36.06	13.28	7.78	7.91	9.45	15.83	1	1			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	91046	11	1.59	1.857	92061	9	27.4	92061	0	46.15	22.81	3.12	13.09	4.79	2.62	1	0			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	91051	11	4.15	1.538	92061	10	29.0	92061	0	41.18	18.04	3.38	10.31	3.1	5.75	1	0			correct	emscan-0828-agent5
103798	work-pr123r1-dbg141v2-mcp2k	91054	11	5.7	0.962	92061	11	33.1	92061	0	41.18	18.04	0.0	10.31	3.1	5.75	1	1			correct	emscan-0828-agent5
105074	work-pr123r1-dbg141v2-mcp2k	23005	13	82.91	1.135	72009	1	1.4	72009	0	56.32	9.07	9.07	9.07	24.63	21.89	1	1			vertex-bad (undecidable)	emscan-0828-agent5
105946	work-pr123r1-dbgA2-ncpi0	33007	11	3.48	0.878	36010	1	2.1	36010	0	51.75	1.21	0.31	0.31	45.97	15.03	2	1				emscan-0827
105946	work-pr123r1-dbgA2-ncpi0	39013	11	2.04	1.195	40064	2	1.7	40064	0	100.54	45.36	45.36	45.36	9.09	29.42	3	1	TARGET	56056		emscan-0827
105946	work-pr123r1-dbgA2-ncpi0	35009	13	0.45	0.911	53030	3	26.6	53030	0	82.94	11.38	9.68	9.68	17.66	16.55	1	1	TARGET	55063		emscan-0827
105946	work-pr123r1-dbgA2-ncpi0	42016	13	0.38	1.062	56056	2	10.4	56056	0	104.34	16.96	15.09	15.09	8.9	18.06	1	1	TARGET	56056		emscan-0827
122660	work-pr123r1-dbgA2-nuecc48	30032	11	3.09	1.153	54071	1	13.8	54071	0	94.86	6.15	3.07	3.07	14.92	27.19	1	1	TARGET	9110		emscan-0827
122660	work-pr123r1-dbgA2-nuecc48	55073	13	13.16	1.787	54071	2	16.9	54071	0	109.62	23.19	10.66	10.66	8.3	23.71	1	1	TARGET	9110		emscan-0827
138009	work-pr123r1-dbgA2-nuecc48	48040	13	1.11	1.376	50042	2	4.9	50042	0	48.79	9.13	5.69	5.69	7.3	15.42	1	1				emscan-0827
138009	work-pr123r1-dbgA2-nuecc48	55048	11	1.65	1.971	50042	3	6.0	12010	1	104.46	66.65	58.11	63.39	9.81	18.11	3	0				emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	43019	11	1.18	1.594	108104	4	31.6	108104	0	74.59	67.72	54.53	54.53	14.26	15.61	1	0	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	45021	13	0.65	0.432	108104	5	32.8	108104	0	69.66	63.06	8.09	50.05	19.5	21.68	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	46022	13	0.74	0.962	108104	6	33.4	108104	0	75.02	68.16	7.28	54.88	17.91	19.33	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	48024	13	0.16	1.07	108104	7	34.2	108104	0	69.39	62.22	16.58	49.13	11.03	11.14	1	1	OUT	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	49025	11	2.2	1.46	108104	8	34.3	108104	0	54.63	47.79	15.67	34.69	14.02	16.03	1	0	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	50026	13	0.67	0.704	108104	9	36.5	108104	0	66.59	59.54	8.81	46.31	17.71	18.8	1	1	OUT	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	56032	13	0.21	0.892	108104	10	37.2	108104	0	27.92	20.84	7.94	7.94	7.49	8.47	1	1	OUT	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	59035	11	0.94	1.858	108104	11	37.4	108104	0	85.46	78.45	12.08	65.3	9.34	10.01	1	0	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	60036	11	2.05	0.844	108104	12	38.4	108104	0	90.65	84.19	19.73	71.23	23.09	24.97	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	61037	13	0.27	0.73	108104	13	40.4	108104	0	80.94	74.47	14.13	61.87	18.59	20.74	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	62038	13	0.17	1.222	108104	14	40.7	108104	0	100.11	93.48	10.11	80.41	19.57	21.02	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	65041	13	0.76	0.561	108104	15	40.9	108104	0	100.9	94.28	6.29	81.33	18.04	19.51	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	68044	13	0.45	0.666	108104	16	41.6	108104	0	109.09	102.4	8.39	89.42	16.48	17.73	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	70046	2212	0.91	1.502	108104	17	42.1	108104	0	113.64	107.08	6.66	94.23	18.01	19.39	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	77053	13	0.98	0.794	108104	18	43.0	108104	0	63.84	57.44	10.25	44.93	19.67	22.56	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	78054	11	0.67	0.552	108104	19	43.9	108104	0	79.11	72.89	5.93	60.66	21.7	24.29	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	79055	13	0.24	0.465	108104	20	44.6	108104	0	69.61	62.71	6.05	49.54	21.53	23.09	1	1	OUT	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	80056	13	0.38	1.335	108104	21	44.9	108104	0	88.39	82.04	7.83	69.5	20.6	22.72	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	83059	11	1.56	2.036	108104	22	45.2	108104	0	113.8	107.32	12.93	94.35	22.37	23.84	1	0	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	102060	11	1.28	0.744	108104	23	46.8	108104	0	77.32	70.41	2.64	57.17	14.24	15.43	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	103061	13	1.34	1.359	108104	24	48.1	108104	0	63.92	57.13	6.69	44.03	15.72	17.61	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	104067	11	5.26	0.802	108104	25	49.4	108104	0	79.5	72.85	7.55	59.83	18.29	20.11	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	104069	11	6.72	1.794	108104	26	54.7	108104	0	73.03	66.4	3.2	53.39	18.76	20.78	1	0	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	104071	11	4.54	0.907	108104	27	61.4	108104	0	78.47	71.7	0.0	58.58	17.47	19.2	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	104072	11	5.4	1.422	108104	28	65.9	108104	0	80.77	74.21	2.87	61.22	20.59	22.54	1	0	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	104074	11	7.74	1.047	108104	29	71.3	108104	0	76.09	69.54	0.0	56.57	20.76	22.86	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	104075	11	12.56	0.845	108104	30	79.1	108104	0	79.98	73.33	0.0	60.32	18.32	20.12	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	105081	13	2.02	1.131	108104	31	91.6	108104	0	72.91	66.29	4.18	53.41	17.26	19.32	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	105082	11	9.31	1.096	108104	32	93.7	108104	0	59.06	52.39	5.69	39.48	16.31	18.74	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	105083	11	5.84	0.916	108104	33	103.0	108104	0	67.69	61.0	0.0	48.08	15.81	17.86	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	105084	11	3.44	0.58	108104	34	108.8	108104	0	67.69	61.0	0.0	48.08	15.81	17.86	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	106086	11	7.29	1.261	108104	35	112.3	108104	0	63.54	56.91	5.87	43.83	20.76	23.11	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	106087	11	0.55	2.084	108104	36	119.5	108104	0	69.74	63.01	0.0	49.83	19.7	21.57	1	0	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	107100	11	7.16	1.016	108104	37	120.1	108104	0	57.01	49.93	4.6	36.64	14.52	15.47	1	1	OUT	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	107101	13	6.05	1.326	108104	38	127.3	108104	0	57.01	49.93	1.29	36.64	14.52	15.47	1	1	OUT	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	110110	11	8.23	1.304	108104	39	133.3	108104	0	102.76	96.19	3.75	83.18	20.2	21.7	1	0	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	111117	11	4.68	1.249	108104	40	141.5	108104	0	76.45	69.95	5.63	56.94	23.84	26.02	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	111119	11	3.64	0.947	108104	41	146.2	108104	0	73.35	66.83	0.0	53.81	23.83	26.08	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	112120	11	8.97	1.127	108104	42	149.9	108104	0	124.94	118.37	12.62	105.39	19.58	20.81	1	1	TARGET	7010		emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	76052	11	1.11	0.517	53029	1	1.4	53029	0	88.75	35.91	34.6	34.6	7.66	3.48	2	1				emscan-0827
142421	work-pr123r1-dbgA2-ncpi0	82058	13	1.03	0.906	53029	2	2.5	53029	0	97.74	45.01	10.06	43.72	9.5	10.36	1	1				emscan-0827
165157	work-pr123r1-dbgA2-mcp2k	51024	13	2.31	1.107	53026	1	4.4	53026	0	89.18	30.37	26.28	26.28	14.75	17.28	2	1				emscan-0827
165157	work-pr123r1-dbgA2-mcp2k	60030	13	13.2	1.004	53026	2	6.7	53026	0	78.1	19.46	2.2	15.78	17.58	27.78	1	1				emscan-0827
165157	work-pr123r1-dbgA2-mcp2k	60031	11	2.06	1.109	53026	3	19.9	53026	0	90.36	31.65	0.0	27.65	16.02	20.65	1	1				emscan-0827
166870	work-pr123r1-dbgA2-mcp1k	50038	13	2.06	1.301	85045	2	18.2	85045	0	64.19	39.2	37.14	37.14	2.59	1.93	1	1				emscan-0827
166870	work-pr123r1-dbgA2-mcp1k	53041	13	0.28	1.416	85045	3	20.2	85045	0	33.33	8.52	7.24	7.24	0.43	4.02	1	1				emscan-0827
166870	work-pr123r1-dbgA2-mcp1k	41029	13	0.32	1.057	87058	3	26.6	87058	0	64.49	19.74	14.0	14.0	11.35	9.4	1	1	TARGET	87058		emscan-0827
166870	work-pr123r1-dbgA2-mcp1k	43031	11	1.88	1.265	87058	4	26.9	87058	0	57.22	13.94	9.6	9.6	6.23	12.25	1	1	TARGET	87058		emscan-0827
167612	work-pr123r1-dbg141v2-mcp2k	98065	11	4.61	0.973	94089	2	1.3	94089	0	174.15	17.74	17.55	17.55	30.89	5.57	2	1			vertex-bad (undecidable)	emscan-0828-agent5
168432	work-pr123r1-dbg141v2-mcp1k	46019	2212	1.31	1.691	49028	6	49.9	49028	0	44.68	35.97	27.4	27.4	21.49	22.55	1	1	OUT	49028	correct	emscan-0828-agent5
168596	work-pr123r1-dbgA2-nuecc48	71093	13	1.46	0.843	128131	2	8.3	128131	0	142.1	36.1	31.56	31.56	12.25	17.38	2	1				emscan-0827
169356	work-pr123r1-dbgA2-mcp1k	56016	13	0.3	0.442	67030	3	12.6	67030	0	44.07	11.72	5.47	5.47	5.62	18.28	1	1				emscan-0827
169356	work-pr123r1-dbgA2-mcp1k	65025	2212	1.87	2.066	67030	4	12.9	67030	0	61.97	28.37	17.78	17.78	15.46	17.81	1	1				emscan-0827
169626	work-pr123r1-dbgA2-mcp1k	43043	13	0.32	0.336	42042	1	3.3	42042	0	71.59	8.8	6.0	6.0	38.26	8.56	2	1	TARGET	53069		emscan-0827
169626	work-pr123r1-dbgA2-mcp1k	38038	13	0.37	0.791	52054	3	10.2	52054	0	110.7	30.58	29.48	29.48	18.48	15.78	2	1	TARGET	53069		emscan-0827
170098	work-pr123r1-dbg141v2-mcp2k	53008	13	0.77	1.119	78064	3	35.8	78064	0	72.49	55.37	27.31	27.31	15.65	20.94	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	54009	2212	0.32	1.556	78064	4	36.6	78064	0	64.0	46.91	8.67	19.3	15.85	22.04	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	69025	11	2.51	0.778	78064	5	36.9	78064	0	96.05	78.14	27.79	50.01	5.34	7.04	3	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	69026	11	5.5	0.679	78064	6	39.4	78064	0	94.81	76.97	0.0	49.0	5.52	7.62	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	69027	13	2.71	1.049	78064	7	44.9	78064	0	93.53	75.64	0.0	47.53	5.49	7.37	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	71032	13	0.66	0.529	78064	8	47.6	78064	0	82.25	64.17	12.82	36.63	2.86	3.29	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	72033	11	4.23	1.313	78064	9	48.3	78064	0	73.41	55.38	5.83	27.58	4.18	5.43	1	0			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	73034	13	0.63	1.375	78064	10	52.5	78064	0	70.04	52.01	2.96	24.26	4.34	5.63	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	74035	2212	0.24	2.673	78064	11	53.1	78064	0	71.19	53.92	4.06	25.65	13.41	18.39	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	75040	13	3.84	0.954	78064	12	53.4	78064	0	51.3	33.33	6.08	6.08	4.19	7.09	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	75041	11	3.1	0.942	78064	13	57.2	78064	0	55.05	37.08	0.0	9.46	4.29	6.89	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	76052	11	4.39	0.907	78064	14	60.3	78064	0	60.19	42.18	4.51	14.97	2.35	4.29	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	76053	11	3.22	1.435	78064	15	64.7	78064	0	58.4	40.37	2.64	12.92	3.65	5.36	1	0			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	77054	2212	0.67	2.184	78064	16	68.0	78064	0	42.69	24.62	3.28	3.28	3.87	5.29	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	80066	2212	1.44	1.607	78064	17	68.6	78064	0	74.03	56.14	4.09	27.91	6.17	8.54	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	81067	13	0.95	0.472	78064	18	70.1	78064	0	66.87	49.1	6.21	20.7	8.72	12.09	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	61016	13	0.98	1.174	70030	2	6.7	70030	0	120.58	56.6	55.57	55.57	4.25	11.74	4	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	63018	13	0.63	0.381	70030	3	7.7	70030	0	151.17	86.29	33.25	84.72	5.32	7.34	3	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	64019	11	1.9	0.72	70030	4	8.3	70030	0	93.15	28.89	27.8	28.29	0.85	11.35	2	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	65020	11	1.74	1.096	70030	5	10.2	70030	0	92.33	27.33	5.57	26.36	3.46	4.92	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	66021	13	1.91	1.104	70030	6	11.9	70030	0	100.05	35.71	7.25	35.13	2.36	10.3	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	67022	13	2.11	1.322	70030	7	13.9	70030	0	109.45	45.23	8.34	44.56	2.03	10.04	1	1			correct	emscan-0828-agent5
170098	work-pr123r1-dbg141v2-mcp2k	83074	11	0.91	2.657	70030	8	16.0	70030	0	101.64	37.85	6.83	37.23	2.84	13.78	1	0			correct	emscan-0828-agent5
170808	work-pr123r1-dbg141v2-mcp1k	39007	11	0.76	1.133	60025	2	27.4	60025	0	47.71	29.48	11.23	11.23	6.32	10.91	1	1			correct	emscan-0828-agent5
170808	work-pr123r1-dbg141v2-mcp1k	58015	11	4.98	0.96	60025	3	28.2	60025	0	52.51	34.01	8.54	11.72	6.31	7.51	1	1			correct	emscan-0828-agent5
170808	work-pr123r1-dbg141v2-mcp1k	58017	11	7.17	0.566	60025	4	33.2	60025	0	54.24	35.75	0.0	13.93	5.37	6.41	1	1			correct	emscan-0828-agent5
170808	work-pr123r1-dbg141v2-mcp1k	58018	11	4.22	0.626	60025	5	40.3	60025	0	55.52	37.02	0.31	14.52	2.45	2.21	1	1			correct	emscan-0828-agent5
170808	work-pr123r1-dbg141v2-mcp1k	59020	13	2.66	1.378	60025	6	44.6	60025	0	64.02	45.54	4.88	22.73	2.07	2.17	1	1			correct	emscan-0828-agent5
170808	work-pr123r1-dbg141v2-mcp1k	59021	11	4.03	0.831	60025	7	47.2	60025	0	63.71	45.31	0.0	23.66	5.62	7.52	1	1			correct	emscan-0828-agent5
171143	work-pr123r1-dbg141v2-mcp2k	52016	11	2.55	1.538	69027	3	15.9	69027	0	56.5	20.52	11.31	11.31	9.74	18.14	1	0			not an EM shower	emscan-0828-agent5
171143	work-pr123r1-dbg141v2-mcp2k	53017	11	2.22	1.184	69027	4	18.4	69027	0	73.21	37.26	18.18	26.96	3.96	8.54	1	1			not an EM shower	emscan-0828-agent5
171143	work-pr123r1-dbg141v2-mcp2k	54018	13	0.33	0.739	69027	5	20.7	69027	0	81.61	45.74	7.53	35.41	3.98	8.5	1	1			not an EM shower	emscan-0828-agent5
171143	work-pr123r1-dbg141v2-mcp2k	55019	13	0.37	0.908	69027	6	21.0	69027	0	89.05	53.28	7.87	43.03	5.85	10.43	1	1			not an EM shower	emscan-0828-agent5
171572	work-pr123r1-dbg141v2-mcp2k	10004	11	2.96	0.657	85025	1	1.3	85025	0	17.82	12.28	10.97	10.97	1.45	1.4	1	1	TARGET	85025	over-clustered	emscan-0828-agent5
171572	work-pr123r1-dbg141v2-mcp2k	10008	13	125.09	1.066	85025	2	4.3	85025	0	20.36	14.83	0.0	13.52	3.89	4.73	1	1	OUT	85025	over-clustered	emscan-0828-agent5
171572	work-pr123r1-dbg141v2-mcp2k	76015	13	0.37	0.664	85025	3	129.4	85025	0	26.14	20.84	5.97	19.59	13.33	17.33	1	1	TARGET	85025	over-clustered	emscan-0828-agent5
171572	work-pr123r1-dbg141v2-mcp2k	84024	2212	0.46	2.003	85025	4	129.7	85025	0	13.63	8.09	3.75	6.77	1.68	1.55	1	1	TARGET	85025	over-clustered	emscan-0828-agent5
171729	work-pr123r1-dbg141v2-mcp2k	22014	11	3.21	0.46	24018	3	23.5	24018	0	50.55	17.46	16.58	16.58	20.78	27.27	1	1			correct	emscan-0828-agent5
172266	work-pr123r1-dbg141v2-mcp1k	41020	2212	0.7	1.616	40019	1	1.5	40019	0	31.74	16.36	14.84	14.84	3.58	3.7	1	1			not an EM shower	emscan-0828-agent5
172266	work-pr123r1-dbg141v2-mcp1k	49023	13	37.7	1.208	40019	2	2.2	40019	0	36.68	21.3	4.24	19.78	3.87	4.23	1	1			not an EM shower	emscan-0828-agent5
172266	work-pr123r1-dbg141v2-mcp1k	39018	13	0.88	1.254	33012	1	3.0	33012	0	69.1	53.68	50.9	50.9	14.24	20.14	1	1			not an EM shower	emscan-0828-agent5
172266	work-pr123r1-dbg141v2-mcp1k	47021	11	1.21	0.593	48022	1	4.0	40019	1	119.71	7.8	3.86	3.86	3.91	4.08	1	1			not an EM shower	emscan-0828-agent5
172942	work-pr123r1-dbgA2-mcp1k	49006	13	0.33	0.855	71022	2	12.5	71022	0	112.45	28.23	27.01	27.01	14.79	11.53	2	1				emscan-0827
172942	work-pr123r1-dbgA2-mcp1k	50007	13	2.61	1.292	71022	3	12.8	71022	0	137.28	51.06	29.57	48.75	17.13	11.98	4	1				emscan-0827
