event	arm	seg	pdg	len_cm	med_dqdx_mip	cur	cur_nseg	cur_len_cm	owner	divert	pair_dis_cm	front_dis_cm	body_dis_cm	snap_dis_cm	angle_v1	angle_v2	tier	trk	seg_mark	marked_shower	verdict	label_tag
21073	work-pr123r1-dbgA2-ncpi0	35028	11	3.56	1.669	60081	20	141.2	60081	0	63.03	50.0	34.55	34.55	15.54	15.62	1	0	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	36029	13	0.35	1.41	60081	21	144.8	60081	0	90.14	77.16	27.17	63.21	7.07	6.74	3	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	37030	13	0.36	1.217	60081	22	145.1	60081	0	68.52	55.91	13.33	43.62	6.32	6.5	1	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	38031	13	0.4	1.024	60081	23	145.5	60081	0	115.43	102.75	28.74	90.19	3.95	3.87	3	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	39032	13	0.37	1.448	60081	24	145.9	60081	0	106.65	93.58	17.08	78.8	9.66	9.46	1	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	40033	13	0.36	0.583	60081	25	146.2	60081	0	92.58	79.68	3.42	66.06	5.61	5.26	1	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	42035	13	1.26	0.694	60081	26	146.6	60081	0	52.11	40.59	19.68	30.01	14.33	15.83	1	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	43036	11	2.67	1.325	60081	27	147.9	60081	0	85.14	72.01	17.31	54.65	17.93	18.01	1	0	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	45038	13	0.57	0.489	60081	28	150.5	60081	0	54.67	41.72	14.55	29.14	7.25	6.67	1	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	48041	13	0.72	1.078	60081	29	151.1	60081	0	71.56	58.55	15.89	38.21	24.31	24.68	1	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	49042	11	1.44	0.641	60081	30	151.8	60081	0	61.3	48.83	12.37	35.95	14.56	14.97	1	1	TARGET	60081		emscan-0827
