evt	sample	label_source	carried	d_p100base	d_base	d_nofitx	d_pre103	d_trad	d_dlonly	d_ma4	d_topo3	d_topk10
46363	nuecc	human	1	45.057	45.057	0.000	45.057	86.406	86.406	45.057	45.057	45.057
47278	mcp2k	ai-scanner	1	0.000	0.000	0.283	0.000	26.990	0.000	0.000	0.000	0.000
48367	mcp1k	human	1	56.880	56.880	0.000	56.880	0.000	0.000	56.880	56.880	56.880
48488	mcp2k	ai-scanner	1	0.000	0.000	0.358	0.000	4.953	0.000	0.000	0.000	0.000
49742	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	373.383	0.000	0.000	0.000
49951	mcp1k	human	1	0.000	0.000	0.218	0.000	0.000	0.000	0.000	0.000	0.000
50831	mcp1k	human	1	7.124	7.124	7.124	7.124	7.124	7.124	7.124	7.124	7.124
51051	mcp1k	human	1	0.000	0.000	0.252	0.000	0.000	61.856	0.000	0.000	0.000
51546	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	398.790	35.449	0.000	0.000
51964	mcp2k	ai-scanner	1	0.000	0.000	0.386	0.000	0.000	0.000	0.000	0.000	0.000
52657	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	98.697	0.000	0.000
52759	mcp2k	ai-scanner	1	0.000	0.000	0.685	0.000	0.000	462.828	0.000	0.000	0.000
53658	mcp2k	human	1	72.546	72.546	72.546	72.546	72.546	72.546	72.546	72.546	72.546
53793	mcp2k	ai-scanner	1	0.000	0.000	0.598	0.000	165.184	0.000	0.000	0.000	0.000
53881	mcp2k	human	1	0.000	0.000	4.866	0.000	0.000	0.000	0.000	0.000	0.000
54175	mcp1k	human	1	0.000	0.000	0.288	0.000	0.000	0.000	182.454	0.000	0.000
55322	mcp2k	ai-scanner	1	0.000	0.000	0.187	0.000	0.000	0.000	0.000	0.000	0.000
55627	mcp1k	human	1	0.000	0.000	0.176	0.000	0.000	0.000	0.000	0.000	0.000
55740	mcp2k	human	1	0.000	0.000	235.945	0.000	0.000	0.000	0.000	0.000	0.000
56939	mcp2k	ai-scanner	1	0.000	0.000	0.692	0.000	0.000	0.000	0.000	0.000	0.000
57575	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
57903	mcp1k	human	1	0.000	0.000	0.325	0.000	0.000	0.000	0.000	0.000	0.000
58072	mcp2k	ai-scanner	1	0.000	0.000	0.351	0.000	0.000	0.000	0.000	0.000	0.000
59003	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
59093	mcp1k	human	1	0.000	0.000	0.825	0.000	0.000	47.496	0.000	0.000	0.000
59179	mcp1k	human	1	0.000	0.000	0.130	0.000	0.000	0.000	0.000	0.000	0.000
61579	mcp1k	human	1	0.000	0.000	0.737	0.000	0.000	0.000	131.412	0.000	0.000
61843	mcp1k	human	1	12.279	12.279	13.397	12.279	12.279	82.242	12.279	12.279	12.279
63603	mcp1k	human	1	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000
64591	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
64921	mcp1k	human	1	0.000	0.000	0.655	0.000	6.248	0.000	0.000	0.000	0.000
65053	mcp1k	human	1	10.743	10.743	10.743	10.743	10.743	27.267	10.743	10.743	10.743
66900	mcp2k	ai-scanner	1	0.000	0.000	0.161	0.000	0.000	0.000	0.000	0.000	0.000
67746	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
67868	mcp2k	ai-scanner	1	0.000	0.000	0.647	0.000	5.332	0.000	0.000	0.000	0.000
68714	mcp1k	human	1	0.000	0.000	0.205	0.000	0.000	0.000	0.000	0.000	0.000
68978	mcp1k	human	1	0.000	0.000	0.284	0.000	0.000	188.392	0.000	0.000	0.000
70178	mcp2k	ai-scanner	1	0.000	0.000	0.354	0.000	0.000	0.000	0.000	0.000	0.000
70612	mcp2k	human	1	44.948	44.948	44.948	44.948	44.948	42.715	42.825	44.948	44.948
70692	mcp2k	ai-scanner	1	0.000	0.000	0.262	0.000	0.000	0.000	0.000	0.000	0.000
71178	mcp1k	human	1	22.940	22.940	23.012	22.940	22.940	18.259	3.332	22.940	22.940
71222	mcp1k	human	1	0.000	0.000	0.605	0.000	0.000	0.000	0.000	0.000	0.000
71872	mcp2k	human	1	0.000	0.000	0.296	0.000	0.000	0.000	0.000	0.000	0.000
72256	mcp1k	human	1	0.000	0.000	0.232	0.000	0.000	27.930	65.358	65.358	0.000
72586	mcp1k	human	1	298.175	298.175	297.403	298.175	298.175	298.175	298.175	298.175	298.175
72742	mcp2k	ai-scanner	1	0.000	0.000	0.298	0.000	0.000	424.179	28.915	0.000	0.000
74270	mcp2k	human	1	16.994	16.994	16.994	16.994	16.994	297.596	0.000	16.994	16.994
74544	nuecc	human	1	0.000	0.000	0.372	0.000	0.000	0.000	0.000	0.000	0.000
75135	mcp2k	ai-scanner	1	0.000	0.000	0.111	0.000	0.000	0.000	0.000	0.000	0.000
75316	mcp2k	human	1	8.451	8.451	9.669	8.451	8.451	333.620	133.673	133.673	8.451
75377	mcp2k	ai-scanner	1	0.000	0.000	0.114	0.000	0.000	0.000	0.000	0.000	0.000
