ev	sat	near	gap	sat_pdg	sat_E	sat_len	sat_conn	sat_track	pio	near_E	marks
168432	47020	49028	13.7	11	5.14	0.9	3	0	0	128.6	unl
168432	48021	50029	14.46	11	1.12	0.2	3	0	0	20.4	unl
170808	38006	60025	24.28	2212	1.1	0.4	3	1	0	298.4	unl
170808	43011	60025	18.63	11	1.14	0.1	3	0	0	298.4	unl
170808	44012	60025	14.8	11	2.97	0.5	3	0	0	298.4	unl
172266	33012	40019	23.51	11	1.87	3.0	2	0	0	132.4	unl
172266	48022	40019	3.86	11	6.44	4.0	2	0	0	132.4	unl
175896	59007	17043	6.39	11	1.34	0.4	3	0	0	233.7	unl
175896	64020	17043	2.75	11	3.05	0.9	3	0	0	233.7	unl
277298	49016	17030	24.57	11	3.38	0.8	3	0	0	194.6	unl
277298	50017	17028	23.46	11	0.39	0.2	3	0	0	46.9	unl
277298	51018	17026	38.53	11	2.28	0.8	3	0	0	100.7	unl
277298	52019	17030	22.96	11	0.68	0.3	3	0	0	194.6	unl
277298	53020	17028	27.65	11	1.84	0.1	3	0	0	46.9	unl
278420	72038	61027	6.59	11	1.54	2.7	2	0	0	129.2	unl
278420	71037	79053	4.16	11	2.27	4.2	2	0	0	42.9	unl
278420	64030	61027	19.86	11	1.14	0.2	3	0	0	129.2	unl
278420	74040	61027	9.16	11	1.37	0.3	3	0	0	129.2	unl
278420	52014	61027	29.9	13	9.84	3.7	3	1	0	129.2	unl
280972	51068	7040	18.48	11	2.53	1.8	2	0	0	949.6	unl
280972	27044	7040	15.23	11	4.66	1.8	2	0	0	949.6	unl
280972	24041	7040	28.42	11	2.0	0.2	3	0	0	949.6	unl
280972	37054	7040	8.33	11	3.48	0.8	3	0	0	949.6	unl
280972	40057	7040	19.22	11	4.9	0.6	3	0	0	949.6	unl
280972	43060	75099	16.82	11	1.22	0.4	3	0	0	301.2	unl
280972	47064	79136	23.62	11	2.53	0.4	3	0	0	625.6	unl
280972	48065	7040	14.93	11	0.63	0.0	3	0	0	949.6	unl
280972	50067	75099	11.33	11	0.64	0.3	3	0	0	301.2	unl
282979	14050	14003	0.0	11	8.73	10.7	1	0	0	121.0	unl
282979	14051	14003	0.0	11	7.32	3.0	1	0	0	121.0	unl
282979	35012	42022	5.96	11	6.74	0.8	3	0	0	25.7	unl
282979	37014	42022	5.12	11	1.9	0.4	3	0	0	25.7	unl
283515	61021	24014	16.09	2212	5.72	0.5	3	1	0	247.0	unl
283515	62022	66036	8.57	11	7.24	1.2	3	0	0	103.2	unl
283515	63023	66036	14.62	11	3.72	0.9	3	0	0	103.2	unl
283515	64024	66036	4.43	11	3.98	1.0	3	0	0	103.2	unl
284200	19018	6013	21.91	11	2.18	0.4	3	0	0	183.5	unl
284200	20019	6013	23.45	11	1.29	0.3	3	0	0	183.5	unl
284200	21020	6013	34.44	11	0.39	0.2	3	0	0	183.5	unl
284200	22021	6013	25.01	11	1.05	0.1	3	0	0	183.5	unl
284200	24023	6013	30.12	11	2.0	0.4	3	0	0	183.5	unl
284200	33040	6013	4.29	11	1.12	0.4	3	0	0	183.5	unl
284791	34013	37016	34.66	11	5.74	1.4	2	0	0	132.9	unl
284791	23002	37016	29.28	11	0.82	0.2	3	0	0	132.9	unl
284791	31010	37016	38.91	2212	3.73	0.2	3	1	0	132.9	unl
284791	32011	37016	34.76	11	7.08	0.4	3	0	0	132.9	unl
284791	33012	37016	28.26	11	0.22	0.3	3	0	0	132.9	unl
284791	36015	37016	28.52	11	1.81	0.4	3	0	0	132.9	unl
286655	63012	80055	35.93	11	0.97	0.3	3	0	0	198.9	unl
286655	64013	19006	39.28	11	1.55	0.6	3	0	0	232.4	unl
286655	65014	19006	27.39	11	0.67	0.3	3	0	0	232.4	unl
286655	68017	19006	21.42	11	2.63	1.2	3	0	0	232.4	unl
286655	71020	19006	36.68	11	1.42	0.5	3	0	0	232.4	unl
286681	76074	68030	11.51	11	6.67	6.0	2	0	0	20.8	unl
286681	42026	68030	23.86	11	1.71	2.3	2	0	0	20.8	unl
286681	29013	3012	13.75	11	0.79	0.5	3	0	0	113.3	unl
286681	32016	3008	26.31	11	3.97	0.6	3	0	0	53.0	unl
286681	33017	3012	25.26	11	1.81	0.4	3	0	0	113.3	unl
286681	36020	3012	31.57	11	1.29	0.4	3	0	0	113.3	unl
286681	41025	3008	12.49	2212	3.28	0.2	3	1	0	53.0	unl
287654	38007	88015	37.93	11	6.09	1.9	2	0	0	152.9	unl
287654	39008	88015	29.89	11	1.91	0.3	3	0	0	152.9	unl
287830	37047	16028	11.65	11	4.73	0.8	3	0	0	42.2	unl
287830	41051	21042	39.52	11	0.49	0.3	3	0	0	128.6	unl
287830	43053	16028	19.04	11	1.78	0.4	3	0	0	42.2	unl
287830	60079	21042	22.35	11	0.39	0.3	3	0	0	128.6	unl
292005	39010	46017	33.27	11	2.24	0.3	3	0	0	124.3	unl
292005	41012	46017	22.44	11	1.24	0.3	3	0	0	124.3	unl
292005	42013	46017	38.91	11	2.1	0.3	3	0	0	124.3	unl
292005	47018	46017	34.58	11	1.13	1.1	3	0	0	124.3	unl
292005	48019	46017	11.95	11	0.55	0.2	3	0	0	124.3	unl
292005	49020	46017	30.1	11	1.56	0.4	3	0	0	124.3	unl
292027	32010	56038	39.9	11	5.32	0.9	3	0	0	259.1	unl
