event	sample	cls	pio_tag	g1	e1	conn1	len1	nseg1	pid1	g2	e2	conn2	len2	nseg2	pid2	th_axis	m_axis	th_vtx	m_vtx	th_hybrid	m_hybrid	need_eprod	need_theta	theta_reachable	in_window	branch	vertex_how	svtx1	svtx2	main_vtx_id	hand_delta	compete	m_axis_lab	m_vtx_lab	e1_kq	e2_kq	e1_lab	e2_lab	reco_pi0	shares_gamma	alt1	alt2	e1_dump	e2_dump
21073	ncpi0	primary	emscan-0827	60081	703.426	2	188.741	39	11	63100	97.437	2	29.970	7	11	42.025	175.935	45.689	190.484	42.025	175.935	0.589	31.941	True	False	axis/axis	main_vertex	11001	11001	11001	50.935	hand pair NOT admissible (mass outside window)	187.751	203.278	634.534	94.848	703.426	97.437	pio0[60081:635,34027:73] m=106.1; pio1[63100:95,11008:70] m=102.0	60081,63100	34027:E=73 th=28 m=112	60081:E=635 th=46 m=193	634.534	94.848
168432	mcp1k	primary	emscan-0828-agent5	22006	241.037	2	36.971	3	11	49028	132.979	2	50.779	7	11	35.396	101.593	18.427	53.508	35.396	101.593	1.766	47.653	True	True	axis/axis	main_vertex	19001	19001	19001	23.407	hand pair admissible and would WIN (|d|=23.4 vs 31.8) -- blocked elsewhere	108.853	57.332	241.037	115.833	241.037	132.979	pio0[49028:116,19032:45] m=156.8	49028	49028:E=116 th=18 m=54	22006:E=241 th=18 m=57	241.037	115.833
280159	mcp2k	primary	emscan-0828-agent5	24015	72.660	2	22.659	10	11	95114	120.535	2	56.733	8	11	83.470	130.361	44.140	73.581	64.791	104.917	1.656	87.161	True	True	axis/ray	main_vertex	12001	12000	12001	20.083	hand pair ADMISSIBLE but LOSES the greedy pick: hand |d|=20.1 vs reco pio0 m=131.5 |d|=6.5	124.596	70.326	74.123	129.343	72.660	120.535	pio0[12119:453,24015:74] m=131.5	24015	95114:E=129 th=44 m=73	24015:E=74 th=44 m=71	74.123	129.343
286655	mcp1k	primary	pi0scan-0829-agent	19006	220.203	2	81.291	11	11	80055	187.279	2	50.288	12	11	60.893	205.438	67.783	226.070	67.783	226.070	0.357	38.901	True	False	ray/ray	main_vertex	79033	79033	79034	101.070	hand pair NOT admissible (mass outside window)	205.809	226.478	219.410	187.279	220.203	187.279	none	-	80055:E=187 th=68 m=226	19006:E=219 th=68 m=226	219.410	187.279
348691	mcp1k	primary	pi0scan-0829-agent	49046	301.593	2	85.934	10	11	50073	107.096	2	37.332	12	11	120.053	311.367	100.761	276.875	120.053	311.367	0.188	44.121	True	False	axis/axis	main_vertex	9003	9003	9003	186.367	hand pair NOT admissible (mass outside window)	311.367	276.875	301.593	107.096	301.593	107.096	pio0[52089:157,50073:107] m=141.8	50073	9011:E=49 th=51 m=104	9011:E=49 th=134 m=134	301.593	107.096
397630	mcp2k	primary	pi0scan-0829-agent	19010	119.747	2	35.924	2	11	33038	106.029	2	37.567	11	11	34.884	67.549	27.702	53.950	34.884	67.549	3.994	73.603	True	False	axis/axis	backproject	15002	15002	15002	57.451	hand pair NOT admissible (mass outside window)	67.549	53.950	119.747	106.029	119.747	106.029	pio0[19010:120,15047:73] m=111.5	19010	33038:E=106 th=19 m=36	19010:E=120 th=19 m=36	119.747	106.029
409634	mcp1k	primary	emscan-0827	21002	167.975	2	48.397	11	11	69032	36.333	3	8.708	2	11	28.276	38.080	59.567	77.440	28.276	38.080	12.568	119.977	True	False	axis/axis	main_vertex	63020	63020	63020	86.920	hand pair NOT admissible (mass outside window)	38.164	77.610	167.241	36.333	167.975	36.333	none	-	27015:E=98 th=44 m=97	21002:E=167 th=60 m=77	167.241	36.333
71872	mcp2k	near-miss	emscan-0828-agent5	79074	186.577	2	38.066	8	11	64044	18.473	2	12.420	7	211	100.637	103.032	106.506	107.274	111.929	110.942	1.481	180.000	False	True	axis/ray	manual	13004	13006	13004	14.058	hand pair ADMISSIBLE but LOSES the greedy pick: hand |d|=14.1 vs reco pio0 m=129.4 |d|=4.4	90.365	94.085	194.802	23.002	186.577	18.473	pio0[79074:195,13008:86] m=129.4	79074	13008:E=86 th=60 m=127	79074:E=195 th=68 m=67	194.802	36.385
283713	mcp1k	near-miss	emscan-0828-agent5	67051	152.481	2	30.944	9	11	47021	25.239	2	8.216	1	11	85.855	84.502	90.565	88.163	85.855	84.502	2.552	180.000	False	False	axis/axis	main_vertex	17003	17003	17003	40.498	hand pair NOT admissible (mass outside window)	84.502	88.163	152.481	25.239	152.481	25.239	none	-	47021:E=25 th=91 m=88	67051:E=152 th=91 m=88	152.481	25.239
