event	sample	shower_id	start_seg	pdg	kine	nseg	pio	kine_zero	seed_collides
169356	mcp1k	18	55015	11	3.4326180399894977	1	-1	0	0
175896	mcp1k	12	64020	11	2.834284279198788	1	-1	0	0
278420	mcp1k	13	64030	11	101.16015323331173	14	-1	0	0
280972	mcp1k	12	72076	11	239.38930262559754	9	0	0	0
281485	mcp1k	19	91111	11	0.0	4	-1	1	0
284200	mcp1k	11	32039	13	46.10666150441679	3	-1	0	0
287830	mcp1k	17	62081	11	2.648361150824479	2	-1	0	0
292643	mcp1k	14	112035	13	31.704854146934558	4	-1	0	0
313781	mcp1k	6	41009	11	5.475671999227999	3	-1	0	0
393212	mcp1k	15	50031	11	8.413087367461856	1	-1	0	0
487853	mcp1k	12	30006	11	3.3400113296121314	2	-1	0	0
56243	mcp1k	19	44017	11	5.760854701552281	1	-1	0	0
58755	mcp1k	13	99021	11	35.48682928710301	4	-1	0	0
67394	mcp1k	15	41015	11	9.279191693095658	1	-1	0	0
165157	mcp2k	21	58027	11	67.77248300900597	7	-1	0	1
170761	mcp2k	17	43046	11	9.707007687184596	6	-1	0	0
174771	mcp2k	38	48032	11	3.302261953705169	1	-1	0	0
174771	mcp2k	39	85060	11	111.93053950787065	7	0	0	0
176502	mcp2k	32	148258	11	570.7202126426015	26	-1	0	0
281165	mcp2k	12	56025	13	25.0957747523649	8	-1	0	0
281165	mcp2k	13	49016	13	1.517234287559354	1	-1	0	0
281325	mcp2k	21	24013	11	4.3139322120199495	2	-1	0	0
281781	mcp2k	39	14007	13	87.73899074532751	5	-1	0	0
294174	mcp2k	25	75077	11	2.9502349471348426	1	-1	0	0
294174	mcp2k	26	72069	11	41.640780470115594	4	-1	0	0
318769	mcp2k	39	142091	11	98.72747893920427	5	0	0	0
318769	mcp2k	40	139088	13	23.85460579935156	6	-1	0	0
350354	mcp2k	24	46023	11	35.86495553933934	12	-1	0	0
390634	mcp2k	23	20021	11	11.105701086783085	7	-1	0	0
393505	mcp2k	11	73027	11	5.233621418687566	2	-1	0	0
396037	mcp2k	14	57009	13	29.939759963468024	3	-1	0	0
396222	mcp2k	49	129310	11	949.5529933302621	50	0	0	0
406125	mcp2k	26	74055	11	32.41121982165746	7	0	0	0
415278	mcp2k	22	56091	11	505.26186086145333	19	-1	0	0
415278	mcp2k	23	24073	11	497.84529253194484	21	0	0	0
415278	mcp2k	24	107184	13	62.43941711808313	11	-1	0	0
54332	mcp2k	36	76038	11	57.22697811852531	8	-1	0	0
71642	mcp2k	30	64051	13	3.0618933756333186	1	-1	0	0
71642	mcp2k	31	10013	2212	138.3823466539927	2	-1	0	0
76350	mcp2k	18	76079	11	44.56862646770299	4	-1	0	0
91917	mcp2k	13	71057	11	18.159193445898577	3	-1	0	0
96383	mcp2k	13	45023	11	5.482267592388562	2	-1	0	0
98844	mcp2k	24	56033	11	27.147846433461797	5	-1	0	0
21073	ncpi0	11	34027	11	73.27590683181222	9	0	0	0
314838	ncpi0	19	13010	11	594.922573287503	29	0	0	0
463565	ncpi0	37	52044	11	15.95383174313176	6	0	0	0
56982	ncpi0	29	31048	11	5.032939348993248	2	-1	0	0
84229	ncpi0	18	9058	13	476.38098979065967	34	-1	0	0
122660	nuecc48	27	38040	11	19.369143197784386	3	-1	0	0
269774	nuecc48	17	31043	13	181.58037684974065	16	-1	0	0
