evt	call	j	k	nedge	Lmin	Lmax	Tmax	npmin	angle	gw	wdeadX	dis	dens	dvtx	pair	verdict	conf	rule
174422	0	14	15	1	2.32	3.38	0.68	18	24.1	0	0	1.00	99	-1.0	dir	good	low	R4 residual, committed good
174752	0	0	1	1	7.61	9.45	0.76	75	28.8	1	0	1.08	181	1.0	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
174928	0	0	1	1	33.83	84.81	2.20	495	46.6	0	0	1.75	419	3.6	SEP	bad	high	R2 long-track break, no W gap
175896	0	4	6	1	1.78	22.79	1.16	18	29.2	1	0	1.98	404	8.4	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
175896	0	5	6	1	5.73	22.79	1.16	73	57.6	1	0	1.25	361	3.2	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
278046	0	1	2	1	0.35	20.55	1.41	4	52.9	0	6	0.96	543	12.2	dir	good	low	R4 residual, committed good
278046	0	2	3	1	6.16	20.55	1.41	120	2.7	0	3	0.76	583	10.4	dir	bad	high	R2 long-track break, no W gap
278420	0	1	3	1	5.28	84.88	5.40	16	12.8	0	0	1.51	603	74.5	SEP	good	low	R4 residual, committed good
278420	0	3	4	1	1.29	84.88	5.40	18	41.1	1	0	0.60	396	84.4	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
278420	1	0	3	1	1.91	2.14	0.45	22	43.3	1	0	1.97	178	28.0	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
278420	1	1	4	1	1.52	10.24	1.21	19	50.5	0	0	1.67	192	7.4	SEP	good	low	R4 residual, committed good
278785	0	0	2	1	0.00	192.74	1.97	1	-1.0	1	1	2.02	264	1.6	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
278785	0	1	2	1	2.08	192.74	1.97	12	69.9	1	1	1.18	264	2.3	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
278794	0	2	6	1	0.94	1.65	0.33	8	53.9	1	0	1.20	393	29.2	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
278794	0	2	7	1	1.65	12.49	0.79	15	20.7	0	0	1.65	393	27.0	SEP	good	low	R4 residual, committed good
278794	0	3	5	1	0.92	12.42	1.20	8	72.4	1	0	3.06	393	20.2	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
278794	0	5	7	1	12.42	12.49	1.20	141	27.6	0	0	1.39	393	22.3	SEP	bad	high	R2 long-track break, no W gap
279190	0	0	1	1	0.94	1.41	0.41	12	22.7	1	0	0.68	29	120.6	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
280972	0	0	1	2	101.70	277.84	3.44	1053	4.3	0	6	1.13	290	192.2	SEP	bad	high	R2 long-track break, no W gap
280972	0	3	4	1	3.13	30.25	1.69	30	70.7	1	0	0.76	1051	50.7	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
280972	0	10	21	1	4.21	13.40	1.79	52	15.1	0	1	1.39	2283	42.3	via 3	OK	high	R1 busy EM shower
280972	0	10	22	1	13.40	22.13	2.64	421	16.2	0	0	1.29	2119	43.8	via 2	bad	high	R2 long-track break, no W gap
280972	0	11	16	1	24.52	90.60	15.88	863	47.5	1	0	1.56	1787	12.7	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
280972	0	11	21	1	4.21	90.60	15.88	52	30.9	0	1	1.66	2439	41.9	via 2	OK	high	R1 busy EM shower
280972	0	13	15	1	3.98	23.04	1.90	40	61.8	1	0	1.13	723	52.2	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
280972	0	18	19	1	1.53	36.00	3.81	12	87.4	1	0	1.74	2272	43.0	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
280972	0	18	20	1	0.98	1.53	0.32	7	72.5	1	0	1.40	2284	42.6	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
280972	0	19	20	1	0.98	36.00	3.81	7	90.0	1	0	3.15	2255	43.0	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
280972	0	23	24	1	1.53	7.20	1.40	16	37.5	1	0	2.19	165	68.7	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
280972	0	25	26	1	3.13	4.20	1.04	39	67.3	1	0	0.68	186	67.9	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
281485	0	0	5	1	12.72	14.49	1.08	101	45.0	1	0	4.56	669	10.6	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
281485	0	2	4	1	1.04	2.96	0.63	2	2.0	1	0	4.70	645	10.9	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
281485	0	4	5	1	2.96	14.49	1.08	35	7.1	1	0	1.00	657	9.4	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
281507	0	0	1	1	1.57	118.85	1.97	14	74.9	0	0	1.21	206	3.3	SEP	good	low	R4 residual, committed good
281595	0	0	1	2	62.11	63.64	1.05	533	0.9	0	6	0.90	257	59.4	dir	bad	high	R2 long-track break, no W gap
281639	0	0	1	1	6.58	31.72	1.17	111	29.2	1	0	0.68	472	23.4	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
281837	0	0	1	1	5.79	20.29	0.50	32	51.5	0	0	1.13	1261	8.0	SEP	good	low	R4 residual, committed good
281837	0	0	2	1	20.29	94.89	5.54	168	67.6	0	0	4.77	1241	6.0	dir	bad	high	R2 long-track break, no W gap
281837	0	1	2	1	5.79	94.89	5.54	32	39.0	0	0	1.01	1302	7.6	SEP	good	low	R4 residual, committed good
281837	0	3	4	1	51.11	70.65	0.62	510	2.6	0	6	1.79	316	80.0	SEP	bad	high	R2 long-track break, no W gap
281837	1	0	1	1	4.44	6.04	0.51	36	52.1	0	0	0.92	94	29.6	dir	good	low	R4 residual, committed good
282072	0	0	3	1	3.62	296.78	9.75	28	10.4	1	0	3.64	143	298.5	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
282072	0	1	3	1	26.78	296.78	9.75	120	66.0	0	0	2.72	540	29.5	SEP	bad	high	R2 long-track break, no W gap
282072	0	2	3	1	10.09	296.78	9.75	74	67.1	0	0	1.65	409	3.4	SEP	bad	high	R2 long-track break, no W gap
282204	0	0	1	1	40.98	75.10	11.41	322	56.7	0	1	2.69	515	47.4	SEP	bad	high	R2 long-track break, no W gap
282204	0	0	2	2	40.98	46.95	1.25	322	22.5	0	6	2.25	502	46.6	SEP	bad	high	R2 long-track break, no W gap
282204	0	1	2	1	46.95	75.10	11.41	661	55.5	0	0	1.08	557	2.8	SEP	bad	high	R2 long-track break, no W gap
282217	0	0	1	1	2.43	152.52	0.87	15	48.7	0	6	4.71	359	251.5	via 2	good	low	R4 residual, committed good
282217	0	1	2	3	152.52	254.83	5.02	1464	9.0	0	6	0.90	360	251.8	dir	bad	high	R2 long-track break, no W gap
282385	0	0	1	2	9.87	146.90	0.81	118	60.4	0	0	2.75	220	147.3	SEP	bad	high	R2 long-track break, no W gap
282385	0	0	2	1	1.93	146.90	0.81	6	11.0	0	0	1.43	245	146.4	SEP	good	low	R4 residual, committed good
282385	0	1	2	1	1.93	9.87	0.73	6	65.9	0	0	0.76	213	149.1	dir	good	low	R4 residual, committed good
282899	0	0	1	1	23.91	130.95	1.12	273	26.7	0	0	1.30	367	22.8	SEP	bad	high	R2 long-track break, no W gap
282979	1	1	2	1	0.63	0.94	0.19	6	0.0	1	0	1.51	14	83.8	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
283040	0	0	2	1	6.99	99.51	1.21	161	60.4	0	0	1.00	294	1.1	dir	bad	high	R2 long-track break, no W gap
283040	0	1	2	2	16.16	99.51	1.21	218	27.2	0	6	1.66	325	101.2	SEP	bad	high	R2 long-track break, no W gap
283463	0	0	1	1	0.69	13.10	1.38	6	71.3	1	0	0.94	316	11.2	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
283713	1	10	11	1	1.01	2.87	0.50	10	48.3	1	0	1.71	110	81.6	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
283713	1	19	20	1	2.17	14.02	1.70	25	34.0	1	0	1.13	443	175.8	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
284013	0	0	1	1	1.03	74.06	0.94	3	87.7	0	6	3.33	357	5.4	via 2	good	low	R4 residual, committed good
284013	0	1	2	1	10.00	74.06	1.48	217	39.2	0	6	0.97	368	6.9	dir	bad	high	R2 long-track break, no W gap
284200	0	0	2	1	8.44	21.36	1.69	98	24.0	0	0	1.35	486	40.8	SEP	bad	high	R2 long-track break, no W gap
284200	0	1	2	1	0.71	21.36	1.69	4	32.7	1	0	1.14	501	30.3	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
284200	0	3	4	1	1.93	17.89	3.46	14	55.2	0	0	4.60	698	7.7	via 2	good	low	R4 residual, committed good
284200	0	3	7	1	1.60	1.93	0.45	14	52.4	0	0	1.73	704	11.1	via 2	good	low	R4 residual, committed good
284200	0	4	6	2	7.91	17.89	3.46	143	49.7	0	0	0.92	675	4.8	dir	bad	high	R2 long-track break, no W gap
284200	0	4	7	1	1.60	17.89	3.46	14	75.4	0	0	3.18	704	9.3	via 2	good	low	R4 residual, committed good
284769	0	0	1	1	6.16	102.32	2.30	23	22.4	0	0	1.39	765	88.0	SEP	good	low	R4 residual, committed good
284769	0	1	2	1	102.32	255.92	6.16	2321	2.7	0	0	1.39	795	89.9	SEP	bad	high	R2 long-track break, no W gap
284769	1	2	3	1	0.69	1.10	0.33	2	57.1	0	0	0.97	12	72.7	dir	good	low	R4 residual, committed good
284794	0	1	2	1	135.63	263.97	3.47	1208	3.8	0	0	1.95	1603	104.9	SEP	bad	high	R2 long-track break, no W gap
285069	2	0	1	1	1.12	1.24	0.32	8	86.4	1	0	1.65	20	312.3	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
285311	0	0	1	1	1.29	53.21	5.02	9	39.2	0	0	1.55	638	4.5	SEP	good	low	R4 residual, committed good
285311	0	0	2	1	30.50	53.21	5.02	429	53.6	0	0	1.39	633	1.5	SEP	bad	high	R2 long-track break, no W gap
285366	0	0	1	1	2.74	64.59	0.64	43	15.3	0	0	1.11	152	1.5	SEP	good	low	R4 residual, committed good
285443	0	2	3	1	8.99	13.34	1.94	192	61.5	0	0	1.07	770	22.1	SEP	bad	high	R2 long-track break, no W gap
285443	1	0	1	1	1.29	2.19	0.54	14	76.9	0	0	1.04	37	40.9	SEP	good	low	R4 residual, committed good
285929	0	0	2	2	62.33	76.23	0.60	644	3.2	0	6	0.90	306	61.5	dir	bad	high	R2 long-track break, no W gap
286180	0	0	1	1	17.10	26.98	1.06	203	26.4	0	0	4.92	316	29.5	SEP	bad	high	R2 long-track break, no W gap
286191	0	0	3	1	9.01	107.60	1.69	21	1.9	0	1	2.61	490	49.0	SEP	good	low	R4 residual, committed good
286241	0	0	1	1	6.24	209.16	2.13	66	27.3	1	0	0.76	230	284.2	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
286400	0	1	2	2	86.74	221.59	1.28	785	10.1	0	6	0.69	299	178.5	dir	bad	high	R2 long-track break, no W gap
286681	0	3	11	1	4.64	28.13	4.84	79	69.7	0	0	4.14	1138	58.7	via 3	good	low	R4 residual, committed good
286681	0	5	9	1	0.35	20.49	0.70	3	59.8	0	0	1.29	2227	55.4	via 2	OK	high	R1 busy EM shower
286681	0	6	9	1	10.93	20.49	1.85	119	6.0	0	0	1.98	2106	55.4	via 3	bad	high	R2 long-track break, no W gap
286681	0	7	11	1	28.13	107.27	13.83	1922	2.2	0	0	0.97	1921	33.7	dir	bad	high	R2 long-track break, no W gap
286681	0	8	9	1	4.51	20.49	0.70	44	84.5	0	0	3.62	2270	54.3	via 2	OK	high	R1 busy EM shower
286681	0	9	11	1	20.49	28.13	4.84	119	31.2	0	0	0.75	2387	51.2	dir	bad	high	R2 long-track break, no W gap
286681	0	10	20	1	20.31	29.44	4.42	103	89.3	1	0	4.09	1508	26.8	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
286681	0	14	15	1	2.41	9.11	0.78	18	29.0	0	0	3.06	1732	42.3	via 2	good	low	R4 residual, committed good
286681	0	14	16	1	2.41	2.83	0.57	18	21.6	0	0	0.90	1640	43.6	dir	good	low	R4 residual, committed good
286681	0	15	19	1	9.11	17.75	0.80	72	4.2	0	0	4.37	1856	30.0	SEP	bad	high	R2 long-track break, no W gap
286681	0	15	20	1	9.11	29.44	4.42	72	85.8	1	0	1.33	1916	32.2	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
286681	0	17	18	1	1.51	10.19	1.70	8	16.3	0	0	3.99	2283	42.5	via 2	OK	high	R1 busy EM shower
286681	0	18	20	1	10.19	29.44	4.42	141	35.0	0	0	0.92	1615	44.7	dir	bad	high	R2 long-track break, no W gap
286681	0	19	20	1	17.75	29.44	4.42	201	88.7	1	0	1.13	1673	27.3	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
286906	0	0	1	1	4.33	134.58	0.85	40	35.7	1	0	1.30	269	3.7	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
287517	0	0	1	1	32.15	108.46	1.85	588	5.9	1	0	0.69	418	30.5	SEP	bad	low	R2w thin collinear pair across a W gap
287517	0	1	3	1	8.26	32.15	1.85	150	14.7	0	0	1.35	706	8.1	SEP	bad	high	R2 long-track break, no W gap
287517	0	2	3	1	4.10	8.26	1.13	100	31.6	0	0	0.60	636	7.1	dir	good	low	R4 residual, committed good
287621	0	0	2	1	15.47	73.66	12.61	59	22.4	0	0	1.95	414	63.7	SEP	bad	high	R2 long-track break, no W gap
287621	0	1	2	1	21.12	73.66	12.61	68	24.0	0	1	1.95	487	37.3	SEP	bad	high	R2 long-track break, no W gap
287621	0	2	3	1	3.09	73.66	12.61	32	80.7	0	0	0.97	207	51.6	dir	good	low	R4 residual, committed good
287654	0	0	1	1	11.08	50.80	2.71	300	47.2	0	0	0.90	684	3.2	dir	bad	high	R2 long-track break, no W gap
287654	0	2	4	1	1.15	8.77	0.67	10	80.5	0	0	1.20	98	47.6	SEP	good	low	R4 residual, committed good
287830	0	0	1	1	1.77	10.74	1.01	17	34.0	0	0	1.55	327	169.9	SEP	good	low	R4 residual, committed good
287830	0	0	3	1	0.94	1.77	0.55	8	78.9	1	0	1.80	327	169.5	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
287830	0	1	3	1	0.94	10.74	1.01	8	53.5	1	0	1.40	333	168.9	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
