event	node	stratum	owner_verdict	owner_k	off_fired	off_b_cm	off_n_seed	off_nacc	off_valley	on_fired	on_veto	on_shared	cxx_k	boundary_agree
388	23032	S1-seed-capped	KEEP	1	0	16.62	4	0	1.0000	0	0	0		
21073	63100	S2-bound-region	SPLIT2	2	1	34.53	4	2	0.3021	1	1	0	2	1.0000
58755	30003	S3-unjudged-fire	SPLIT2	2	1	2.19	4	2	0.8799	1	0	0	2	1.0000
71372	19049	S1-seed-capped	SPLIT3	3	0	1.46	4	0	1.0000	0	0	0		
71642	76071	S2-bound-region	KEEP	1	0	17.70	4	0	1.0000	0	0	0		
71642	84105	S3-unjudged-fire	SPLIT2	2	1	13.80	3	2	0.8115	1	0	0	2	1.0000
76346	14059	S4-control	KEEP	1	0	2.43	1	0	1.0000	0	0	0		
90055	11033	S1-seed-capped	KEEP	1	0	2.76	4	0	1.0000	0	0	0		
100222	67054	S4-control	KEEP	1	0	65.66	2	0	1.0000	0	0	0		
122660	53070	S4-control	KEEP	1	0	87.05	1	0	1.0000	0	0	0		
138009	12088	S1-seed-capped	KEEP	1	0	0.45	4	0	1.0000	0	0	0		
170761	8026	S3-unjudged-fire	SPLIT2	2	1	11.34	4	2	0.6453	1	0	0	2	1.0000
172230	5027	S1-seed-capped	KEEP	1	0	1.92	4	0	1.0000	0	0	0		
176502	109119	S3-unjudged-fire	SPLIT3	3	1	8.56	4	2	0.5926	1	0	0	2	0.9036
196649	11113	S1-seed-capped	KEEP	1	0	2.22	4	0	1.0000	0	0	0		
256587	11301	S1-seed-capped	KEEP	1	0	0.87	4	0	1.0000	0	0	0		
280972	79136	S3-unjudged-fire	SPLIT2	2	1	9.03	4	2	0.7958	1	0	0	2	1.0000
281781	89069	S3-unjudged-fire	SPLIT3	3	1	29.56	4	2	0.3293	1	0	0	2	0.5741
282909	75060	S4-control	KEEP	1	0	5.60	4	0	1.0000	0	0	0		
283515	24014	S2-bound-region	KEEP	1	0	37.04	4	0	1.0000	0	0	0		
284200	6013	S2-bound-region	SPLIT2	2	1	30.32	4	2	0.4839	1	1	0	2	1.0000
292005	46017	S4-control	KEEP	1	0	47.94	3	0	1.0000	0	0	0		
292643	25015	S2-bound-region	SPLIT2	2	1	30.35	4	2	0.2979	1	1	0	2	1.0000
293536	15027	S4-control	KEEP	1	0	3.53	4	0	1.0000	0	0	0		
318769	31026	S2-bound-region	KEEP	1	1	39.65	4	2	0.3008	1	1	0	2	
321767	45019	S2-bound-region	KEEP	1	0	20.08	4	2	0.8038	0	0	0		
348691	49046	S4-control	KEEP	1	0	0.43	4	0	1.0000	0	0	0		
386948	91060	S2-bound-region	KEEP	1	0	38.85	4	0	1.0000	0	0	0		
393212	6009	S3-unjudged-fire	SPLIT2	2	1	15.22	4	2	0.1609	1	0	0	2	1.0000
396222	9084	S1-seed-capped	SPLIT3	3	0	39.37	4	2	0.2510	0	0	0		
410008	20001	S4-control	KEEP	1	0	173.32	2	0	1.0000	0	0	0		
487853	13000	S3-unjudged-fire	SPLIT2	2	1	11.66	4	2	0.6898	1	0	0	2	0.8793
