evt	arm	em_excl	deg	n_trk_near	n_sh_near	n_stubs	n_passthru	n_shortcut	n_orphans	kink	kink_seg	numu	nue	detail
10550	work-pr103-bare2-nuecc48	1	2	1	1	0	0	0	0	0.0	-1	-0.9689858555793762	4.300936222076416	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
111412	work-pr103-bare2-nuecc48	0	6	1	4	1	0	0	0	0.73	18026	0.07164805382490158	0.03738752380013466	{"stubs": [[18059, 2.38]], "passthru": [], "shortcut": [], "orphans": []}
116962	work-pr103-bare2-nuecc48	0	6	3	2	1	0	0	0	1.12	21070	0.2662314176559448	-15.0	{"stubs": [[21069, 2.1]], "passthru": [], "shortcut": [], "orphans": []}
122660	work-pr103-bare2-nuecc48	0	3	3	0	0	0	0	0	0.69	9008	-0.3860114812850952	4.300936222076416	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
131357	work-pr103-bare2-nuecc48	0	2	1	1	0	0	0	0	0.28	12010	-0.12164580076932907	4.300936222076416	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
137238	work-pr103-bare2-nuecc48	0	2	1	1	0	0	0	0	0.44	143052	1.1364765167236328	-3.4145219326019287	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
138009	work-pr103-bare2-nuecc48	1	2	1	1	0	0	0	0	0.46	12085	0.6985094547271729	4.300936222076416	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
163543	work-pr103-bare2-nuecc48	0	4	3	1	0	0	0	0	3.89	14128	-0.49286824464797974	-0.30610790848731995	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
168596	work-pr103-bare2-nuecc48	0	3	3	0	0	0	0	0	1.41	14154	-1.3801125288009644	4.300936222076416	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
172230	work-pr103-bare2-nuecc48	0	2	2	0	0	0	0	0	0.54	5027	-0.08450443297624588	4.300936222076416	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
174637	work-pr103-bare2-nuecc48	0	2	2	0	0	0	0	0	0.33	9041	0.6210421323776245	4.300936222076416	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
196649	work-pr103-bare2-nuecc48	0	1	1	0	0	0	0	0	1.92	11113	-1.1169434785842896	4.242424011230469	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
