event	shower	seg	angle_v1	angle_v2	pair_dis_cm	q	verdict	final_owner	seed
180801	114078	63025	7.7	54.3	98.8	0.0	REFUSED	63025	0
21073	63100	33026	24.7	54.1	43.7	180253.3	ADMITTED	63100	0
21073	63100	47040	19.8	51.7	40.0	0.0	REFUSED	60081	0
21073	31023	28020	23.3	30.3	56.7	0.0	REFUSED	63100	0
21073	31023	52045	23.8	32.6	47.1	0.0	REFUSED	63100	0
259542	57029	89061	24.8	31.5	48.6	427336.9	ADMITTED	57029	0
259542	87059	17004	21.7	45.4	62.1	487299.3	ADMITTED	87059	0
259542	87059	17020	24.3	45.3	65.8	2628542.1	ADMITTED	87059	0
259542	87059	61033	22.5	52.8	54.6	46421.7	ADMITTED	87059	0
259542	87059	62034	23.2	48.3	59.0	72675.8	ADMITTED	87059	0
259542	87059	66038	24.5	69.9	47.6	39415.3	ADMITTED	87059	0
259542	87059	131129	24.8	55.1	69.9	0.0	REFUSED	131131	0
259542	87059	131131	22.3	53.9	66.2	0.0	REFUSED	131131	0
259542	120068	69041	24.0	52.0	59.8	51092.5	ADMITTED	120068	0
259542	88060	119065	23.3	77.4	78.0	0.0	REFUSED	87059	0
259542	88060	123076	22.7	32.8	77.3	573169.2	ADMITTED	88060	0
259542	88060	123079	20.2	40.3	75.8	148330.7	ADMITTED	88060	0
259542	88060	125089	22.9	62.4	74.3	139789.2	ADMITTED	88060	0
259542	88060	123137	22.7	32.8	77.3	59061.7	ADMITTED	88060	0
314838	110088	13008	22.8	32.9	39.3	849540.5	ADMITTED	110088	0
314838	110088	13010	21.6	60.6	17.4	2036454.9	ADMITTED	110088	1
314838	110088	13011	23.6	34.1	40.5	355158.8	ADMITTED	110088	0
314838	110088	13018	22.5	31.5	43.6	387592.0	ADMITTED	110088	0
314838	110088	13019	23.2	33.7	37.5	628182.7	ADMITTED	110088	0
314838	110088	107045	23.6	31.4	52.7	1581897.5	ADMITTED	110088	0
314838	110088	107046	24.5	32.1	50.5	559664.1	ADMITTED	110088	0
314838	110088	13097	23.4	33.6	42.0	95787.8	ADMITTED	110088	0
359980	75089	54064	20.1	31.7	66.5	40703.8	ADMITTED	75089	0
359980	75089	55065	19.0	34.3	63.1	50378.2	ADMITTED	75089	0
37112	67048	9006	24.2	39.0	31.1	1293505.0	ADMITTED	67048	0
37112	67048	9009	23.8	40.3	28.9	410855.0	ADMITTED	67048	0
37112	9008	53034	25.0	34.7	55.3	0.0	REFUSED	67048	0
506114	82080	89100	5.8	84.4	86.3	232101.1	ADMITTED	82080	0
506114	82080	89101	5.7	74.4	88.5	196346.7	ADMITTED	82080	0
506114	82080	90102	5.0	71.4	89.4	219515.7	ADMITTED	82080	0
56982	71070	72071	12.2	75.5	35.5	41882.9	ADMITTED	71070	0
56982	71070	79078	23.0	58.8	44.2	24532.1	ADMITTED	71070	0
56982	71070	82081	19.4	57.8	41.2	77377.4	ADMITTED	71070	0
71372	97140	57099	23.8	32.3	65.8	0.0	REFUSED	57099	0
84229	69134	9058	9.9	50.5	20.2	738035.1	ADMITTED	69134	1
116962	22025	67056	9.0	72.5	31.7	100638.3	ADMITTED	22025	0
116962	22025	67058	8.2	73.2	31.2	108549.6	ADMITTED	22025	0
122660	54071	47049	9.8	41.7	97.3	1456027.0	ADMITTED	54071	0
122660	54071	47050	8.5	46.7	98.5	513138.1	ADMITTED	54071	0
137238	43015	40012	11.5	32.1	102.5	0.0	REFUSED	40012	0
234638	51056	88111	11.0	61.5	95.2	0.0	REFUSED	90113	0
234638	51056	89112	7.6	70.4	81.3	0.0	REFUSED	90113	0
234638	51056	90113	8.2	74.9	77.9	0.0	REFUSED	90113	0
234638	50053	68073	6.3	67.5	94.2	0.0	REFUSED	68073	0
235435	42066	17056	9.8	54.9	27.3	0.0	REFUSED	2024	0
235435	42066	22061	16.1	83.2	23.7	172084.9	ADMITTED	42066	0
256587	57200	43186	2.9	42.3	96.8	27283.5	ADMITTED	57200	0
