event	n_vtx	n_vtx_cl0	n_seg	n_seg_cl0	mainv_cl	seg_cl_min	cl0_deg2	cl0_deg3p	cl0_touch_main	cl0_touch_ids	cl0_ids
173049	9	0	5	0	9	9	0	0	0	-	-
173058	46	0	23	0	14	14	0	0	0	-	-
173093	58	0	33	0	67	12	0	0	0	-	-
173108	13	0	7	0	25	25	0	0	0	-	-
173146	28	0	15	0	15	15	0	0	0	-	-
173234	17	0	9	0	10	10	0	0	0	-	-
173340	8	0	4	0	7	7	0	0	0	-	-
173438	6	0	3	0	5	5	0	0	0	-	-
173450	5	0	3	0	13	13	0	0	0	-	-
173488	22	0	11	0	7	7	0	0	0	-	-
173495	19	1	12	0	22	22	1	0	0	26	24
173498	11	0	7	0	6	6	0	0	0	-	-
173585	14	0	8	0	15	15	0	0	0	-	-
173620	29	1	16	0	11	11	1	0	0	46	28
173643	22	0	11	0	3	3	0	0	0	-	-
173671	3	0	2	0	7	7	0	0	0	-	-
173819	28	0	16	0	14	14	0	0	0	-	-
173827	4	0	2	0	23	23	0	0	0	-	-
173912	19	0	10	0	2	2	0	0	0	-	-
173978	21	0	11	0	7	7	0	0	0	-	-
174114	23	0	12	0	17	17	0	0	0	-	-
174164	34	0	20	0	16	16	0	0	0	-	-
174224	26	0	16	0	20	20	0	0	0	-	-
174302	8	0	4	0	7	7	0	0	0	-	-
174311	10	0	6	0	3	3	0	0	0	-	-
169824	14	0	9	0	18	18	0	0	0	-	-
169846	18	0	9	0	6	6	0	0	0	-	-
169890	6	0	4	0	21	21	0	0	0	-	-
169966	28	0	14	0	16	16	0	0	0	-	-
170076	33	0	17	0	10	10	0	0	0	-	-
170098	80	0	45	0	16	16	0	0	0	-	-
170274	23	0	12	0	3	3	0	0	0	-	-
170326	10	0	6	0	33	8	0	0	0	-	-
170365	7	0	4	0	12	12	0	0	0	-	-
170428	12	0	7	0	14	14	0	0	0	-	-
170585	9	0	5	0	11	11	0	0	0	-	-
170651	7	1	4	0	9	9	1	0	0	27	7
170761	47	0	26	0	8	8	0	0	0	-	-
170792	12	0	7	0	10	10	0	0	0	-	-
170808	33	0	20	0	14	14	0	0	0	-	-
170814	9	0	5	0	18	18	0	0	0	-	-
170880	21	0	11	0	13	13	0	0	0	-	-
170924	5	0	3	0	16	16	0	0	0	-	-
171143	28	0	17	0	8	8	0	0	0	-	-
171352	40	0	22	0	13	13	0	0	0	-	-
171358	23	0	14	0	10	10	0	0	0	-	-
171440	0	0	0	0	-1	-1	0	0	0	-	-
171473	4	0	2	0	3	3	0	0	0	-	-
171528	31	0	19	0	17	17	0	0	0	-	-
171572	31	0	17	0	83	10	0	0	0	-	-
103204	7	0	4	0	20	20	0	0	0	-	-
103391	30	0	17	0	9	9	0	0	0	-	-
103545	11	0	6	0	18	18	0	0	0	-	-
103798	84	0	45	0	17	17	0	0	0	-	-
103952	36	0	20	0	21	15	0	0	0	-	-
104172	70	0	40	0	25	24	0	0	0	-	-
104216	40	0	21	0	10	10	0	0	0	-	-
104260	30	0	16	0	10	10	0	0	0	-	-
104304	8	0	5	0	13	13	0	0	0	-	-
104920	13	0	7	0	9	9	0	0	0	-	-
105140	6	0	3	0	6	6	0	0	0	-	-
105316	64	0	35	0	20	20	0	0	0	-	-
105426	5	0	3	0	10	10	0	0	0	-	-
105492	23	0	13	0	9	9	0	0	0	-	-
156093	13	0	7	0	8	8	0	0	0	-	-
156313	6	0	3	0	6	6	0	0	0	-	-
157215	2	0	1	0	-1	19	0	0	0	-	-
157281	11	0	6	0	7	7	0	0	0	-	-
158227	6	0	3	0	11	11	0	0	0	-	-
158689	0	0	0	0	-1	-1	0	0	0	-	-
159569	38	0	20	0	49	12	0	0	0	-	-
160031	14	0	7	0	15	15	0	0	0	-	-
160537	16	0	10	0	13	13	0	0	0	-	-
161043	17	0	9	0	8	8	0	0	0	-	-
161725	16	0	9	0	18	18	0	0	0	-	-
162143	36	0	21	0	8	8	0	0	0	-	-
162473	8	0	4	0	24	21	0	0	0	-	-
163309	14	0	7	0	19	19	0	0	0	-	-
163771	11	0	6	0	8	8	0	0	0	-	-
164466	5	0	3	0	6	6	0	0	0	-	-
164475	9	0	5	0	17	17	0	0	0	-	-
164576	18	0	9	0	24	24	0	0	0	-	-
164774	6	0	3	0	24	24	0	0	0	-	-
165104	14	0	7	0	9	9	0	0	0	-	-
165157	60	1	33	0	62	9	1	0	0	16	66
165393	16	0	8	0	9	9	0	0	0	-	-
165544	19	0	12	0	4	4	0	0	0	-	-
165767	14	0	9	0	7	7	0	0	0	-	-
165855	12	0	6	0	5	5	0	0	0	-	-
166006	13	0	7	0	8	8	0	0	0	-	-
166050	24	0	13	0	11	11	0	0	0	-	-
166295	37	0	20	0	19	19	0	0	0	-	-
166738	80	1	43	0	16	16	1	0	0	38	87
166804	5	0	3	0	9	9	0	0	0	-	-
166870	51	0	32	0	10	10	0	0	0	-	-
166996	32	0	17	0	16	16	0	0	0	-	-
167112	24	0	13	0	16	16	0	0	0	-	-
167351	24	0	13	0	13	13	0	0	0	-	-
167612	82	1	49	0	26	24	1	0	0	96	93
167684	3	0	2	0	10	10	0	0	0	-	-
100080	6	0	3	0	17	17	0	0	0	-	-
100135	30	0	18	0	14	14	0	0	0	-	-
100157	15	0	8	0	5	5	0	0	0	-	-
100190	0	0	0	0	-1	-1	0	0	0	-	-
100222	155	0	111	0	113	14	0	0	0	-	-
100245	13	0	8	0	12	12	0	0	0	-	-
100322	7	0	4	0	16	16	0	0	0	-	-
100420	17	0	9	0	14	14	0	0	0	-	-
100421	21	0	11	0	7	7	0	0	0	-	-
100564	7	0	4	0	8	8	0	0	0	-	-
100640	7	0	4	0	3	3	0	0	0	-	-
100728	12	0	6	0	-1	27	0	0	0	-	-
101004	4	0	2	0	2	2	0	0	0	-	-
101224	32	0	16	0	12	12	0	0	0	-	-
101454	22	0	13	0	13	13	0	0	0	-	-
101466	6	0	3	0	7	7	0	0	0	-	-
101498	14	0	8	0	10	10	0	0	0	-	-
101554	43	0	22	0	13	13	0	0	0	-	-
101675	38	0	20	0	11	11	0	0	0	-	-
101828	29	0	17	0	34	18	0	0	0	-	-
102247	20	0	10	0	13	13	0	0	0	-	-
102643	8	0	4	0	19	19	0	0	0	-	-
102841	29	0	15	0	11	11	0	0	0	-	-
103061	16	0	8	0	4	4	0	0	0	-	-
103193	2	0	1	0	2	2	0	0	0	-	-
171600	26	0	13	0	14	14	0	0	0	-	-
171616	50	1	26	0	3	3	1	0	0	44	50
171729	30	0	18	0	9	9	0	0	0	-	-
171770	0	0	0	0	-1	-1	0	0	0	-	-
171866	10	0	6	0	15	15	0	0	0	-	-
171892	4	0	2	0	60	27	0	0	0	-	-
172012	8	0	4	0	24	23	0	0	0	-	-
172015	0	0	0	0	-1	-1	0	0	0	-	-
172020	21	0	13	0	11	11	0	0	0	-	-
172090	7	0	4	0	10	10	0	0	0	-	-
172177	59	0	30	0	7	7	0	0	0	-	-
172262	13	0	7	0	30	30	0	0	0	-	-
172266	45	0	24	0	16	16	0	0	0	-	-
172344	6	0	4	0	6	6	0	0	0	-	-
172463	14	0	9	0	14	14	0	0	0	-	-
172498	6	0	4	0	5	5	0	0	0	-	-
172548	14	0	7	0	10	10	0	0	0	-	-
172617	8	0	5	0	17	17	0	0	0	-	-
172656	31	0	17	0	10	10	0	0	0	-	-
172762	6	0	3	0	15	15	0	0	0	-	-
172788	11	0	8	0	26	26	0	0	0	-	-
172794	7	0	4	0	50	20	0	0	0	-	-
172832	33	0	17	0	21	21	0	0	0	-	-
172850	5	0	3	0	12	12	0	0	0	-	-
172942	35	0	20	0	4	4	0	0	0	-	-
167703	52	0	26	0	11	11	0	0	0	-	-
167744	35	0	19	0	13	13	0	0	0	-	-
168209	12	0	7	0	11	11	0	0	0	-	-
168432	24	0	16	0	19	19	0	0	0	-	-
168448	11	0	7	0	64	23	0	0	0	-	-
168526	93	0	53	0	19	19	0	0	0	-	-
168614	6	0	4	0	5	5	0	0	0	-	-
168658	12	0	6	0	12	12	0	0	0	-	-
168778	0	0	0	0	-1	-1	0	0	0	-	-
168869	12	0	6	0	4	4	0	0	0	-	-
169067	22	0	11	0	10	10	0	0	0	-	-
169152	19	0	10	0	22	22	0	0	0	-	-
169221	8	0	5	0	69	15	0	0	0	-	-
169240	10	0	6	0	19	19	0	0	0	-	-
169306	18	0	10	0	14	14	0	0	0	-	-
169356	44	0	26	0	16	16	0	0	0	-	-
169488	24	0	12	0	8	8	0	0	0	-	-
169598	9	0	5	0	18	18	0	0	0	-	-
169620	18	0	10	0	13	13	0	0	0	-	-
169626	68	0	44	0	22	13	0	0	0	-	-
169658	16	0	9	0	7	7	0	0	0	-	-
169724	13	0	8	0	59	12	0	0	0	-	-
169758	0	0	0	0	-1	-1	0	0	0	-	-
169774	22	0	11	0	2	2	0	0	0	-	-
169793	89	2	49	0	11	11	2	0	0	26,60	101,102
174352	36	0	19	0	11	11	0	0	0	-	-
174422	8	0	4	0	18	18	0	0	0	-	-
174576	12	0	7	0	5	5	0	0	0	-	-
174661	21	0	11	0	7	2	0	0	0	-	-
174752	15	0	8	0	48	14	0	0	0	-	-
174770	8	0	4	0	3	3	0	0	0	-	-
174771	105	0	61	0	15	15	0	0	0	-	-
174795	6	0	3	0	19	19	0	0	0	-	-
