sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
nuecc48	18255	1	219295	0	21.578	11.875	30	1536672	0	nu-candidate	13	1	1	1	0	1.261	131.3	38	97.22783	52.437603	95.811356	-1.398435	4.300936	1.0	0.0	0.7	0.0	1965.6117
nuecc48	18255	1	234638	0	17.629	8.719	26	1534956	0	nu-candidate	9	1	1	1	0	0.990	114.5	53	102.72015	-7.1598325	365.1172	-0.5069037	4.300936	1.0	0.0	0.7	0.0	1580.2314
nuecc48	18255	1	235435	0	10.103	4.022	18	1536440	0	nu-candidate	9	1	2	1	0	1.438	60.2	9	-83.02484	182.20654	170.69293	-0.8210341	4.300936	1.0	0.0	0.7	0.0	837.79034
nuecc48	18255	1	239794	0	24.921	19.086	33	1537260	0	nu-candidate	11	1	1	1	0	0.509	97.2	54	-171.68219	-26.403233	194.67207	-0.8727526	4.300936	1.0	0.0	0.7	0.0	2937.5586
nuecc48	18255	1	246579	0	35.244	25.371	42	1534272	0	nu-candidate	11	1	1	1	0	1.735	108.1	44	-104.071625	-58.820534	29.803461	-1.9450339	4.300936	1.0	0.0	0.7	0.0	1902.9899
nuecc48	18306	1	256587	0	65.664	55.075	74	1560760	0	nu-candidate	9	1	1	1	0	1.482	130.6	89	-109.97952	-25.086836	245.39531	-1.3663704	4.300936	1.0	0.0	0.7	0.0	3972.4988
nuecc48	18279	1	267597	0	18.795	9.082	27	1534596	0	nu-candidate	8	1	1	1	0	0.707	127.2	65	81.88917	-128.87038	367.68512	-1.570827	4.300936	1.0	0.0	0.7	0.0	1866.0233
nuecc48	18255	1	268067	0	16.266	6.189	23	1535704	0	nu-candidate	9	1	1	1	0	1.275	101.8	22	-78.6151	-65.69364	279.69897	0.3256613	-15.0	1.0	1.0	0.7	0.0	1067.2229
nuecc48	18255	1	268784	0	12.357	10.984	19	1537372	0	nu-candidate	12	1	1	1	0	1.395	132.8	43	92.15222	19.587717	397.97897	-0.10871429	-15.0	1.0	0.0	0.7	0.0	1696.845
nuecc48	18255	1	269774	0	10.812	9.525	18	1534980	0	nu-candidate	9	1	1	1	0	0.718	51.1	79	60.58861	-10.298346	110.90988	-0.7518073	4.300936	1.0	0.0	0.7	0.0	2447.4849
nuecc48	18255	1	271851	0	9.475	8.887	17	1535444	0	nu-candidate	16	1	1	1	0	0.764	64.7	40	-156.60428	20.094992	347.48895	-0.35432172	3.9028602	1.0	0.0	0.7	0.0	1570.4011
nuecc48	18269	1	342199	0	6.706	6.213	14	1533188	0	nu-candidate	14	1	1	1	0	0.795	64.2	30	-52.269367	5.007416	175.215	-1.1103158	4.300936	1.0	0.0	0.7	0.0	1376.5435
nuecc48	18255	1	350186	0	5.416	4.248	13	1534684	0	nu-candidate	17	1	1	1	0	1.631	48.4	26	-13.578127	83.34218	334.82687	-0.880607	4.300936	1.0	0.0	0.7	0.0	707.06744
nuecc48	18255	1	360535	0	20.114	19.775	27	1533296	0	nu-candidate	15	2	2	1	1	1.793	100.9	37	-186.04836	-110.5754	80.45633	-0.15266092	4.300936	1.0	0.0	0.7	0.0	1961.7286
nuecc48	18255	1	389538	0	8.427	7.877	15	1536068	0	nu-candidate	10	2	2	1	1	1.802	171.8	34	-97.42359	145.97746	417.1312	2.6247299	-15.0	1.0	0.0	0.7	0.0	2582.6055
nuecc48	18355	1	400474	0	9.961	8.954	17	1535776	0	nu-candidate	12	1	1	1	0	1.672	91.0	54	60.458668	-118.28336	259.5902	1.3206422	-15.0	1.0	0.0	0.7	0.0	1643.5388
nuecc48	18255	1	422851	0	6.650	5.658	14	1536212	0	nu-candidate	10	1	1	1	0	0.937	59.4	50	-108.85712	-59.314228	346.0561	-0.49748683	4.300936	1.0	0.0	0.7	0.0	1368.039
nuecc48	18255	1	423981	0			17	1535056	0	nu-candidate	12	1	1	1	0	1.059	124.4	33	50.262604	141.40712	176.02257	1.6784936	-15.0	1.0	0.0	0.7	0.0	1048.4495
nuecc48	18255	1	433451	0	21.306	19.745	28	1532532	0	nu-candidate	13	1	1	1	0	0.858	101.7	94	-150.25089	43.427776	211.30817	-0.997221	4.300936	1.0	0.0	0.7	0.0	2916.527
nuecc48	18255	1	437699	0	8.474	7.209	16	1535644	0	nu-candidate	8	1	1	1	0	1.593	94.0	41	109.676765	-149.11565	155.3297	-0.673801	4.300936	1.0	0.0	0.7	0.0	1664.185
nuecc48	18253	1	444187	0	9.734	7.540	17	1535596	0	nu-candidate	15	2	2	1	1	1.573	170.5	6	39.72973	-12.179748	165.86292	0.2591575	4.300936	1.0	0.0	0.7	0.0	1241.3063
nuecc48	18255	1	447477	0	7.186	5.672	14	1534160	0	nu-candidate	10	1	1	1	0	1.825	60.5	38	118.622536	-29.76491	377.60205	-0.18307668	4.300936	1.0	0.0	0.7	0.0	1235.9409
nuecc48	18255	1	469665	0	6.020	4.490	12	1535336	0	nu-candidate	10	1	1	1	0	1.142	31.3	25	24.7218	63.003437	282.88498	-0.06443069	4.300936	1.0	0.0	0.7	0.0	1125.3503
nuecc48	18255	1	489330	0	11.481	8.997	18	1535056	0	nu-candidate	10	1	1	1	0	0.700	103.8	24	-61.490437	-159.23724	102.0818	-0.8780207	4.300936	1.0	0.0	0.7	0.0	2111.361
