ev	shw	tag	G	nmem	n_out	n_in	n_unl	klass	gap_cm	q_comp	q_frac	len_sum	trk_pid	mdqdx	ang_body	members
168432	49028	emscan-0828-agent5	25.0	1	1	0	0	BAD	27.4	154782.2	0.0472	1.31	1	1.485	59.0	46019
348471	38018	emscan-0828-agent5	25.0	1	0	0	1	UNL	29.52	31797.7	0.072	0.69	0	0.451	13.1	18006
386442	16008	emscan-0828-agent5	25.0	1	1	0	0	BAD	38.97	16549.5	0.0061	0.41	1	0.299	178.7	42016
386442	16008	emscan-0828-agent5	30.0	1	1	0	0	BAD	38.97	16549.5	0.0061	0.41	1	0.299	178.7	42016
386442	16008	emscan-0828-agent5	35.0	1	1	0	0	BAD	38.97	16549.5	0.0061	0.41	1	0.299	178.7	42016
54341	34014	emscan-0828-agent5	25.0	2	2	0	0	BAD	34.52	204289.0	0.2358	2.4	1	0.738	12.4	104046;105047
54341	34014	emscan-0828-agent5	30.0	2	2	0	0	BAD	34.52	204289.0	0.2358	2.4	1	0.738	12.4	104046;105047
350354	18092	emscan-0828-agent5	25.0	4	0	0	4	UNL	25.44	467182.8	0.053	4.42	1	1.223	5.4	58035;62039;65042;71048
406125	38021	emscan-0828-agent5	25.0	4	4	0	0	BAD	33.69	2602066.4	0.9488	16.54	1	2.86	4.8	18013;68048;69049;73053
406125	38021	emscan-0828-agent5	30.0	4	4	0	0	BAD	33.69	2602066.4	0.9488	16.54	1	2.86	4.8	18013;68048;69049;73053
72786	16017	emscan-0828-agent5	25.0	1	1	0	0	BAD	32.11	118389.5	0.0563	0.71	1	1.652	21.0	31033
72786	16017	emscan-0828-agent5	30.0	1	1	0	0	BAD	32.11	118389.5	0.0563	0.71	1	1.652	21.0	31033
98844	70063	emscan-0828-agent5	25.0	2	0	1	1	COL	43.58	224884.2	0.7187	3.4	1	0.937	179.3	60037;63040
98844	70063	emscan-0828-agent5	30.0	2	0	1	1	COL	43.58	224884.2	0.7187	3.4	1	0.937	179.3	60037;63040
98844	70063	emscan-0828-agent5	35.0	2	0	1	1	COL	43.58	224884.2	0.7187	3.4	1	0.937	179.3	60037;63040
98844	70063	emscan-0828-agent5	40.0	2	0	1	1	COL	43.58	224884.2	0.7187	3.4	1	0.937	179.3	60037;63040
409634	27015	emscan-0827	25.0	1	1	0	0	BAD	28.52	21631.4	0.0103	0.35	1	0.416	15.2	74038
415278	105182	emscan-0827	25.0	1	1	0	0	BAD	26.25	133623.7	0.0879	1.59	1	1.004	40.3	110187
54332	77039	emscan-0827	25.0	1	1	0	0	BAD	30.6	21740.8	0.1385	0.33	1	0.426	11.6	92054
54332	77039	emscan-0827	30.0	1	1	0	0	BAD	30.6	21740.8	0.1385	0.33	1	0.426	11.6	92054
54332	16014	emscan-0827	25.0	4	0	0	4	UNL	39.55	2773435.2	0.4896	33.33	0	1.25	88.7	16015;16016;16017;16018
54332	16014	emscan-0827	30.0	4	0	0	4	UNL	39.55	2773435.2	0.4896	33.33	0	1.25	88.7	16015;16016;16017;16018
54332	16014	emscan-0827	35.0	4	0	0	4	UNL	39.55	2773435.2	0.4896	33.33	0	1.25	88.7	16015;16016;16017;16018
76346	42033	emscan-0827	25.0	1	1	0	0	BAD	26.09	81197.6	0.2018	0.2	1	1.861	15.5	32022
76346	14059	emscan-0827	25.0	3	3	0	0	BAD	29.97	1314880.2	0.3689	19.38	1	0.985	55.5	49044;49048;49051
76346	37027	emscan-0827	25.0	1	1	0	0	BAD	26.3	69544.0	0.4684	0.34	1	1.353	43.4	38028
