run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	55715					410.4239	389.67883		
18255	1	64409	-1.0331715	0.027690478			1386.9404	1095.9117		
18255	1	278046					617.6085	606.1803		
18255	1	281837	0.81630963	1.5676118	-15.0	-0.74924886	1275.3514	1322.4164		
18255	1	315167	2.2804382	1.7373927						
18255	1	317939					1432.3661	1423.7692		
18255	1	321371	3.1204393	3.284849			712.0029	830.1712		
18255	1	349549			-2.909897	-3.1618953				
18255	1	349945	1.5908815	1.8250185			990.1367	918.9654		
18255	1	350935					1220.3789	1203.162		
18255	1	404684	0.3802176	0.4304835			674.024	509.5529		
18259	1	67394			-0.44443733	0.066312104	1066.09	1007.8411		
18259	1	71178					594.64844	578.62585		
18259	1	73004	2.905241	2.573077			851.00574	709.28735		
18259	1	172090					971.9606	826.37415	0.0	1.6753081112488002
18259	1	174224	3.042722	2.9712343			831.1887	618.573		
