# evt	on_cluster	off_parts	npts	dis_cm	p1	p2	cathode
56519	12	14,19	632,543	3.20	-0.74,-142.14,239.47	1.37,-142.96,241.73	1
57575	15	15,27	1917,2367	3.60	-1.15,-5.22,386.32	2.41,-5.78,386.33	1
58667	17	17,25	4452,2562	1.59	-0.72,-7.38,13.27	0.72,-7.08,12.68	1
59025	18	20,21	4022,4735	3.59	1.6,15.87,294.23	-0.66,18.51,293.32	1
60119	24	23,38	6650,2167	2.03	1.07,-90.91,297.68	-0.76,-91.65,298.12	1
62561	14	15,19	3470,2346	3.82	-0.61,-24.62,372.82	1.55,-25.96,375.68	1
62613	14	16,18	6519,659	4.92	-0.49,163.22,218.77	0.8,167.77,220.13	1
65025	22	22,28	18710,1746	2.61	1.55,-128.58,278.63	-0.61,-129.84,279.37	1
67394	18	20,24	505,442	2.23	1.01,-26.91,143.33	-1.01,-26.09,142.87	1
71266	23	24,27	3742,4449	2.40	-0.61,31.24,265.57	1.55,31.29,264.53	1
71882	13	13,20	3991,6787	2.43	-1.02,-17.6,75.37	1.02,-16.43,75.98	1
168432	17	19,23	10628,863	2.42	1.64,28.34,480.83	-0.71,27.86,481.12	1
169054	6	8,13	4000,2473	2.73	1.36,-5.78,112.73	-1.36,-5.91,112.72	1
170880	16	15,27	4321,544	3.01	-0.71,146.77,460.87	2.27,147.16,461.03	1
170940	23	28,37	3880,2955	2.71	1.74,60.73,341.93	-0.8,61.46,341.32	1
171116	15	13,23	4150,417	3.65	-1.95,-162.58,258.67	1.33,-164.09,259.13	1
174878	13	11,20	4451,1980	2.20	-0.61,-55.88,351.07	1.55,-55.49,351.23	1
276418	20	21,23	4163,1018	2.38	-0.54,-159.63,367.57	1.48,-159.32,368.78	1
278662	11	17,25	4979,1199	3.22	-0.78,-67.57,485.92	1.4,-66.05,487.73	1
281527	8	12,20	4769,2195	2.79	-0.62,56.87,270.97	2.18,56.83,270.98	1
282204	15	16,20	9025,1662	2.29	1.45,143.52,315.53	-0.51,142.44,315.97	1
292450	18	21,27	2132,1600	3.06	-0.7,117.24,411.52	1.95,117.02,413.03	1
315497	14	16,24	6203,1173	3.28	1.32,194.36,257.18	-1.01,196.65,257.47	1
315849	9	15,24	4519,376	3.56	-0.7,-175.57,449.17	2.58,-174.91,450.38	1
391766	13	17,26	3900,3222	3.81	1.8,-141.66,90.98	-1.8,-140.58,90.37	1
392354	12	15,21	14926,1347	2.36	-0.63,-156.0,237.07	1.57,-155.25,236.63	1
399702	26	36,38	34588,18859	2.00	-0.49,74.46,471.22	1.43,74.93,471.53	1
406752	17	18,22	7465,626	3.52	-0.61,161.58,415.42	2.17,162.75,417.23	1
406796	11	9,17	748,316	3.65	-1.94,-157.03,112.87	1.31,-155.78,113.93	1
