event	shower	seg	cls	q	length	pdg
21073	60081	28020	UNREACHED	25415.2	0.314	11
21073	60081	29021	UNREACHED	35455.3	1.853	11
21073	60081	31023	UNREACHED	84077.5	1.684	11
21073	60081	31024	UNREACHED	108099.5	2.58	13
21073	60081	33026	UNREACHED	180253.3	2.581	11
21073	60081	34027	UNREACHED	38659.3	0.617	11
21073	60081	47040	UNREACHED	31696.0	0.157	11
21073	60081	52045	UNREACHED	44785.7	0.35	11
21073	60081	57049	UNREACHED	661575.6	15.871	11
21073	60081	64108	UNREACHED	119333.5	1.351	11
21073	60081	64109	UNREACHED	231387.9	3.772	13
105946	55063	32006	UNREACHED	49194.6	0.325	11
105946	55063	35009	UNREACHED	45144.4	0.453	13
105946	55063	38012	UNREACHED	140783.1	1.353	11
105946	55063	53029	UNREACHED	722260.8	14.124	11
105946	55063	53030	UNREACHED	257026.1	9.219	11
105946	55063	53031	UNREACHED	210598.0	3.21	11
105946	55063	54032	UNREACHED	152006.2	4.212	11
105946	56056	39013	UNREACHED	142836.3	2.043	11
122660	9110	30032	UNREACHED	220058.1	3.092	11
122660	9110	36038	UNREACHED	202007.9	2.792	13
122660	9110	39041	UNREACHED	84103.1	0.457	2212
122660	9110	47049	UNREACHED	1456027.0	12.693	13
122660	9110	47050	UNREACHED	513138.1	10.816	11
122660	9110	53068	UNREACHED	640648.0	8.504	13
122660	9110	53069	UNREACHED	414478.8	5.547	11
122660	9110	53070	UNREACHED	371275.5	6.606	11
122660	9110	54071	UNREACHED	1275237.1	13.809	13
122660	9110	55073	UNREACHED	1155005.4	13.16	13
122660	9110	60104	UNREACHED	390676.0	2.644	2212
181050	15006	54014	UNREACHED	58953.2	0.254	13
181050	15006	57017	UNREACHED	29956.4	0.422	11
181050	15006	58018	UNREACHED	89284.8	0.529	2212
181050	15006	61021	UNREACHED	272169.8	4.076	11
181050	15006	68031	UNREACHED	299605.2	5.422	11
181050	15006	68032	UNREACHED	90657.3	6.329	11
181050	15006	68034	UNREACHED	130079.4	5.62	13
181050	15006	69039	UNREACHED	827239.0	13.369	11
342199	25109	74101	UNREACHED	116378.7	1.424	11
342199	25109	74106	UNREACHED	932179.4	7.846	2212
342199	25109	74107	UNREACHED	290932.1	3.945	211
463565	13001	48040	UNREACHED	27705.9	0.277	13
463565	13001	49041	UNREACHED	39063.0	0.322	13
463565	13001	50042	UNREACHED	38894.2	0.683	11
463565	13001	51043	UNREACHED	26750.3	0.355	13
463565	13001	59051	UNREACHED	125008.9	2.25	11
463565	13001	72064	UNREACHED	271839.7	4.121	11
463565	13001	73065	UNREACHED	74181.2	0.962	11
463565	13001	75067	UNREACHED	199048.5	3.732	11
463565	13001	109073	UNREACHED	558621.1	9.998	11
463565	13001	109074	UNREACHED	408865.9	5.98	11
463565	13001	110075	UNREACHED	183178.5	3.408	11
463565	13001	111079	UNREACHED	515923.3	6.149	11
463565	13001	112080	UNREACHED	124114.0	1.402	13
463565	13001	113081	UNREACHED	42806.4	0.336	13
463565	13001	114084	UNREACHED	151690.8	1.169	13
463565	13001	114086	UNREACHED	292455.5	4.611	11
463565	13001	115088	UNREACHED	732470.2	8.952	11
463565	13001	115090	UNREACHED	171384.6	4.554	11
463565	13001	115092	UNREACHED	73442.3	3.423	11
463565	13001	115094	UNREACHED	31916.8	3.183	11
463565	13001	115099	UNREACHED	353856.3	4.619	11
463565	13001	115100	UNREACHED	944192.4	13.206	11
463565	13001	115101	UNREACHED	185032.3	12.711	11
463565	13001	115102	UNREACHED	225739.0	4.864	11
463565	13001	115103	UNREACHED	417500.1	7.203	11
463565	13001	115106	UNREACHED	519785.0	10.579	11
469665	15003	32007	UNREACHED	23124.8	0.208	11
469665	15003	35010	UNREACHED	26919.5	0.241	13
469665	15003	37012	UNREACHED	17942.1	0.76	13
469665	15003	62073	UNREACHED	391486.5	7.8	11
469665	15003	62074	UNREACHED	21307.4	0.594	11
469665	15003	66042	UNREACHED	369011.3	3.357	11
469665	15003	66047	UNREACHED	190619.5	3.157	11
469665	15003	66048	UNREACHED	327944.4	4.444	13
469665	15003	68052	UNREACHED	329554.0	4.435	11
469665	15003	68053	UNREACHED	212961.0	1.933	11
469665	15003	68059	UNREACHED	168053.7	4.942	11
