evt	sample	CP24_best_dl	CP24_top1	CP24_admit5	CP24_admit10	CP24_target_rank	CP24_target_dl	ft2u_best_dl	ft2u_top1	ft2u_admit5	ft2u_admit10	ft2u_target_rank	ft2u_target_dl
55627	mcp1k	0.0902898907661438	1	1	1	0	0.0902898907661438	0.10899406671524048	1	1	1	0	0.10899406671524048
55715	mcp1k	0.9260793924331665	1	1	1	0	0.9260793924331665	0.9074546694755554	1	1	1	0	0.9074546694755554
55740	mcp2k	0.9357889890670776	1	1	1	0	0.9357889890670776	0.9284491539001465	1	1	1	0	0.9284491539001465
56180	mcp2k	0.00938636064529419	1	1	1	0	0.00938636064529419	0.016022026538848877	1	1	1	0	0.016022026538848877
56211	mcp1k	0.005052924156188965	0	0	1	6	0.001851797103881836	0.010022759437561035	0	0	1	6	0.006904661655426025
56243	mcp1k	0.934577226638794	1	1	1	0	0.934577226638794	0.9378721117973328	1	1	1	0	0.9378721117973328
56463	mcp1k	0.8497744202613831	1	1	1	0	0.8497744202613831	0.847554087638855	1	1	1	0	0.847554087638855
56763	mcp2k	0.0053980350494384766	0	0	1	9	0.0026178956031799316	0.010367810726165771	0	0	1	9	0.007776916027069092
56939	mcp2k	0.21394872665405273	1	1	1	0	0.21394872665405273	0.2474374771118164	1	1	1	0	0.2474374771118164
56972	mcp2k	0.005786597728729248	0	0	1	6	0.003747999668121338	0.010940730571746826	0	0	1	6	0.008992373943328857
56982	ncpi0	0.02895599603652954	0	0	0	-1	-9	0.04153329133987427	0	0	0	-1	-9
57280	mcp2k	0.005471765995025635	0	0	0	-1	-9	0.010442614555358887	0	0	0	-1	-9
57441	mcp1k	0.005360603332519531	0	0	1	9	0.0031892061233520508	0.01032942533493042	0	0	1	8	0.008404731750488281
57485	mcp1k	0.9476110339164734	1	1	1	0	0.9476110339164734	0.9406440854072571	1	1	1	0	0.9406440854072571
57575	mcp1k	0.007974982261657715	1	1	1	0	0.007974982261657715	0.01438915729522705	1	1	1	0	0.01438915729522705
57577	mcp2k	0.7327161431312561	1	1	1	0	0.7327161431312561	0.7692281603813171	1	1	1	0	0.7692281603813171
57661	mcp1k	0.08952343463897705	1	1	1	0	0.08952343463897705	0.11047422885894775	1	1	1	0	0.11047422885894775
57709	mcp2k	0.005428135395050049	0	0	0	-1	-9	0.010398447513580322	0	0	0	-1	-9
57742	mcp2k	0.766507089138031	1	1	1	0	0.766507089138031	0.7911413908004761	1	1	1	0	0.7911413908004761
57883	mcp1k	0.8371348977088928	1	1	1	0	0.8371348977088928	0.890459418296814	1	1	1	0	0.890459418296814
57903	mcp1k	0.00533682107925415	0	1	1	3	0.003466308116912842	0.01030510663986206	0	1	1	3	0.008509278297424316
58072	mcp2k	0.0057419538497924805	1	1	1	0	0.0057419538497924805	0.011056900024414062	1	1	1	0	0.011056900024414062
58321	mcp1k	0.9447653293609619	1	1	1	0	0.9447653293609619	0.9424213171005249	1	1	1	0	0.9424213171005249
58325	mcp2k	0.00548022985458374	0	0	0	-1	-9	0.010643720626831055	0	0	0	-1	-9
58345	mcp1k	0.005479097366333008	0	1	1	4	0.003368675708770752	0.010449886322021484	0	1	1	4	0.00839221477508545
58607	mcp1k	0.005419135093688965	0	0	0	-1	-9	0.010389208793640137	0	0	0	-1	-9
58653	mcp1k	0.0053765177726745605	0	1	1	2	0.004564821720123291	0.010345816612243652	0	1	1	2	0.009806931018829346
58717	mcp1k	0.007895350456237793	0	1	1	2	0.005768239498138428	0.012902975082397461	0	1	1	2	0.012047052383422852
58919	mcp2k	0.005487322807312012	0	0	0	-1	-9	0.010458230972290039	0	0	0	-1	-9
59003	mcp1k	0.013580024242401123	1	1	1	0	0.013580024242401123	0.020544767379760742	1	1	1	0	0.020544767379760742
59025	mcp1k	0.9986814856529236	1	1	1	0	0.9986814856529236	0.9989666938781738	1	1	1	0	0.9989666938781738
59085	mcp1k	0.005490422248840332	0	0	0	-1	-9	0.010577499866485596	0	0	0	-1	-9
59093	mcp1k	0.0054724812507629395	0	0	1	7	0.0036221742630004883	0.01044321060180664	0	0	1	7	0.008592605590820312
59179	mcp1k	0.829996645450592	1	1	1	0	0.829996645450592	0.8443942666053772	1	1	1	0	0.8443942666053772
59261	mcp1k	0.01075589656829834	0	0	0	-1	-9	0.017797470092773438	0	0	0	-1	-9
59335	mcp1k	0.16361790895462036	1	1	1	0	0.16361790895462036	0.1746193766593933	1	1	1	0	0.1746193766593933
59371	mcp1k	0.9999841451644897	1	1	1	0	0.9999841451644897	0.9999775290489197	1	1	1	0	0.9999775290489197
59553	mcp1k	0.005421459674835205	0	0	0	-1	-9	0.010391592979431152	0	0	0	-1	-9
59685	mcp1k	0.5830684900283813	1	1	1	0	0.5830684900283813	0.5758154392242432	1	1	1	0	0.5758154392242432
59899	mcp1k	0.013349056243896484	1	1	1	0	0.013349056243896484	0.018559694290161133	1	1	1	0	0.018559694290161133
59929	mcp1k	0.005324184894561768	0	0	1	6	0.003882169723510742	0.010292291641235352	0	0	1	7	0.008910596370697021
60017	mcp1k	0.00499272346496582	0	1	1	4	0.0005166530609130859	0.009962201118469238	0	1	1	4	0.005647242069244385
60669	mcp1k	0.9810506701469421	1	1	1	0	0.9810506701469421	0.9816696047782898	1	1	1	0	0.9816696047782898
60933	mcp1k	0.982650101184845	1	1	1	0	0.982650101184845	0.9845066666603088	1	1	1	0	0.9845066666603088
61351	mcp1k	0.00528794527053833	0	1	1	2	0.003961741924285889	0.010255038738250732	0	1	1	2	0.009617090225219727
61417	mcp1k	0.9978067874908447	1	1	1	0	0.9978067874908447	0.9978641271591187	1	1	1	0	0.9978641271591187
61461	mcp1k	0.5330421328544617	1	1	1	0	0.5330421328544617	0.5413892269134521	1	1	1	0	0.5413892269134521
61681	mcp1k	0.04929840564727783	1	1	1	0	0.04929840564727783	0.06068885326385498	1	1	1	0	0.06068885326385498
61843	mcp1k	0.005400419235229492	0	0	0	-1	-9	0.010370254516601562	0	0	0	-1	-9
62149	mcp1k	0.8297573924064636	1	1	1	0	0.8297573924064636	0.8148064017295837	1	1	1	0	0.8148064017295837
62281	mcp1k	0.005359053611755371	0	1	1	1	0.004595398902893066	0.01032787561416626	0	1	1	1	0.009979248046875
62459	mcp1k	0.8651614189147949	1	1	1	0	0.8651614189147949	0.8413655757904053	1	1	1	0	0.8413655757904053
62495	mcp1k	0.7490177154541016	1	1	1	0	0.7490177154541016	0.7705408334732056	1	1	1	0	0.7705408334732056
62613	mcp1k	0.005453050136566162	0	1	1	3	0.005342066287994385	0.010423898696899414	0	1	1	4	0.010310471057891846
62721	mcp1k	0.005395472049713135	0	0	0	-1	-9	0.010365128517150879	0	0	0	-1	-9
63163	mcp1k	0.10148745775222778	1	1	1	0	0.10148745775222778	0.10633403062820435	1	1	1	0	0.10633403062820435
63359	mcp1k	0.005432844161987305	0	0	0	-1	-9	0.010403275489807129	0	0	0	-1	-9
63427	mcp1k	0.03686481714248657	1	1	1	0	0.03686481714248657	0.0447077751159668	1	1	1	0	0.0447077751159668
63551	mcp1k	0.005303621292114258	0	0	1	7	0.0026100873947143555	0.010271191596984863	0	0	1	7	0.007642626762390137
63559	mcp1k	0.0054705142974853516	0	0	0	-1	-9	0.010441362857818604	0	0	0	-1	-9
63603	mcp1k	0.999997079372406	1	1	1	0	0.999997079372406	0.9999986886978149	1	1	1	0	0.9999986886978149
63669	mcp1k	0.0054669976234436035	0	0	0	-1	-9	0.010438084602355957	0	0	0	-1	-9
64409	mcp1k	0.6924008131027222	1	1	1	0	0.6924008131027222	0.6921157240867615	1	1	1	0	0.6921157240867615
64591	mcp1k	0.011086523532867432	1	1	1	0	0.011086523532867432	0.016687631607055664	1	1	1	0	0.016687631607055664
64717	mcp1k	0.0054779052734375	0	0	1	9	0.003271639347076416	0.010448753833770752	0	0	1	9	0.008513033390045166
64921	mcp1k	0.586685061454773	1	1	1	0	0.586685061454773	0.6341955661773682	1	1	1	0	0.6341955661773682
64959	mcp1k	0.0074582695960998535	0	1	1	2	0.004532873630523682	0.012744784355163574	0	1	1	2	0.009486258029937744
65025	mcp1k	0.0036844611167907715	1	1	1	0	0.0036844611167907715	0.008856415748596191	1	1	1	0	0.008856415748596191
65053	mcp1k	0.005297839641571045	0	0	0	-1	-9	0.010264933109283447	0	0	0	-1	-9
65266	mcp2k	0.0091094970703125	0	0	0	-1	-9	0.016632437705993652	0	0	0	-1	-9
65267	mcp1k	0.005471765995025635	0	0	0	-1	-9	0.010442554950714111	0	0	0	-1	-9
65289	mcp1k	0.9999066591262817	0	0	1	5	0.23480308055877686	0.9999552965164185	0	0	1	5	0.2588621973991394
65295	mcp1k	0.005478501319885254	0	1	1	1	0.0046651363372802734	0.010449349880218506	0	1	1	1	0.010234832763671875
66118	mcp1k	0.005431413650512695	0	1	1	3	0.002699434757232666	0.010401785373687744	0	1	1	2	0.00787353515625
66272	mcp1k	0.004758358001708984	0	0	0	-1	-9	0.009814679622650146	0	0	0	-1	-9
66278	mcp2k	0.0054585933685302734	0	1	1	4	0.0038563013076782227	0.0104295015335083	0	1	1	3	0.009667396545410156
66366	mcp2k	0.07880932092666626	1	1	1	0	0.07880932092666626	0.12949377298355103	1	1	1	0	0.12949377298355103
66646	mcp1k	0.004957079887390137	0	0	1	7	0.0010233521461486816	0.009925305843353271	0	0	1	7	0.006019413471221924
66652	mcp2k	0.9995670914649963	1	1	1	0	0.9995670914649963	0.9997643232345581	1	1	1	0	0.9997643232345581
66712	mcp1k	0.8358636498451233	0	1	1	4	0.0739525556564331	0.8841847777366638	0	1	1	3	0.09936404228210449
66872	mcp2k	0.005368709564208984	0	0	0	-1	-9	0.0103377103805542	0	0	0	-1	-9
66900	mcp2k	0.6893507242202759	1	1	1	0	0.6893507242202759	0.6385722756385803	1	1	1	0	0.6385722756385803
66944	mcp2k	0.006327569484710693	0	0	0	-1	-9	0.01179736852645874	0	0	0	-1	-9
67026	mcp2k	0.9999994039535522	1	1	1	0	0.9999994039535522	0.9999995827674866	1	1	1	0	0.9999995827674866
67394	mcp1k	0.9441469311714172	1	1	1	0	0.9441469311714172	0.9488089084625244	1	1	1	0	0.9488089084625244
67746	mcp1k	0.015414059162139893	1	1	1	0	0.015414059162139893	0.02560293674468994	1	1	1	0	0.02560293674468994
67868	mcp2k	0.1162947416305542	1	1	1	0	0.1162947416305542	0.18432778120040894	1	1	1	0	0.18432778120040894
67898	mcp2k	0.07682496309280396	1	1	1	0	0.07682496309280396	0.1231737732887268	1	1	1	0	0.1231737732887268
67928	mcp2k	0.59735506772995	1	1	1	0	0.59735506772995	0.6179566979408264	1	1	1	0	0.6179566979408264
67942	mcp2k	0.003581702709197998	0	1	1	1	0.003184020519256592	0.00876474380493164	0	1	1	1	0.008295416831970215
68280	mcp2k	0.005404531955718994	0	0	1	9	0.004014015197753906	0.01050424575805664	0	0	1	9	0.008999109268188477
68308	mcp2k	0.999998927116394	1	1	1	0	0.999998927116394	0.9999988675117493	1	1	1	0	0.9999988675117493
68648	mcp1k	0.00528794527053833	0	1	1	2	0.004213154315948486	0.010254979133605957	0	1	1	2	0.009380102157592773
68714	mcp1k	0.01667100191116333	1	1	1	0	0.01667100191116333	0.02569413185119629	1	1	1	0	0.02569413185119629
68748	mcp2k	0.027531802654266357	1	1	1	0	0.027531802654266357	0.033677875995635986	1	1	1	0	0.033677875995635986
68978	mcp1k	0.005367398262023926	0	1	1	1	0.005321383476257324	0.010655343532562256	1	1	1	0	0.010655343532562256
69006	mcp2k	0.027927398681640625	1	1	1	0	0.027927398681640625	0.03954637050628662	1	1	1	0	0.03954637050628662
69144	mcp2k	0.9967066645622253	1	1	1	0	0.9967066645622253	0.9951496124267578	1	1	1	0	0.9951496124267578
69152	mcp2k	0.0671120285987854	1	1	1	0	0.0671120285987854	0.08975785970687866	1	1	1	0	0.08975785970687866
69232	mcp2k	0.006527423858642578	0	0	0	-1	-9	0.011692404747009277	0	0	0	-1	-9
69254	mcp2k	0.005477607250213623	0	0	0	-1	-9	0.010448455810546875	0	0	0	-1	-9
69306	mcp2k	0.005572974681854248	0	0	0	-1	-9	0.01062244176864624	0	0	0	-1	-9
69314	nuecc48	0.9260767102241516	1	1	1	0	0.9260767102241516	0.9640958905220032	1	1	1	0	0.9640958905220032
69666	mcp2k	1.0	0	1	1	3	0.9778019785881042	1.0	0	1	1	3	0.982573926448822
69936	mcp2k	0.005391299724578857	0	1	1	4	0.003890514373779297	0.010360896587371826	0	1	1	4	0.008970379829406738
70010	mcp2k	0.004817843437194824	1	1	1	0	0.004817843437194824	0.009864389896392822	1	1	1	0	0.009864389896392822
70084	mcp2k	0.3827359974384308	1	1	1	0	0.3827359974384308	0.4569786787033081	1	1	1	0	0.4569786787033081
70178	mcp2k	0.47564220428466797	1	1	1	0	0.47564220428466797	0.5853334665298462	1	1	1	0	0.5853334665298462
70186	mcp2k	0.18224915862083435	1	1	1	0	0.18224915862083435	0.22034525871276855	1	1	1	0	0.22034525871276855
70538	mcp2k	0.004800617694854736	0	1	1	1	0.00438237190246582	0.009910762310028076	0	1	1	1	0.009478986263275146
70612	mcp2k	0.005434811115264893	0	0	0	-1	-9	0.010405242443084717	0	0	0	-1	-9
70692	mcp2k	0.6414097547531128	1	1	1	0	0.6414097547531128	0.6513628959655762	1	1	1	0	0.6513628959655762
70766	mcp2k	0.005531251430511475	0	0	1	8	0.0040749311447143555	0.010830044746398926	0	0	1	6	0.009244084358215332
70912	mcp2k	0.7803807854652405	1	1	1	0	0.7803807854652405	0.7862985134124756	1	1	1	0	0.7862985134124756
71022	mcp2k	0.012287735939025879	1	1	1	0	0.012287735939025879	0.02289891242980957	1	1	1	0	0.02289891242980957
71046	mcp1k	0.006201505661010742	1	1	1	0	0.006201505661010742	0.013467967510223389	1	1	1	0	0.013467967510223389
71092	mcp2k	0.005388021469116211	0	0	0	-1	-9	0.010991334915161133	0	0	0	-1	-9
71178	mcp1k	0.0054860711097717285	0	0	0	-1	-9	0.010456979274749756	0	0	1	9	0.008891522884368896
71222	mcp1k	0.4654960036277771	1	1	1	0	0.4654960036277771	0.4341813325881958	1	1	1	0	0.4341813325881958
71266	mcp1k	0.002553880214691162	0	0	1	9	0.0008083581924438477	0.0078032612800598145	0	0	1	9	0.00591123104095459
71372	ncpi0	0.9999654293060303	1	1	1	0	0.9999654293060303	0.9999616742134094	1	1	1	0	0.9999616742134094
71640	mcp1k	0.005420207977294922	0	0	0	-1	-9	0.010390400886535645	0	0	0	-1	-9
71748	mcp2k	0.03477740287780762	1	1	1	0	0.03477740287780762	0.04559922218322754	1	1	1	0	0.04559922218322754
71778	mcp2k	0.006937503814697266	1	1	1	0	0.006937503814697266	0.01356494426727295	1	1	1	0	0.01356494426727295
71872	mcp2k	0.19336989521980286	1	1	1	0	0.19336989521980286	0.23366358876228333	1	1	1	0	0.23366358876228333
72055	mcp2k	0.9399346113204956	1	1	1	0	0.9399346113204956	0.9487711191177368	1	1	1	0	0.9487711191177368
72099	mcp2k	0.0053743720054626465	0	0	1	5	0.004533588886260986	0.010343670845031738	0	0	1	6	0.009644627571105957
72170	mcp2k	0.18555361032485962	1	1	1	0	0.18555361032485962	0.29278531670570374	1	1	1	0	0.29278531670570374
72174	mcp2k	0.04263538122177124	1	1	1	0	0.04263538122177124	0.053568124771118164	1	1	1	0	0.053568124771118164
72256	mcp1k	0.005470097064971924	0	0	1	8	0.0008335113525390625	0.010440945625305176	0	0	1	5	0.006634950637817383
72586	mcp1k	0.08854418992996216	0	0	0	-1	-9	0.1044740080833435	0	0	0	-1	-9
72742	mcp2k	0.005290806293487549	0	0	1	6	0.0006519556045532227	0.010257899761199951	0	0	1	6	0.0056648850440979
72759	mcp2k	0.43278998136520386	0	1	1	1	0.329026997089386	0.45870304107666016	0	1	1	1	0.4493139386177063
72840	mcp2k	0.2359791398048401	1	1	1	0	0.2359791398048401	0.28171953558921814	1	1	1	0	0.28171953558921814
72940	mcp2k	0.9027149677276611	1	1	1	0	0.9027149677276611	0.9177970290184021	1	1	1	0	0.9177970290184021
73004	mcp1k	0.04940265417098999	1	1	1	0	0.04940265417098999	0.0609707236289978	1	1	1	0	0.0609707236289978
73336	mcp2k	0.6012693643569946	1	1	1	0	0.6012693643569946	0.6902366280555725	1	1	1	0	0.6902366280555725
73412	mcp2k	0.011011183261871338	0	1	1	1	0.009508311748504639	0.020550847053527832	0	1	1	1	0.018137693405151367
73688	mcp2k	0.7023329734802246	0	0	0	-1	-9	0.6774328947067261	0	0	0	-1	-9
73698	mcp2k	0.181086003780365	1	1	1	0	0.181086003780365	0.2064310908317566	1	1	1	0	0.2064310908317566
73838	mcp2k	0.48816922307014465	1	1	1	0	0.48816922307014465	0.4850652813911438	1	1	1	0	0.4850652813911438
74146	mcp2k	0.09746825695037842	0	0	0	-1	-9	0.13046109676361084	0	0	0	-1	-9
74270	mcp2k	0.00532764196395874	0	1	1	3	0.0027907490730285645	0.0102958083152771	0	1	1	3	0.00784987211227417
74326	mcp2k	1.0	1	1	1	0	1.0	1.0	1	1	1	0	1.0
74336	mcp2k	0.09773409366607666	1	1	1	0	0.09773409366607666	0.1255251169204712	1	1	1	0	0.1255251169204712
74380	mcp2k	0.005070924758911133	0	1	1	3	0.0029861927032470703	0.010041475296020508	0	1	1	3	0.00806349515914917
74544	nuecc48	0.9505849480628967	1	1	1	0	0.9505849480628967	0.9574408531188965	1	1	1	0	0.9574408531188965
75040	mcp2k	0.0043929219245910645	1	1	1	0	0.0043929219245910645	0.009562313556671143	1	1	1	0	0.009562313556671143
75135	mcp2k	0.7609992623329163	1	1	1	0	0.7609992623329163	0.7692385911941528	1	1	1	0	0.7692385911941528
75206	mcp2k	0.9945297837257385	1	1	1	0	0.9945297837257385	0.992432177066803	1	1	1	0	0.992432177066803
75316	mcp2k	0.005356431007385254	0	0	0	-1	-9	0.010369420051574707	0	0	0	-1	-9
75377	mcp2k	0.9623154997825623	1	1	1	0	0.9623154997825623	0.9664881229400635	1	1	1	0	0.9664881229400635
75554	mcp2k	0.005469918251037598	0	0	0	-1	-9	0.01044076681137085	0	0	0	-1	-9
75678	mcp2k	0.005439698696136475	0	0	1	5	0.002986907958984375	0.010410308837890625	0	0	1	6	0.007934808731079102
75700	mcp2k	0.9423618912696838	1	1	1	0	0.9423618912696838	0.9345478415489197	1	1	1	0	0.9345478415489197
75729	mcp2k	0.011840462684631348	0	0	0	-1	-9	0.018473267555236816	0	0	0	-1	-9
75862	mcp2k	0.6499677896499634	1	1	1	0	0.6499677896499634	0.6602916717529297	1	1	1	0	0.6602916717529297
75954	mcp2k	0.04814565181732178	1	1	1	0	0.04814565181732178	0.06201648712158203	1	1	1	0	0.06201648712158203
76038	mcp2k	0.8504924178123474	1	1	1	0	0.8504924178123474	0.8530392646789551	1	1	1	0	0.8530392646789551
76059	mcp2k	0.044906795024871826	1	1	1	0	0.044906795024871826	0.060831308364868164	1	1	1	0	0.060831308364868164
76250	mcp2k	0.35446131229400635	1	1	1	0	0.35446131229400635	0.39498043060302734	1	1	1	0	0.39498043060302734
76280	mcp2k	0.049320876598358154	1	1	1	0	0.049320876598358154	0.05925321578979492	1	1	1	0	0.05925321578979492
76346	mcp2k	0.005506694316864014	0	0	1	5	0.004122138023376465	0.01059657335281372	0	1	1	4	0.009304821491241455
76350	mcp2k	0.0061637163162231445	0	0	0	-1	-9	0.01145869493484497	0	0	0	-1	-9
76866	mcp2k	0.004738807678222656	0	0	0	-1	-9	0.009888112545013428	0	0	0	-1	-9
76888	mcp2k	0.9230608940124512	1	1	1	0	0.9230608940124512	0.9259740114212036	1	1	1	0	0.9259740114212036
76998	mcp2k	0.005390524864196777	0	0	0	-1	-9	0.01036006212234497	0	0	0	-1	-9
77328	mcp2k	0.47985145449638367	1	1	1	0	0.47985145449638367	0.5149272680282593	1	1	1	0	0.5149272680282593
77702	mcp2k	0.07130980491638184	1	1	1	0	0.07130980491638184	0.09316080808639526	1	1	1	0	0.09316080808639526
77846	mcp2k	0.05956953763961792	1	1	1	0	0.05956953763961792	0.07578229904174805	1	1	1	0	0.07578229904174805
77878	mcp2k	0.9983176589012146	0	0	1	7	0.8667765855789185	0.9979669451713562	0	0	1	7	0.8656191825866699
77978	mcp2k	0.7225674390792847	1	1	1	0	0.7225674390792847	0.7484277486801147	1	1	1	0	0.7484277486801147
78242	mcp2k	0.9370269775390625	1	1	1	0	0.9370269775390625	0.9477864503860474	1	1	1	0	0.9477864503860474
79491	mcp2k	0.8549070358276367	1	1	1	0	0.8549070358276367	0.8681036233901978	1	1	1	0	0.8681036233901978
79616	mcp2k	0.004682064056396484	0	1	1	1	0.003968238830566406	0.009772241115570068	0	1	1	2	0.008936703205108643
81420	mcp2k	0.997749924659729	1	1	1	0	0.997749924659729	0.9985917806625366	1	1	1	0	0.9985917806625366
81597	nuecc48	0.9999747276306152	1	1	1	0	0.9999747276306152	0.999954879283905	1	1	1	0	0.999954879283905
84229	ncpi0	0.015535950660705566	0	1	1	2	0.006948709487915039	0.020114600658416748	0	1	1	2	0.013842225074768066
90055	nuecc48	0.9710356593132019	1	1	1	0	0.9710356593132019	0.9664251208305359	1	1	1	0	0.9664251208305359
90135	mcp2k	0.005409359931945801	0	0	0	-1	-9	0.010379314422607422	0	0	0	-1	-9
90179	mcp2k	0.005347609519958496	0	0	0	-1	-9	0.010316133499145508	0	0	0	-1	-9
