evt	sample	CP24_best_dl	CP24_top1	CP24_admit5	CP24_admit10	CP24_target_rank	CP24_target_dl	ft2u_best_dl	ft2u_top1	ft2u_admit5	ft2u_admit10	ft2u_target_rank	ft2u_target_dl
388	nuecc48	1.0	1	1	1	0	1.0	1.0	1	1	1	0	1.0
10550	nuecc48	0.01796889305114746	0	0	1	8	0.005268871784210205	0.028014004230499268	0	0	1	6	0.010377585887908936
18625	ncpi0	0.7420549988746643	1	1	1	0	0.7420549988746643	0.7459216713905334	1	1	1	0	0.7459216713905334
21073	ncpi0	0.5634920001029968	1	1	1	0	0.5634920001029968	0.6390584707260132	1	1	1	0	0.6390584707260132
30504	nuecc48	0.005914747714996338	0	0	0	-1	-9	0.010898888111114502	0	0	0	-1	-9
37112	ncpi0	0.8199920654296875	1	1	1	0	0.8199920654296875	0.9003351926803589	1	1	1	0	0.9003351926803589
38856	nuecc48	0.008638620376586914	0	0	0	-1	-9	0.012694835662841797	0	0	0	-1	-9
42280	nuecc48	0.19515612721443176	1	1	1	0	0.19515612721443176	0.2226298749446869	1	1	1	0	0.2226298749446869
46363	nuecc48	0.009811341762542725	0	1	1	3	0.007336974143981934	0.016714632511138916	0	1	1	3	0.013283014297485352
47058	mcp2k	0.036457180976867676	1	1	1	0	0.036457180976867676	0.04741770029067993	1	1	1	0	0.04741770029067993
47278	mcp2k	0.009267330169677734	1	1	1	0	0.009267330169677734	0.01760488748550415	1	1	1	0	0.01760488748550415
47784	mcp2k	0.9987973570823669	1	1	1	0	0.9987973570823669	0.999517023563385	1	1	1	0	0.999517023563385
47916	mcp2k	0.5842742323875427	1	1	1	0	0.5842742323875427	0.5827983617782593	1	1	1	0	0.5827983617782593
48367	mcp1k	0.025152206420898438	0	0	0	-1	-9	0.0311964750289917	0	0	0	-1	-9
48488	mcp2k	0.060959815979003906	1	1	1	0	0.060959815979003906	0.07651698589324951	1	1	1	0	0.07651698589324951
48774	mcp2k	0.011971831321716309	1	1	1	0	0.011971831321716309	0.022578716278076172	1	1	1	0	0.022578716278076172
48895	mcp1k	0.0054541826248168945	0	0	1	5	0.005204617977142334	0.010531842708587646	1	1	1	0	0.010531842708587646
49742	mcp2k	0.005264639854431152	0	1	1	3	0.004081606864929199	0.010231554508209229	0	1	1	3	0.009238600730895996
49951	mcp1k	0.993261456489563	1	1	1	0	0.993261456489563	0.9932922720909119	1	1	1	0	0.9932922720909119
50182	mcp2k	0.018877089023590088	1	1	1	0	0.018877089023590088	0.029528319835662842	1	1	1	0	0.029528319835662842
50303	mcp1k	0.005474984645843506	0	0	0	-1	-9	0.010445833206176758	0	0	0	-1	-9
50831	mcp1k	0.011102139949798584	0	0	0	-1	-9	0.018440544605255127	0	0	0	-1	-9
51051	mcp1k	0.00536876916885376	0	0	0	-1	-9	0.010337769985198975	0	0	0	-1	-9
51128	mcp2k	0.005495786666870117	0	0	0	-1	-9	0.010466814041137695	0	0	0	-1	-9
51219	mcp2k	0.9932757019996643	1	1	1	0	0.9932757019996643	0.9944702982902527	1	1	1	0	0.9944702982902527
51513	mcp1k	0.005762636661529541	1	1	1	0	0.005762636661529541	0.011114954948425293	1	1	1	0	0.011114954948425293
51546	mcp2k	0.005504965782165527	0	0	0	-1	-9	0.01047605276107788	0	0	0	-1	-9
51868	mcp2k	0.005315721035003662	0	0	0	-1	-9	0.010283410549163818	0	0	0	-1	-9
51890	mcp2k	0.9999905228614807	1	1	1	0	0.9999905228614807	0.9999815225601196	1	1	1	0	0.9999815225601196
51964	mcp2k	0.8415225744247437	1	1	1	0	0.8415225744247437	0.8595660328865051	1	1	1	0	0.8595660328865051
52044	mcp2k	0.5991137027740479	1	1	1	0	0.5991137027740479	0.602491557598114	1	1	1	0	0.602491557598114
52085	mcp1k	0.007970809936523438	1	1	1	0	0.007970809936523438	0.014097213745117188	1	1	1	0	0.014097213745117188
52605	mcp2k	0.004980862140655518	0	1	1	1	0.004371285438537598	0.010090291500091553	0	1	1	1	0.009321093559265137
52657	mcp1k	0.005532801151275635	0	1	1	4	0.0044133663177490234	0.010717809200286865	0	1	1	4	0.009521126747131348
52672	nuecc48	0.007789790630340576	0	0	0	-1	-9	0.013233006000518799	0	0	0	-1	-9
52693	mcp2k	0.005824685096740723	0	0	0	-1	-9	0.01088416576385498	0	0	0	-1	-9
52723	mcp1k	0.674730658531189	1	1	1	0	0.674730658531189	0.692241907119751	1	1	1	0	0.692241907119751
52759	mcp2k	0.005404412746429443	0	1	1	3	0.004363358020782471	0.01048344373703003	1	1	1	0	0.01048344373703003
53130	mcp2k	0.048426926136016846	1	1	1	0	0.048426926136016846	0.06680858135223389	1	1	1	0	0.06680858135223389
53361	mcp1k	0.005465865135192871	0	0	1	6	0.0030941367149353027	0.01043689250946045	0	0	1	5	0.008255839347839355
53427	mcp1k	0.00826352834701538	1	1	1	0	0.00826352834701538	0.015880882740020752	1	1	1	0	0.015880882740020752
53658	mcp2k	0.0056362152099609375	0	0	0	-1	-9	0.011199116706848145	0	0	0	-1	-9
53793	mcp2k	0.9998693466186523	1	1	1	0	0.9998693466186523	0.9998863935470581	1	1	1	0	0.9998863935470581
53881	mcp2k	0.011443257331848145	1	1	1	0	0.011443257331848145	0.018251001834869385	1	1	1	0	0.018251001834869385
54095	nuecc48	1.0	1	1	1	0	1.0	1.0	1	1	1	0	1.0
54341	mcp1k	0.9272270798683167	1	1	1	0	0.9272270798683167	0.928214967250824	1	1	1	0	0.928214967250824
54351	mcp1k	0.18472370505332947	1	1	1	0	0.18472370505332947	0.2129041850566864	1	1	1	0	0.2129041850566864
54508	mcp2k	0.005409538745880127	0	0	1	9	0.0023121237754821777	0.010379552841186523	0	0	1	9	0.007298529148101807
54629	mcp2k	0.005406677722930908	0	0	0	-1	-9	0.01037663221359253	0	0	0	-1	-9
55278	mcp2k	0.7771104574203491	1	1	1	0	0.7771104574203491	0.7892671823501587	1	1	1	0	0.7892671823501587
55322	mcp2k	0.9999939799308777	1	1	1	0	0.9999939799308777	0.9999901056289673	1	1	1	0	0.9999901056289673
55539	mcp1k	0.004934906959533691	0	0	1	6	0.0034292936325073242	0.00990229845046997	0	0	1	7	0.008477449417114258
55542	mcp2k	0.046111106872558594	1	1	1	0	0.046111106872558594	0.05855530500411987	1	1	1	0	0.05855530500411987
55595	mcp1k	0.02310889959335327	0	0	1	7	0.013754665851593018	0.041349709033966064	0	0	1	7	0.0326274037361145
