event	moved_cm	dA_cm	dB_cm	verdict	b1_cm	nue	numu	cosmict
355106	353.268	0.00	353.27	ADVERSE	0.00	=	-3.06->-0.50	1.0->0.0
55740	235.945	0.00	235.95	ADVERSE	0.00	=	3.10->-0.13	0.0->1.0
406631	205.510	0.00	205.51	ADVERSE	0.00	=	0.60->-0.53	=
497311	176.525	145.66	191.81	ADVERSE	145.66	=	-1.31->-1.61	=
51868	156.100	156.10	0.00	toward	156.10	=	-0.66->1.38	0.0->1.0
163771	101.997	102.00	0.00	toward	102.00	=	-0.85->1.75	=
243628	77.926	77.86	0.38	toward	77.86	=	1.14->1.97	=
281781	76.501	76.08	0.52	toward	76.08	-4.30->-15.00	0.10->1.39	=
71092	59.470	7.78	54.14	ADVERSE	7.78	=	0.78->-1.53	=
165767	58.387	17.23	44.55	ADVERSE	17.23	=	0.04->0.92	=
350354	42.218	19.80	61.80	ADVERSE	19.80	-1.05->-15.00	1.51->0.42	=
56972	36.896	36.90	0.00	toward	36.90	-4.19->-4.26	-3.37->-1.14	1.0->0.0
322707	35.494	35.50	0.46	toward	35.50	=	1.02->2.20	=
103952	33.180	33.61	0.54	toward	33.61	=	1.62->1.85	=
347890	30.999	30.53	0.58	toward	30.53	=	3.03->-0.03	=
169724	28.406	0.00	28.41	ADVERSE	0.00	=	1.05->-0.92	=
283833	28.134	28.13	0.00	toward	28.13	=	0.65->-1.47	=
179048	24.990	62.21	37.26	toward	62.21	-4.30->-15.00	2.86->1.53	1.0->0.0
396816	22.840	10.06	32.78	ADVERSE	10.06	=	-0.10->-1.67	=
479650	22.071	25.86	3.80	toward	25.86	=	0.01->-0.13	1.0->0.0
414240	21.608	0.00	21.61	ADVERSE	0.00	=	4.30->1.20	=
177068	21.375	6.88	28.01	ADVERSE	6.88	-15.00->-4.30	-2.39->-1.36	=
56763	20.555	14.92	11.04	toward	14.92	-15.00->-4.30	-1.84->-0.36	1.0->0.0
165544	19.646	19.65	0.13	toward	19.65	=	-0.47->-0.36	=
286296	18.061	18.06	0.00	toward	18.06	=	-1.65->-1.94	0.0->1.0
321169	12.796	5.79	18.55	ADVERSE	5.79	=	-1.64->0.10	=
105492	12.368	0.00	12.37	ADVERSE	0.00	=	-0.66->-1.05	0.0->1.0
317077	11.969	12.69	0.80	toward	12.69	=	-1.82->-0.17	=
179369	10.820	0.00	10.82	ADVERSE	0.00	-15.00->-4.30	1.20->2.55	=
66872	9.082	13.62	4.77	toward	13.62	=	1.28->0.49	=
409140	9.027	9.44	0.70	toward	9.44	-4.30->-15.00	0.74->-0.40	=
76346	8.249	19.97	27.55	ADVERSE	19.97	=	-0.91->-1.32	1.0->0.0
180544	8.065	8.12	0.15	toward	8.12	=	0.55->1.29	=
281567	5.104	8.91	10.58	ADVERSE	8.91	-15.00->-2.75	-0.89->-0.92	=
400779	5.100	5.10	0.00	toward	5.10	=	0.82->-1.41	0.0->1.0
53881	4.866	0.00	4.87	ADVERSE	0.00	=	-1.30->-0.81	=
173912	4.853	5.28	0.45	toward	5.28	=	1.78->1.62	=
100421	4.619	4.79	0.24	toward	4.79	=	2.93->1.67	0.0->1.0
417782	4.491	10.98	6.57	toward	10.98	=	-2.95->-2.05	=
94546	4.402	4.48	0.11	toward	4.48	=	3.22->3.44	=
290588	3.241	2.50	0.75	toward	2.50	=	1.97->1.33	=
97231	3.129	2.90	0.24	toward	2.90	=	4.30->3.02	=
