# doc pr/138 Phase A -- per-object scan result + features
event	node	stratum	proxy_cls	track_typed	owner_verdict	owner_conf	owner_nparts	agent_verdict	proposal_fired	half	valley_best	d2_best	frac_best	angle_best	valley	d2_over_d1	seed_frac	n_seed	angle	balance	gap_cm	gap_scaled	w_pull	sep_scaled	vgap_min	dedx15_min	n_2mip	r_ratio	q_ratio	m_pi0	nseg	npts	Q
388	23032	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.5859	0.09135	7.653	1	0.5859	0.09135	4	141.9	0.0039	318.9	65.85	5.183	17.49	0	0.445	0	0.8558	2.059	216.3	52	570	2.406e+07
10550	7036	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.3531	0.1061	18.16	1	0.493	0.11	4	33.77	0.01722	17	3.504	2.911	5.399	0	0.8022	0	nan	nan	56.06	46	305	1.186e+07
21073	60081	S1	SINGLE	0	SPLIT2	high	2		0	holdout	0.9603	0.8277	0.1635	21.17	0.9603	0.8277	0.1635	4	30.42	0.4463	0	0	3.998	3.498	3.384	0.4016	0	0.602	3.226	165.5	39	354	1.096e+07
21073	63100	S2	MERGED	0	SPLIT2	high	2	SPLIT2	1	holdout	0.3021	0.6241	0.3624	31.73	0.3021	0.6241	0.3624	4	30.93	0.409	18.03	3.637	6.391	5.252	26.33	0.7168	1	1.661	0.31	44.09	16	112	3.397e+06
37112	84074	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.4581	0.2315	26.84	1	0.4581	0.2315	2	21.1	0.02622	11.18	2.66	-0.6046	1.935	0	0.4604	0	0.4513	0.2175	10.01	5	63	2.802e+06
38856	12089	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	22.17	0.03457	10.81	2.548	-0.1056	2.139	0	0.1798	0	0.9053	0.1771	5.19	3	57	1.027e+06
47212	109100	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.4984	0.1202	8.688	1	0.4984	0.1202	3	5.846	0.4705	1.426	0.28	-0.7963	1.074	27.95	0.8012	1	1.874	0.5297	11.29	17	119	3.974e+06
52605	51023	S3	SINGLE	0	SPLIT2	high	2		0	holdout	0.9774	0.7976	0.4301	35.54	0.9774	0.7976	0.4301	4	69.68	0.00826	51.22	12.87	1.843	4.105	0	0.5068	0	nan	nan	13.13	8	83	2.444e+06
52672	9011	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.4918	0.04809	6.6	1	0.4918	0.04809	4	35.9	0.017	33.77	5.681	3.929	8.68	39.09	0.8096	1	nan	nan	60.11	60	342	1.224e+07
52693	18034	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.5455	0.2257	9.046	1	0.5455	0.2257	3	80.11	0.03768	3.054	0.5997	0.3126	13.56	0	nan	0	nan	nan	36.24	15	111	2.979e+06
54332	27025	S3	SINGLE	0	KEEP	high	1		0	fit	1	0.7047	0.3599	11.46	1	0.7047	0.3599	2	11.73	0.1358	0	0	0.2126	1.727	38.9	0.8468	0	0.8783	0.3979	4.232	3	36	1.151e+06
54332	122091	S3	SINGLE	0	KEEP	high	1		1	fit	6.587e-07	0.9467	0.1597	85.42	1	0.827	0.2142	4	70.59	0.2578	75.76	15.61	18.95	10.76	39.57	0.7828	0	2.174	1.024	94.55	13	94	2.893e+06
56982	22116	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.288	0.0366	18.96	1	0.288	0.0366	2	20.48	0.04024	7.221	1.723	-1.322	1.845	0	nan	0	1.236	0.2815	9.213	5	85	2.009e+06
57709	99036	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.2164	0.09794	13.24	1	0.2164	0.09794	2	13.66	0.09794	25.62	5.063	0.723	2.466	37.41	1.226	0	1.972	0.5523	6.678	8	56	1.765e+06
58755	30003	S2	MERGED	0	SPLIT2	high	2		1	holdout	0.8799	0.6591	0.1937	19.63	0.8799	0.6591	0.1937	4	57.81	0.03574	47.46	10.39	6.461	7.415	0	1.094	0	nan	nan	23.38	11	62	2.053e+06
59085	3007	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0	0	1	15.05	0.1525	0	0	-1.918	0.921	4.94	0.5906	1	nan	nan	8.759	4	56	1.717e+06
64409	8022	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0.1901	0.02202	3	163.7	0.002999	23.09	4.945	0.663	16.39	0	1.875	1	nan	nan	81.26	36	315	1.147e+07
65053	139020	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0	0	1	18.47	0.1708	0	0	-1.477	0.7937	7.468	0.2989	0	nan	nan	12.78	4	27	1.429e+06
67394	58035	S3	SINGLE	0	SPLIT2	high	2		1	fit	0.01191	0.132	0.05159	44.15	1	0.4744	0.04707	4	39.05	0.05159	34.5	6.096	1.798	8.701	43.46	0.9452	0	nan	nan	25.85	12	100	3.549e+06
71372	19049	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.8134	0.1977	5.801	1	0.8134	0.1977	4	18.18	0.04016	4.286	0.7835	1.427	3.868	7.417	0.6171	0	nan	nan	109.9	98	1025	3.055e+07
71642	41028	S2	MERGED	0	SPLIT2	high	2		1	fit	0.441	0.1175	0.101	58.44	1	0.1395	0.0191	3	57.43	0.101	23.48	4.864	-0.9763	8.802	9.187	nan	0	1.997	0.2574	15.69	6	26	1.165e+06
71642	76071	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.06209	0.04306	17.46	1	0.1862	0.0316	4	14.25	0.08067	15.75	2.719	0.769	3.355	58.53	0.6488	0	3.54	0.8596	14.21	21	125	3.892e+06
71642	78077	S2	MERGED	0	KEEP	high	1		0	fit	1	0.06056	0.07042	21.88	1	0.1523	0.01721	4	42.33	0.01942	44.09	8.304	3.932	8.337	36.87	1.456	0	2.77	0.3025	7.13	10	46	1.369e+06
71642	84105	S2	MERGED	0	SPLIT2	high	2		1	fit	0.8115	0.4759	0.3598	35.44	0.8115	0.4759	0.3598	3	33.6	0.3665	4.617	1.099	3.821	3.045	3.51	0.984	1	0.2825	1.163	59.47	7	76	4.528e+06
71872	13008	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.1605	0.04061	35.65	1	0.1605	0.04061	2	35.93	0.04061	19.35	4.69	-0.179	2.905	4.926	0.7995	0	0.4271	0.5229	10.42	3	46	1.595e+06
72786	16017	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.4152	0.1335	23.47	1	0.4152	0.1335	2	25.83	0.1335	41.94	9.268	3.877	3.318	8.899	0.8244	0	1.7	1.813	16.95	9	71	2.428e+06
74326	10020	S3	SINGLE	0	KEEP	high	1		0	fit	1	0.7232	0.3368	16.78	1	0.7232	0.3368	4	94.63	0.01453	30.06	7.067	1.435	8.289	19.24	2.114	1	0.2461	1.688	31.66	3	45	2.284e+06
75954	21063	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	1	0.1427	0.0137	2	52.72	0.0137	27.68	7.099	0.3315	2.603	0	0.7913	0	0.5079	0.2483	16.62	4	55	1.939e+06
76346	14059	S1	SINGLE	0	KEEP	high	1	KEEP	0	fit	1	0.2685	0.03191	10.97	1	0.2685	0.03191	4	13.77	0.00562	16.45	3.245	-0.6077	2.498	29.92	1.031	0	1.507	2.481	4.268	15	128	3.63e+06
76346	49048	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	5.745	0.05393	18.9	4.138	-1.773	0.769	23.64	1.025	0	0.6635	0.4031	1.842	5	39	1.463e+06
76350	12098	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.4913	0.1637	9.082	1	0.4913	0.1637	4	76.38	0.01187	22.05	4.506	2.187	11.76	0	0.5288	0	nan	nan	114	34	420	1.413e+07
76350	103093	S1+S2	MERGED	0	SPLIT2	high	2		1	fit	0.7915	0.9948	0.4287	41.9	0.7915	0.9948	0.4287	3	48.51	0.45	6.627	1.657	3.606	3.072	10.21	0.3773	0	0.3211	0.09539	31.27	8	45	1.348e+06
84229	69134	S2	MERGED	0	SPLIT2	high	2		1	holdout	0.9298	0.5165	0.3561	16.78	0.9298	0.5165	0.3561	4	17.67	0.3624	5.287	1	2.276	3.51	14.42	0.8775	1	nan	nan	135.8	54	504	1.722e+07
90055	11033	S3	SINGLE	0	KEEP	high	1		0	holdout	1	0.7038	0.1475	6.433	1	0.7038	0.1475	4	149.3	0.003907	25.02	5.023	1.973	19.23	0	0.9551	0	nan	nan	238.9	79	820	2.856e+07
91917	17005	S3	SINGLE	0	SPLIT2	high	2	SPLIT2	1	holdout	1.981e-90	0.2883	0.06138	120.5	9.149e-90	0.6836	0.4257	3	118.7	0.4257	346.3	45.77	36.77	32.06	115.7	0.8914	0	3.179	0.4069	42.43	6	31	1.012e+06
94224	17013	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	9.464	0.4316	3.768	0.8213	-1.034	1.287	0	0.7172	0	nan	nan	15.2	3	123	3.493e+06
95151	6002	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0.02764	0.01437	2	21.34	0.01437	78.07	16.3	0.536	3.318	23.8	0.8269	0	nan	nan	4.318	4	51	2.061e+06
96383	14005	S3	SINGLE	0	SPLIT2	high	2		1	holdout	0.3924	0.236	0.03853	137.6	1	0.3387	0.03853	3	128.2	0.06204	68.63	17.87	12.23	4.388	0	0.6514	0	0.5771	0.7308	28.88	6	48	1.412e+06
96383	14007	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0	0	1	18.15	0.04958	17.17	4.256	-0.4047	1.269	0.8423	0.1994	0	1.733	1.368	9.188	5	58	1.933e+06
98844	6013	S3	SINGLE	0	SPLIT2	high	2		1	fit	0.9405	0.8006	0.152	21.85	0.9405	0.8006	0.152	4	137.8	0.04462	15.03	3.427	4.205	12.19	0	0.7183	0	0.4566	1.15	132.7	14	253	6.137e+06
