evt	cid	grp	npts	qfrac	plen	prms	maxd	dvtx	seg	ang	cls	sev	flag	f_m	f_em	f_trk	own_pdg	d_had	hadseg	d_a5	d_sec	xcd	xcn	hit54	a5	cen
166738	16	0	1	2.364122956440304e-05	0.0	0.0	3.0292416823356976	34.18211115554451	16004	66.42650873717537	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	87.7	0			38.5,56.8,206.8
166870	10	0	212	0.052249526500141294	12.380455368566302	0.5230578698974727	6.30763870239886	5.320132047233407	10066	28.172400702435795	NEARVTX	1	1	0.82	0.15	0.85	211:147;11:26	3.0	10066	-1.0	5.2	26.4	0	pr54drop(cid10,npts15,9.6cm,d2.9)		-142.8,156.9,147.4
166870	10	1	26	0.009370853821391164	4.773659206879874	0.2666425606918044	4.270001990631852	3.9301381655102134	10065	1.8206864196630022	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	16.8	0			-140.7,142.4,140.3
166870	10	4	24	0.0021308283464156687	3.2019045115192375	0.2267246329630384	4.771042967737774	13.516209083911049	10068	49.6007941639654	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	36.6	0			-137.3,153.4,156.7
166870	10	2	2	0.00029150549064394264	0.0	0.0	3.027666593269488	3.9810894237633003	10067	83.43383790710314	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	26.1	0			-141.3,146.6,147.4
166870	10	3	2	0.00022875532923780165	0.3120000000000118	0.0	3.3294080554957635	18.74055615503445	10016	88.7290320929154	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	42.5	0			-141.2,159.5,158.1
167112	16	1	20	0.027237847582257668	5.427747481176138	0.23480689320935333	4.30261246221408	4.437321376686626	16002	71.81866645293519	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	30.3	0	pr54drop(cid16,npts11,4.7cm,d0.3)		-106.6,173.4,226.9
167112	16	0	7	0.005031727451484212	1.9581004623156526	0.18780250724171998	3.9246669922427824	4.794594560544205	16002	20.903072381954942	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	35.2	0			-109.2,175.0,228.9
167684	10	0	7	0.006625750533839899	1.2139502052542022	0.10022844183522293	3.664191703500234	11.912943491580915	10000	39.71309857523388	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	40.0	0			14.3,-175.5,249.5
168432	19	0	15	0.008192486219281932	5.447975060805108	0.2090697655619998	4.344440465698631	15.961445166713453	19032	0.5234827608472352	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	37.4	0			-96.7,-173.3,446.1
168432	19	1	1	3.5076628212945505e-05	0.0	0.0	3.1576390800723177	69.93986879634534	19032	77.25374317173342	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	76.1	0			-86.7,-123.7,467.0
168526	19	2	383	0.06913961442518711	23.946841680672208	1.205715333080267	9.87891879559702	6.008049927389088	19024	2.9180062163623726	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	5.0	0			-156.4,-97.1,55.1
168526	19	0	43	0.01019222482135676	8.247286400627623	0.6131934480241403	5.01157723276814	28.320318380978705	19023	7.875950414095581	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	5.0	0			-156.6,-108.7,70.6
168526	19	1	42	0.0066847195861102215	6.91568663351579	0.4147139750202102	5.382049610510852	16.023587045352862	19024	16.161150296795817	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	4.1	9			-156.4,-108.5,56.1
168526	19	8	36	0.003032999404247833	3.7557335305472765	0.08066787295594854	6.668185547058509	328.2072684311242	19001	41.128063576944655	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	46.2	0			-66.2,136.4,250.5
168526	19	3	20	0.005873372725619697	3.564301208402366	0.1644676604338367	4.033897357395206	28.479581001131322	19032	44.44996715179387	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	2.0	20			-155.5,-113.9,65.1
168526	19	7	5	0.00011273061800018	2.2887889347872825	0.06384863453786171	3.5599102741501656	209.16557007896878	19027	15.546713154365648	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	109.2	0			-111.2,43.7,186.9
168526	19	5	2	9.731468849876811e-05	0.0	1.2268090012305021e-14	3.674072221663606	201.38993995343958	19027	79.48741754937505	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	119.2	0			-113.3,42.2,176.6
168526	19	4	1	5.638105953842008e-05	0.0	0.0	3.192755501130652	178.01183475516453	19027	76.71889932661183	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	118.1	0			-117.1,24.3,161.2
168526	19	6	1	2.4856009200979992e-05	0.0	0.0	3.3404699085607645	202.12382967680975	19027	79.54808326601054	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	112.8	0			-113.0,37.5,181.6
168614	5	1	1086	0.2549183548721124	37.16482315662852	2.3885453873332336	20.58168406156308	4.454213444593779	5002	12.086284338045752	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	60.3	0			107.6,92.3,245.6
168614	5	19	631	0.12356613327531674	52.64043451977956	2.1360523636564968	20.904106055988123	89.48854246349082	5002	1.1610914267657566	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	84.7	0			105.8,160.5,307.3
168614	5	10	302	0.058170159260605966	55.09434279611222	1.6184637802555484	14.882902035557436	79.55342718978233	5002	6.79499178993235	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	91.6	0			106.2,147.4,318.8
