sample	run	subrun	event	classes	enu_a	enu_b	denu	numu_a	numu_b	nue_a	nue_b	vtx_move_cm	label_a	label_b	eval_a	eval_b	rc_a	rc_b	nuefill_a	nuefill_b
mcp1k	18255	1	60669	eval											0	1				
mcp1k	18255	1	280752	eval											0	1				
mcp1k	18255	1	282737	eval											0	1				
mcp1k	18255	1	284153	eval											0	1				
mcp1k	18255	1	285531	eval											0	1				
mcp1k	18255	1	291570	eval											0	1				
mcp1k	18255	1	293391	eval											1	0				
mcp1k	18255	1	313781	eval,nue_fill											0	1			unfilled	filled
mcp1k	18255	1	348471	eval											0	1				
mcp1k	18255	1	352211	eval											1	0				
mcp1k	18255	1	352233	eval											0	1				
mcp1k	18255	1	389588	eval											0	1				
mcp1k	18255	1	398414	eval											0	1				
mcp1k	18255	1	399998	eval											0	1				
mcp1k	18255	1	406796	eval											0	1				
mcp1k	18255	1	486907	eval											0	1				
mcp1k	18259	1	169774	eval											0	1				
mcp1k	18259	1	172832	eval											0	1				
mcp2k	18255	1	49987	eval											0	1				
mcp2k	18255	1	51208	eval											1	0				
mcp2k	18255	1	51219	eval											0	1				
mcp2k	18255	1	56763	eval,nue_fill											0	1			unfilled	filled
mcp2k	18255	1	69636	eval											1	0				
mcp2k	18255	1	69666	eval											0	1				
mcp2k	18255	1	71022	eval											0	1				
mcp2k	18255	1	71872	eval											0	1				
mcp2k	18255	1	72174	eval											0	1				
mcp2k	18255	1	74326	eval											0	1				
mcp2k	18255	1	75700	eval											0	1				
mcp2k	18255	1	78010	eval											1	0				
mcp2k	18255	1	92071	eval											1	0				
mcp2k	18255	1	92134	eval											0	1				
mcp2k	18255	1	95173	eval											1	0				
mcp2k	18255	1	96864	eval											0	1				
mcp2k	18255	1	100564	eval											0	1				
mcp2k	18255	1	105492	eval											0	1				
mcp2k	18255	1	293536	eval,nue_fill											0	1			unfilled	filled
mcp2k	18255	1	322269	eval											0	1				
mcp2k	18255	1	350948	eval											1	0				
mcp2k	18255	1	351564	eval											0	1				
mcp2k	18255	1	352730	eval											0	1				
mcp2k	18255	1	393133	eval											0	1				
mcp2k	18255	1	393935	eval											0	1				
mcp2k	18255	1	397498	eval											0	1				
mcp2k	18255	1	403859	eval											1	0				
mcp2k	18255	1	404189	eval											0	1				
mcp2k	18255	1	405487	eval											1	0				
mcp2k	18255	1	405707	eval											0	1				
mcp2k	18255	1	408304	eval,nue_fill											0	1			unfilled	filled
mcp2k	18255	1	409052	eval											0	1				
mcp2k	18255	1	412638	eval											0	1				
mcp2k	18255	1	497883	eval											0	1				
mcp2k	18259	1	51964	eval											0	1				
mcp2k	18259	1	95184	eval											0	1				
mcp2k	18259	1	100486	eval											1	0				
mcp2k	18259	1	100640	eval											0	1				
mcp2k	18259	1	101498	eval											0	1				
mcp2k	18259	1	169900	eval											1	0				
mcp2k	18259	1	169966	eval											0	1				
mcp2k	18259	1	171536	eval											1	0				
mcp2k	18259	1	171572	eval											0	1				
mcp2k	18259	1	171792	eval											1	0				
mcp2k	18259	1	171866	eval											0	1				
mcp2k	18259	1	172498	eval											0	1				
mcp2k	18259	1	174795	eval											0	1				
mcp2k	18259	1	175952	eval											0	1				
mcp2k	18259	1	179752	eval											0	1				
mcp2k	18259	1	237380	eval											0	1				
ncpi0	18255	1	399860	eval,nue_fill											0	1			unfilled	filled
nuecc48	18255	1	447477	eval,nue_fill											0	1			unfilled	filled
nuecc48	18313	1	81597	nue						4.300936	15.65356									
mcp2k	18259	1	179611	nue						-4.300936	-15.301377									
nuecc48	18279	1	267597	nue						4.300936	14.75047									
mcp1k	18255	1	54175	nue,numu				4.301008	4.6130776	-4.300936	-14.622151									
mcp2k	18255	1	52605	nue						-4.300936	-14.259985									
mcp2k	18255	1	100135	nue						-4.300936	-14.25562									
mcp2k	18255	1	287794	nue						-4.300936	-14.206402									
nuecc48	18255	1	489330	nue						4.300936	14.206402									
mcp2k	18255	1	499423	nue						-4.300936	-14.202541									
nuecc48	18255	1	10550	nue						4.300936	14.020091									
mcp2k	18259	1	176533	nue						4.300936	13.981462									
mcp2k	18259	1	177068	nue						-4.300936	-13.950269									
mcp2k	18259	1	180403	nue						-4.300936	-13.911227									
mcp2k	18259	1	170761	nue,numu				4.301008	4.5255485	-4.300936	-13.837318									
mcp2k	18255	1	291072	nue						4.300936	13.724141									
nuecc48	18255	1	422851	nue						4.300936	13.5672									
mcp2k	18255	1	76346	nue						-4.300936	-13.348208									
mcp2k	18259	1	51260	nue						-4.300936	-13.246594									
nuecc48	18255	1	246579	nue						4.300936	12.795625									
mcp2k	18255	1	77328	nue						-4.300936	-12.7018585									
nuecc48	18255	1	239794	nue						4.300936	12.644534									
mcp1k	18255	1	277298	nue						-4.300936	-12.4973135									
nuecc48	18255	1	388	nue						4.300936	12.443241									
mcp2k	18255	1	397401	nue						-4.300936	-12.296483									
nuecc48	18253	1	172230	nue						4.300936	12.267596									
mcp2k	18259	1	171729	nue						-4.300936	-12.169972									
mcp2k	18255	1	349276	enu,numu	357.09912	1119.5603	762.461	1.7251483	5.8858223											
nuecc48	18259	1	54095	nue						4.300936	11.908875									
mcp1k	18259	1	175896	nue						-4.300936	-11.711862									
nuecc48	18259	1	131357	nue						4.300936	11.676843									
mcp2k	18255	1	395123	nue						-4.300936	-11.557363									
mcp2k	18255	1	318703	nue,numu				4.301008	5.5281196	-4.300936	-11.510811									
mcp2k	18259	1	179048	nue						-4.300936	-11.356555									
nuecc48	18259	1	42280	nue						4.300936	11.3263235									
nuecc48	18269	1	342199	nue						4.300936	11.273583									
nuecc48	18259	1	74544	nue						4.300936	11.196162									
nuecc48	18259	1	52672	nue						-4.300936	-11.1889105									
mcp2k	18255	1	499577	enu,nue	1548.795	1617.0526	68.258			-4.300936	-11.179005									
mcp2k	18255	1	395597	nue						-4.300936	-11.125946									
mcp2k	18255	1	281325	nue						-4.300936	-11.102485									
nuecc48	18255	1	234638	nue						4.300936	10.865067									
