setname	sample	event	labelsrc	gamma	e_lab	e_sh	ratio	e_sibs	nsibs	klass
141	mcp1k	54341	base	2	47.6	23.7	0.5	0.0	0	UNDER-nosibs
141	mcp1k	56243	base	1	120.1	121.0	1.01	0.0	0	OK
141	mcp1k	56243	base	2	112.2	104.4	0.93	0.0	0	OK
141	mcp2k	57709	base	1	211.6	181.5	0.86	9.3	1	OK
141	mcp2k	57709	base	2	98.5	91.6	0.93	0.0	0	OK
141	mcp1k	71178	base	1	106.7	99.3	0.93	0.0	0	OK
141	mcp1k	71178	base	2	63.1	58.9	0.93	0.0	0	OK
141	mcp2k	71872	base	1	200.6	194.8	0.97	0.0	0	OK
141	mcp2k	71872	base	2	19.9	23.0	1.16	0.0	0	OK
141	mcp2k	74123	base	1	159.6	148.4	0.93	0.0	0	OK
141	mcp2k	74123	base	2	63.1	56.1	0.89	1.6	1	OK
141	mcp2k	91917	base	1	213.4	178.5	0.84	10.9	1	OK
141	mcp2k	91917	base	2	54.5	50.7	0.93	0.0	0	OK
141	mcp2k	99782	base	1	156.6	147.5	0.94	0.0	0	OK
141	mcp2k	99782	base	2	64.8	61.3	0.95	0.0	0	OK
141	mcp2k	103798	base	1	133.0	125.4	0.94	0.0	0	OK
141	mcp2k	103798	base	2	97.6	96.8	0.99	0.0	0	OK
141	mcp1k	168432	base	1	259.1	241.0	0.93	0.0	0	OK
141	mcp1k	168432	base	2	143.0	115.8	0.81	20.1	2	OK
141	mcp2k	171729	base	1	117.2	112.1	0.96	0.0	0	OK
141	mcp2k	171729	base	2	39.8	37.4	0.94	0.0	0	OK
141	mcp2k	242726	base	1	116.1	108.0	0.93	0.0	0	OK
141	mcp2k	242726	base	2	67.8	63.1	0.93	0.0	0	OK
141	mcp2k	280159	base	1	78.1	74.1	0.95	0.0	0	OK
141	mcp2k	280159	base	2	129.6	129.3	1.0	0.0	0	OK
141	mcp1k	280972	overlay	1	625.6	582.0	0.93	0.0	0	OK
141	mcp1k	280972	overlay	2	127.3	118.4	0.93	0.0	0	OK
141	mcp1k	283713	base	1	163.9	152.5	0.93	0.0	0	OK
141	mcp1k	283713	base	2	27.1	25.2	0.93	0.0	0	OK
141	mcp1k	285443	base	1	281.3	262.5	0.93	0.0	0	OK
141	mcp1k	285443	base	2	37.1	34.5	0.93	0.0	0	OK
141	mcp1k	286655	overlay	1	236.7	220.2	0.93	0.0	0	OK
141	mcp1k	286655	overlay	2	201.3	187.3	0.93	0.0	0	OK
141	mcp1k	292027	base	1	259.1	253.8	0.98	4.9	1	OK
141	mcp1k	292027	base	2	65.5	60.9	0.93	0.0	0	OK
141	mcp2k	292524	base	1	329.8	284.0	0.86	0.0	0	OK
141	mcp2k	292524	base	2	38.1	37.7	0.99	0.0	0	OK
141	mcp2k	347824	base	1	528.0	-1	-1	0	0	ABSENT
141	mcp2k	347824	base	2	137.0	181.5	1.32	21.6	3	OVER
141	mcp1k	348691	overlay	1	324.2	301.6	0.93	0.0	0	OK
141	mcp1k	348691	overlay	2	115.1	107.1	0.93	0.0	0	OK
141	mcp1k	349549	overlay	1	442.1	411.2	0.93	0.0	0	OK
141	mcp1k	349549	overlay	2	231.4	215.2	0.93	1.8	1	OK
141	mcp2k	392901	overlay	1	196.6	182.9	0.93	0.0	0	OK
141	mcp2k	392901	overlay	2	106.1	98.7	0.93	160.3	1	OK
141	mcp2k	397630	overlay	1	128.7	119.7	0.93	0.0	0	OK
141	mcp2k	397630	overlay	2	114.0	106.0	0.93	0.0	0	OK
141	mcp1k	399118	base	1	130.5	133.5	1.02	0.0	0	OK
141	mcp1k	399118	base	2	55.5	52.2	0.94	0.0	0	OK
141	mcp1k	400504	base	1	153.5	142.8	0.93	0.0	0	OK
141	mcp1k	400504	base	2	63.9	62.9	0.99	0.0	0	OK
141	mcp2k	403023	base	1	131.0	121.8	0.93	0.0	0	OK
141	mcp2k	403023	base	2	96.8	93.0	0.96	0.0	0	OK
141	mcp1k	486907	overlay	1	457.7	425.8	0.93	0.0	0	OK
141	mcp1k	486907	overlay	2	154.9	144.1	0.93	210.9	4	OK
141	mcp1k	489327	base	1	237.2	337.0	1.42	0.0	0	OVER
141	mcp1k	489327	base	2	46.4	43.1	0.93	0.0	0	OK
141	mcp2k	499577	base	1	103.7	97.5	0.94	0.0	0	OK
141	mcp2k	499577	base	2	40.8	38.0	0.93	0.0	0	OK
