event	moved_cm	dA_cm	dB_cm	verdict	b1_cm	nue	numu	cosmict
281837	1.089	3.53	2.87	toward	3.53	=	1.14->0.76	=
292533	0.493	0.83	0.60	toward	0.83	=	2.47->4.30	1.0->0.0
282072	0.486	1.98	1.84	toward	1.98	=	3.47->4.00	=
287517	0.331	0.64	0.32	toward	0.64	=	2.99->3.06	=
316025	0.289	0.00	0.29	on	0.00	=	2.40->2.92	=
284794	0.210	0.14	0.34	on	0.00	=	-1.28->3.30	=
400856	0.182	0.00	0.18	on	0.00	=	2.45->3.81	=
389588	0.168	4.42	4.58	away	4.42	=	-0.09->-0.95	=
313781	0.167	40.88	40.94	away	40.88	=	-2.81->-3.17	=
316729	0.157	0.00	0.16	on	0.00	=	1.78->3.96	=
314705	0.088	0.00	0.09	on	0.00	=	-0.71->-0.89	=
