event	moved_cm	dA_cm	dB_cm	verdict	b1_cm	nue	numu	cosmict
84229	98.685	98.63	0.24	toward	98.63	0.69->-15.00	0.32->0.52	=
463565	30.220	0.00	30.22	ADVERSE	0.00	=	-0.45->0.19	=
359980	27.242	27.08	0.41	toward	27.08	=	-0.29->-2.21	0.0->1.0
56982	23.293	11.10	33.21	ADVERSE	11.10	-15.00->-3.32	-0.36->1.19	=
180801	2.159	78.96	77.29	toward	78.96	-3.21->-4.30	1.36->0.28	=
37112	1.661	2.00	0.59	toward	2.00	-2.47->-15.00	0.34->0.18	=
71372	0.781	0.00	0.78	on	0.00	=	2.63->1.47	=
285567	0.698	0.00	0.70	on	0.00	-15.00->-2.58	0.99->1.10	=
314838	0.690	0.00	0.69	on	0.00	=	-0.31->-0.14	=
142421	0.311	0.00	0.31	on	0.00	=	3.60->2.26	=
506746	0.206	0.00	0.21	on	0.00	=	1.11->-0.84	=
21073	0.054	0.00	0.05	on	0.00	=	=	=
