class	event	id	cluster	pdg	score	length_cm	ke_mev	gap_cm	cand_end_cm	ref_end_cm	kink_deg	d_mainvtx_cm
A	55740	22014	22	13	100.000	123.1	300.6	0.00	0.00	0.00	13.0	61.8
A	72786	9004	9	13	0.314	143.5	344.0	2.37	52.20	0.00	93.7	46.6
A	72786	9006	9	13	100.000	114.3	281.7	8.44	47.07	0.00	43.5	35.3
A	72786	9008	9	211	100.000	64.7	187.5	0.00	0.00	0.00	89.5	38.3
A	72786	45038	45	13	100.000	108.3	268.9	0.00	0.00	0.00	108.3	78.4
A	94392	45030	45	13	0.092	46.8	137.2	0.00	0.00	0.00	13.3	44.5
A	171572	10008	10	13	100.000	125.1	304.8	0.00	0.00	0.00	38.4	20.4
A	318769	19001	19	13	0.062	39.8	121.5	0.00	0.00	0.00	42.0	114.3
A	392901	127032	127	13	0.446	38.5	118.5	0.00	0.00	0.00	4.8	102.9
A	393505	15004	15	13	100.000	63.4	174.8	0.00	0.00	0.00	41.0	68.9
A	393505	15005	15	13	0.153	131.4	318.4	28.74	0.00	0.00	58.8	77.1
A	393505	15013	15	13	100.000	108.5	268.7	0.00	0.00	0.00	137.3	74.4
A	399118	16017	16	2212	0.079	108.8	481.0	0.00	0.00	0.00	47.3	4.9
B	388	27066	27	11		0.9	4.8	350.64				
B	388	97179	97	11		2.3	4.3	320.42				
B	10550	16037	16	11		0.4	1.6	202.92				
B	10550	17038	17	11		0.4	2.6	184.48				
B	18625	37010	37	11		0.7	2.0	78.30				
B	18625	38011	38	2212		0.2	20.7	75.54				
B	18625	51024	51	11		0.4	3.9	79.38				
B	30504	22022	22	11		0.3	1.6	217.03				
B	37112	14014	14	11		0.4	1.6	344.71				
B	38856	66070	66	13		0.6	2.8	89.82				
B	42280	16070	16	11		0.3	0.7	153.59				
B	46363	25093	25	11		0.2	0.3	403.70				
B	46363	48095	48	11		0.5	1.1	72.89				
B	47696	35001	35	11		0.0	0.3	187.71				
B	47696	37003	37	11		0.1	0.2	204.51				
B	47696	38004	38	2212		0.4	3.0	79.48				
B	51546	23001	23	211		0.0	0.0	398.11				
B	52044	25013	25	11		0.3	0.9	322.16				
B	52044	26014	26	11		0.6	1.3	299.75				
B	52044	27015	27	2212		0.5	2.4	264.36				
B	52605	18006	18	11		0.8	3.4	295.31				
B	52672	15018	15	11		1.1	5.4	234.27				
B	52672	16019	16	11		0.4	1.6	181.09				
B	52693	45009	45	11		0.3	1.0	48.29				
B	52693	46010	46	2212		0.9	4.2	34.32				
B	54095	21075	21	11		0.3	1.2	257.61				
B	54095	68104	68	11		5.5	21.3	30.31				
B	54332	26023	26	11		0.8	3.1	230.46				
B	54332	93055	93	2212		3.9	45.4	48.69				
B	54332	123098	123	13		14.1	59.4	72.58				
B	54341	30009	30	11		0.4	2.3	176.33				
B	54341	31010	31	11		0.3	0.2	341.09				
B	54341	32011	32	11		0.3	0.3	406.97				
B	54341	33012	33	11		0.3	1.1	407.53				
B	54341	102044	102	11		0.3	0.6	390.88				
B	54341	103045	103	11		0.3	0.4	398.18				
B	54453	25032	25	11		0.6	1.9	165.94				
B	54453	32033	32	11		0.3	1.2	200.90				
B	54453	33034	33	11		0.3	1.3	208.85				
B	54453	34035	34	11		0.3	2.0	232.77				
B	54453	35036	35	11		1.8	1.4	220.01				
B	54453	36037	36	11		0.4	1.0	200.73				
B	54453	37038	37	2212		4.5	72.7	219.05				
B	54453	48041	48	11		0.2	0.9	71.88				
B	54453	72065	72	11		0.3	0.3	174.59				
B	54453	73066	73	11		0.3	0.9	162.74				
B	54453	74067	74	11		0.6	1.9	154.53				
B	55740	23020	23	2212		4.4	72.0	158.61				
B	55740	64030	64	2212		0.5	4.2	104.97				
B	55740	68034	68	11		0.7	2.8	150.57				
B	55740	70036	70	11		0.1	1.3	189.79				
B	56972	22015	22	11		0.3	2.3	241.32				
B	56972	47020	47	11		0.2	1.6	271.74				
B	56982	30047	30	11		0.3	2.0	544.38				
B	56982	51050	51	13		1.7	10.2	73.86				
B	57709	16003	16	11		0.5	1.0	384.94				
B	57709	19006	19	11		0.2	1.2	119.49				
B	57709	92026	92	13		2.9	13.1	72.77				
B	58006	14010	14	11		0.1	1.1	312.38				
B	58006	16012	16	2212		0.1	1.9	202.97				
B	58006	41026	41	11		8.7	35.6	75.99				
B	58006	59037	59	11		0.1	1.4	190.94				
B	58755	31005	31	11		0.5	2.7	172.15				
B	58755	64007	64	11		0.4	1.8	196.25				
B	58755	65008	65	11		0.2	1.2	256.57				
B	58755	66009	66	2212		0.2	0.9	341.76				
B	64409	10035	10	11		0.1	0.3	201.26				
B	64409	11036	11	11		0.5	0.7	226.65				
B	64409	12037	12	11		0.3	1.8	184.30				
B	64409	14041	14	2212		0.3	1.4	146.26				
B	64409	62092	62	11		0.3	0.6	144.26				
B	64591	24003	24	11		0.9	1.9	268.00				
B	64591	25004	25	2212		0.2	1.4	243.82				
B	64591	84052	84	11		0.1	0.5	269.79				
B	64591	85053	85	11		0.2	0.3	250.76				
B	65053	25002	25	11		0.3	2.7	78.83				
B	67394	21014	21	11		0.8	2.4	406.67				
B	69232	29013	29	11		0.3	2.1	159.27				
B	69314	29018	29	13		0.7	1.9	21.09				
B	71642	16015	16	11		0.2	1.6	138.03				
B	71642	83099	83	13		0.3	1.4	73.08				
B	71872	20013	20	11		0.4	0.6	346.41				
B	72786	15010	15	11		1.0	0.2	155.51				
B	72786	18030	18	11		0.4	1.5	297.12				
B	72786	19031	19	11		0.1	1.5	217.29				
B	74326	37030	37	2212		19.5	56.1	71.51				
B	74326	47040	47	11		0.3	0.7	57.43				
B	74544	16058	16	11		0.4	1.4	435.64				
B	75954	27049	27	11		0.7	1.6	393.30				
B	76346	19021	19	2212		0.8	24.0	215.71				
B	76346	38028	38	2212		0.3	2.7	75.73				
B	76346	50052	50	11		0.4	2.5	228.61				
B	76346	51053	51	11		0.4	1.3	232.11				
B	77328	19010	19	11		0.4	0.7	264.29				
B	81597	30047	30	2212		0.4	1.4	408.70				
B	84229	17062	17	11		0.3	1.1	461.40				
B	84229	18063	18	11		0.9	0.8	452.45				
B	91917	21015	21	11		0.9	0.8	275.13				
B	94224	23018	23	11		0.6	3.1	409.94				
B	94224	56021	56	11		0.4	1.1	77.35				
B	94392	12020	12	11		1.2	6.1	188.12				
B	94392	13021	13	11		0.5	2.1	302.48				
B	94392	46031	46	11		0.3	0.9	206.14				
B	96383	19011	19	11		0.3	0.8	348.33				
