event	moved_cm	dA_cm	dB_cm	verdict	b1_cm	nue	numu	cosmict
313979	0.380	0.00	0.38	on	0.00	=	=	=
282737	0.378	0.00	0.38	on	0.00	=	3.73->3.67	=
407148	0.376	0.00	0.38	on	0.00	=	4.12->3.28	=
283991	0.376	0.00	0.38	on	0.00	=	2.85->2.64	=
291037	0.372	0.00	0.37	on	0.00	=	1.97->1.74	=
405674	0.366	0.00	0.37	on	0.00	=	=	=
59685	0.365	0.00	0.36	on	0.00	=	3.61->3.37	=
174114	0.358	0.00	0.36	on	0.00	=	0.37->1.02	=
281527	0.356	0.00	0.36	on	0.00	=	2.24->2.07	=
54341	0.355	0.00	0.36	on	0.00	=	0.35->0.58	=
282217	0.353	0.00	0.35	on	0.00	=	=	=
316553	0.346	0.00	0.35	on	0.00	=	3.75->4.27	=
280598	0.339	0.00	0.34	on	0.00	-15.00->-4.30	2.81->2.48	=
166738	0.338	0.00	0.34	on	0.00	=	3.90->3.97	=
68648	0.335	0.00	0.33	on	0.00	=	-1.26->0.15	=
171358	0.330	0.00	0.33	on	0.00	=	0.17->-0.61	=
386948	0.329	50.15	50.38	away	50.15	=	-1.65->-0.90	=
57903	0.325	0.00	0.32	on	0.00	=	1.72->1.80	=
57661	0.322	0.00	0.32	on	0.00	=	2.99->2.95	=
291961	0.319	0.00	0.32	on	0.00	-15.00->-4.30	2.39->2.43	=
71046	0.306	0.00	0.31	on	0.00	=	3.70->3.47	=
284103	0.301	0.00	0.30	on	0.00	=	2.68->2.50	=
281505	0.297	0.00	0.30	on	0.00	=	3.39->2.80	0.0->1.0
54175	0.288	0.00	0.29	on	0.00	-4.30->-15.00	4.30->4.25	=
68978	0.284	0.00	0.28	on	0.00	=	1.25->1.42	=
285311	0.284	0.00	0.28	on	0.00	=	2.34->2.43	=
353223	0.281	0.00	0.28	on	0.00	=	-0.17->0.10	=
405234	0.273	0.00	0.27	on	0.00	=	0.28->0.33	=
348471	0.271	0.00	0.27	on	0.00	=	2.78->2.76	=
59025	0.268	0.00	0.27	on	0.00	=	1.79->2.50	=
281595	0.267	0.00	0.27	on	0.00	=	2.30->2.32	=
288358	0.267	0.00	0.27	on	0.00	=	3.45->3.52	=
