workdir	cluster	raw	stm	tf	nseg	win	cov	d50	ghost	gap50	drop
pr_evt116962	65	77	0	12	1	1	nan	nan	0.0	0.5998576997921954	
pr_evt116962	66	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt116962	67	109	0	10	2	2	nan	nan	0.0	0.0	
pr_evt116962	68	8	0	4	1	0	nan	nan	0.0	0.0	
pr_evt116962	69	68	0	13	1	1	nan	nan	0.0	0.5749904347030477	
pr_evt116962	70	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt116962	71	15	0	4	1	0	nan	nan	0.0	0.0	
pr_evt116962	72	11	0	6	1	1	nan	nan	0.0	0.0	
pr_evt122660	9	2716	0	196	10	10	nan	nan	0.0	0.5995874331571682	
pr_evt122660	13	21	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	14	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	15	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	16	15	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	17	9	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	25	18	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	26	18	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	27	18	0	5	1	1	nan	nan	0.0	0.0	
pr_evt122660	28	15	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	29	24	0	6	1	1	nan	nan	0.0	0.0	
pr_evt122660	30	39	0	8	1	1	nan	nan	0.0	0.2997371390068294	
pr_evt122660	31	2	0	7	1	1	nan	nan	0.0	0.0	
pr_evt122660	32	30	0	7	1	1	nan	nan	0.0	0.0	
pr_evt122660	33	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	34	22	0	5	1	1	nan	nan	0.0	0.0	
pr_evt122660	35	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	36	35	0	8	1	1	nan	nan	0.0	0.24800688498506676	
pr_evt122660	37	15	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	38	23	0	5	1	1	nan	nan	0.0	0.0	
pr_evt122660	39	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	40	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	41	5	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	42	33	0	5	1	1	nan	nan	0.0	0.0	
pr_evt122660	43	10	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	44	16	0	5	1	1	nan	nan	0.0	0.0	
pr_evt122660	45	17	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	46	24	0	6	1	1	nan	nan	0.0	0.0	
pr_evt122660	47	165	0	46	2	2	nan	nan	0.0	0.5999470851492089	
pr_evt122660	50	36	0	8	1	1	nan	nan	0.0	0.2693902791490411	
pr_evt122660	52	747	0	70	5	5	nan	nan	0.0	0.5997701643129462	
pr_evt122660	53	318	0	47	4	4	nan	nan	0.0	0.5997542496723138	
pr_evt122660	54	301	0	26	1	1	nan	nan	0.0	0.5995567112459103	
pr_evt122660	55	683	0	25	1	1	nan	nan	0.0	0.5997981660525368	
pr_evt122660	57	2285	0	129	9	9	nan	nan	0.0	0.5997557919687182	
pr_evt122660	58	170	0	21	1	1	nan	nan	0.0	0.5998065438122477	
pr_evt122660	59	691	0	46	6	6	nan	nan	0.0	0.532686821687965	
pr_evt122660	60	30	0	7	1	1	nan	nan	0.0	0.0	
pr_evt122660	62	29	0	7	1	1	nan	nan	0.0	0.0	
pr_evt122660	63	4	0	4	1	0	nan	nan	0.0	0.0	
pr_evt122660	64	8	0	4	1	0	nan	nan	0.0	0.0	
pr_evt131357	12	1806	0	243	17	17	nan	nan	0.0	0.599612574918173	
pr_evt131357	50	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt131357	51	9	0	4	1	0	nan	nan	0.0	0.0	
pr_evt131357	52	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt131357	53	22	0	5	1	1	nan	nan	0.0	0.0	
pr_evt131357	54	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt131357	55	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt131357	56	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt131357	57	8	0	4	1	0	nan	nan	0.0	0.0	
pr_evt131357	58	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt131357	59	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt131357	60	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt131357	102	121	0	23	3	3	nan	nan	0.0	0.5167106443649191	
pr_evt131357	103	8	0	8	1	1	nan	nan	0.0	0.2916684761848616	
pr_evt131357	104	36	0	7	1	1	nan	nan	0.0	0.0	
pr_evt131357	105	48	0	10	1	1	nan	nan	0.0	0.5994856879025412	
pr_evt131357	106	95	0	15	2	2	nan	nan	0.0	0.5058443337628697	
pr_evt131357	107	7	0	9	1	1	nan	nan	0.0	0.5258300200635145	
pr_evt131357	109	23	0	7	1	1	nan	nan	0.0	0.0	
pr_evt131357	110	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt131357	111	43	0	9	1	1	nan	nan	0.0	0.599441406644563	
pr_evt131357	112	22	0	4	1	0	nan	nan	0.0	0.0	
pr_evt137238	7	1431	0	206	6	6	nan	nan	0.0	0.5996586903912638	
pr_evt137238	38	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt137238	39	24	0	5	1	1	nan	nan	0.0	0.0	
pr_evt137238	40	18	0	4	1	0	nan	nan	0.0	0.0	
pr_evt137238	41	8	0	4	1	0	nan	nan	0.0	0.0	
pr_evt137238	42	30	0	8	2	1	nan	nan	0.0	0.0	
pr_evt137238	43	14	0	9	1	1	nan	nan	0.0	0.5996721520964314	
pr_evt137238	44	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt137238	45	8	0	4	1	0	nan	nan	0.0	0.0	
pr_evt137238	46	25	0	6	1	1	nan	nan	0.0	0.0	
pr_evt137238	47	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt137238	48	26	0	7	1	1	nan	nan	0.0	0.0	
pr_evt137238	49	18	0	5	1	1	nan	nan	0.0	0.0	
pr_evt137238	50	26	0	5	1	1	nan	nan	0.0	0.0	
pr_evt137238	51	19	0	5	1	1	nan	nan	0.0	0.0	
pr_evt137238	144	1438	0	214	10	9	nan	nan	0.0	0.5996792142470833	
pr_evt137238	146	497	0	72	3	3	nan	nan	0.0	0.5996636264606977	
pr_evt138009	12	3214	0	285	12	12	nan	nan	0.0	0.5996775883756377	2/300
pr_evt138009	18	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	30	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	31	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	32	23	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	33	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	34	37	0	8	1	1	nan	nan	0.0	0.26807659353251934	
pr_evt138009	35	32	0	8	1	1	nan	nan	0.0	0.29967574559846566	
pr_evt138009	36	52	0	8	1	1	nan	nan	0.0	0.2891091532622235	
pr_evt138009	37	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	38	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	39	18	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	40	21	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	41	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	42	8	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	43	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	44	16	0	4	1	0	nan	nan	0.0	0.0	
