run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	180801	0.6407408	1.356455	-15.0	-3.2104573	1200.1487	1324.0621		
18261	1	285567	1.1591836	0.9874169						
