event	bucket	shower	matched	n_target	n_actual	n_inter	n_miss	n_extra	comp	pur	q_comp	q_pur	q_f1	q_target	q_actual	q_miss	q_extra	drift	miss	extra
21073	1 under-clustered	60081	60081	45	38	38	7	0	0.8444	1.0000	0.8856	1.0000	0.9393	12441016.8068	11017630.2363	1423386.5705	0	0	31023,31024,33026,34027,57049,64108,64109	
47212	2 over-clustered	2103	105072	24	24	24	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	7507818.6517	7507818.6517	0	0	1		
47212	2 over-clustered	70038	70038	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1217628.4290	1217628.4290	0	0	0		
54332	2 over-clustered	16014	16017	13	5	4	9	1	0.3077	0.8000	0.5727	0.9817	0.7234	4842458.8211	2825207.9597	2069023.6073	51772.7459	2	97060,97062,97063,97064,98066,98067,98068,99069,129113	85047
54332	2 over-clustered	122091	122091	15	5	5	10	0	0.3333	1.0000	0.5762	1.0000	0.7312	3725980.9917	2147031.0339	1578949.9578	0	2	76038,77039,78040,79041,80042,81043,92054,121084,123098,123099	
64591	1 under-clustered	83044	83044	18	19	18	0	1	1.0000	0.9474	1.0000	0.9949	0.9975	4362255.9749	4384430.4459	0	22174.4710	2		67016
76346	1+2 both	14059	14059	15	15	15	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	3630265.0580	3630265.0580	0	0	14		
76346	1+2 both	40030	49048	5	5	5	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1463341.2251	1463341.2251	0	0	6		
84229	2 over-clustered	69134	9034	51	33	33	18	0	0.6471	1.0000	0.5976	1.0000	0.7481	17154348.3388	10250587.4599	6903760.8789	0	17	9058,43074,48079,61095,63097,67102,67107,67108,68109,69134,69135,69136,69137,69140,69149,69150,69151,69154	
105946	1 under-clustered	55063	55063	21	18	16	5	2	0.7619	0.8889	0.8301	0.9857	0.9012	8162144.4533	6873205.6278	1387035.4634	98096.6378	2	35009,53029,53030,53031,54032	37011,50025
105946	1 under-clustered	56056	56056	5	3	3	2	0	0.6000	1.0000	0.8106	1.0000	0.8954	1011390.9283	819784.6960	191606.2323	0	0	39013,50025	
122660	1 under-clustered	9110	9110	47	39	37	10	2	0.7872	0.9487	0.7397	0.8235	0.7793	23378822.7646	21000194.9788	6086014.5967	3707386.8109	2	30032,36038,39041,47049,47050,53069,53070,54071,55073,60104	31033,50052
142421	2 over-clustered	7010	108104	34	47	33	1	14	0.9706	0.7021	0.5440	0.6948	0.6103	12971689.9131	10156944.1690	5914487.0032	3099741.2590	48	7010	48024,50026,51027,52028,56032,64040,72048,79055,107100,107101,108104,108105,108106,108107
166870	1 under-clustered	87058	87058	11	12	11	0	1	1.0000	0.9167	1.0000	0.9936	0.9968	3148129.5546	3168460.2621	0	20330.7075	2		47035
168596	1 under-clustered	14153	14153	61	68	61	0	7	1.0000	0.8971	1.0000	0.9846	0.9922	24949937.2671	25340701.4767	0	390764.2096	27		66088,68090,72094,75097,76098,84106,87109
169626	1 under-clustered	53069	53069	34	30	30	4	0	0.8824	1.0000	0.7981	1.0000	0.8877	10650288.6322	8500522.1853	2149766.4469	0	0	39039,42042,43043,53070	
173093	1 under-clustered	12007	12007	16	15	13	3	2	0.8125	0.8667	0.8188	0.9787	0.8917	4179170.4948	3496267.0945	757261.9368	74358.5365	2	53024,58029,61040	50021,57028
173093	1 under-clustered	18017	18017	6	7	6	0	1	1.0000	0.8571	1.0000	0.9728	0.9862	906198.7955	931494.1223	0	25295.3268	1		69048
269774	1+2 both	13237	13237	43	51	43	0	8	1.0000	0.8431	1.0000	0.8990	0.9468	12457935.4202	13857422.6993	0	1399487.2790	3		19040,67079,68080,96189,96190,100213,108232,109233
269774	1+2 both	97197	97197	16	9	8	8	1	0.5000	0.8889	0.7022	0.9679	0.8140	4700077.9877	3409928.9145	1399487.2790	109338.2059	1	19040,67079,68080,96189,96190,100213,108232,109233	31043
281485	1 under-clustered	88090	88090	7	4	4	3	0	0.5714	1.0000	0.7119	1.0000	0.8317	2007385.7920	1429030.7992	578354.9927	0	2	62041,90104,90105	
284235	1 under-clustered	6004	6004	8	10	8	0	2	1.0000	0.8000	1.0000	0.9643	0.9818	2572504.0730	2667623.9806	0	95119.9076	3		26007,29010
284235	1 under-clustered	74027	74027	8	7	7	1	0	0.8750	1.0000	0.8756	1.0000	0.9337	1927295.6948	1687595.4199	239700.2748	0	1	38019	
314838	2 over-clustered	110088	13019	30	20	20	10	0	0.6667	1.0000	0.7591	1.0000	0.8630	10949864.2973	8311554.9851	2638309.3122	0	8	13010,83027,85029,87031,89033,91035,94038,95039,109070,109071	
342199	1 under-clustered	74101	74101	10	3	3	7	0	0.3000	1.0000	0.5037	1.0000	0.6700	2659116.9499	1339490.1639	1319626.7860	0	0	25035,25037,25038,25108,25109,72098,73099	
347129	1 under-clustered	11000	11000	10	1	1	9	0	0.1000	1.0000	0.7974	1.0000	0.8873	1582853.4206	1262240.8327	320612.5879	0	0	36002,37003,38004,39005,40032,40033,41007,42008,43009	
409634	1 under-clustered	69032	27015	12	10	10	2	0	0.8333	1.0000	0.7653	1.0000	0.8670	2748759.7859	2103502.0199	645257.7660	0	12	69032,69033	
415278	1 under-clustered	23012	24073	44	21	20	24	1	0.4545	0.9524	0.4779	0.9970	0.6461	19171855.0306	9189982.0660	10009314.2028	27441.2383	18	23012,23032,23033,23042,23049,23195,57102,59104,60105,62107,63108,69124,69125,87143,98154,101166,101167,102168,103169,104175,104176,105181,105182,110187	111188
415278	1 under-clustered	23037	56091	48	19	17	31	2	0.3542	0.8947	0.4610	0.9898	0.6290	26752941.1112	12458886.3504	14421078.7403	127023.9795	28	23016,23019,23020,23022,23025,23036,23037,23044,23046,23047,23194,55085,56092,58103,61106,66115,67117,75131,76132,77133,79135,80136,82138,86142,90146,91147,92148,95151,96152,99156,99157	70126,71127
423981	1 under-clustered	12095	12095	23	29	21	2	8	0.9130	0.7241	0.9834	0.9616	0.9724	10100148.0196	10329751.9100	167165.6956	396769.5860	15	63070,64071	44051,48055,51058,60067,68075,69076,70077,71078
444187	1 under-clustered	19079	19079	7	3	3	4	0	0.4286	1.0000	0.6280	1.0000	0.7715	7166954.5141	4500578.1376	2666376.3765	0	0	19039,19067,19082,61074	
463565	1+2 both	13001	13001	41	31	15	26	16	0.3659	0.4839	0.5869	0.8842	0.7055	16384267.3697	10875394.1577	6768781.7949	1259908.5829	16	48040,49041,50042,51043,59051,72064,73065,75067,109073,109074,110075,111079,112080,113081,114084,114086,115088,115090,115092,115094,115099,115100,115101,115102,115103,115106	44036,45037,46038,47039,61053,62054,63055,64056,65057,66058,67059,68060,69061,71063,74066,117108
469665	1 under-clustered	15003	15003	30	27	23	7	4	0.7667	0.8519	0.8839	0.9314	0.9070	10146883.1090	9629736.0273	1177735.8997	660588.8179	9	32007,35010,37012,62073,62074,66042,66048	33008,38013,64032,65040
