run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	10550					930.1763	920.57214		
18255	1	46363	-1.6600738	-1.8802748	-2.2585866	0.77229106	459.3848	709.1768		
18255	1	69314			0.6416987	0.3063533				
18255	1	90055					2524.1604	2515.3738		
18255	1	138009	0.10919368	-0.5677762						
18255	1	168596	-1.7733396	-0.13953008	4.300936	1.838208	3151.395	3243.0479		
18255	1	234638	-0.4119932	-0.04134862						
18255	1	235435	-0.8210341	-0.29449567			837.79034	852.66785		
18255	1	268067	0.17935112	0.0770905	2.6423166	1.5949144	1629.6908	1514.6807		
18255	1	268784	-0.8009352	-0.19022031			2381.8904	1985.818		
18255	1	389538					2399.0913	2353.3894		
18255	1	433451					2958.4583	2767.8005		
18255	1	447477	0.14625134	0.8225585						
18255	1	489330	-0.8780207	-0.36300406						
18259	1	52672	-0.3181827	-0.3825263						
18259	1	74544	-1.9714594	-1.7524383			2828.4585	2326.4805		
18259	1	116962	-0.5726286	-0.8570343	0.09560672	0.49668708	734.37537	792.6108		
18313	1	81597	-1.000318	-0.7499525						
