evt	cid	grp	npts	qfrac	plen	prms	maxd	dvtx	seg	ang	cls	sev	flag	f_m	f_em	f_trk	own_pdg	d_had	hadseg	d_a5	d_sec	xcd	xcn	hit54	a5	cen
174224	20	7	10	0.0008660748306944959	3.2566474049157925	0.19517454103194296	4.406505055313113	43.52708854977665	20009	7.951143278711059	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	115.8	0			-106.2,5.3,233.2
174224	20	4	4	0.00041478371676317426	0.966326480057992	0.06578062229021499	3.440615824238447	153.54545627242638	20009	19.81498110024901	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	28.8	0			-125.2,15.8,340.0
174224	20	10	4	0.0004335321076577135	1.7999999999993193	0.12247275531438004	3.8650289069552892	7.448269605109619	20033	6.913084608427679	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	113.2	0			-102.3,-5.7,197.0
174224	20	0	3	0.000566021399863731	0.3000000000168598	0.08164726299183676	3.6194246780393096	208.77576708603803	20017	16.27967272473823	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	26.1	0			-138.3,17.0,393.8
174224	20	6	3	0.0001654025553084902	2.350774051828844	0.048292754027858494	3.5711543602034297	46.41571347920981	20009	7.961122146352388	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	119.1	0			-107.5,-1.0,236.3
174224	20	11	2	0.0002952327337051317	0.0	1.2295751324518482e-14	3.2157435898404616	5.248940093999913	20033	85.24842357516339	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	113.7	0			-101.4,-5.7,193.9
174224	20	3	1	9.481636753475962e-06	0.0	0.0	3.1359028109939877	194.44848732087786	20017	76.85242532518565	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	14.6	0			-133.0,20.5,379.6
174224	20	9	1	7.769978536765093e-05	0.0	0.0	3.0499863336742954	19.90015493375867	20009	83.05062693033608	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	113.7	0			-103.6,-3.6,208.9
174576	5	0	244	0.10227955965268826	33.44167200781672	0.6677110593273746	8.060418426483823	62.3185514867764	5001	1.3844655531286254	HAD-ADJ	1	1	0.8	0.0	1.0	13:196	62.3	5005	-1.0	3.0	140.3	0			-194.9,-118.0,61.5
174576	5	1	45	0.020413561008293682	10.725407882499876	0.3114179751269674	6.33801522560494	78.94824496725688	5001	19.699473294402615	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	142.4	0			-194.8,-113.9,52.6
174576	5	2	28	0.008423789660328893	16.859993876304923	0.2724486747636694	5.196286543292236	60.10811454712251	5001	2.8654620466604914	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	140.3	0			-194.1,-126.5,46.0
174576	5	3	3	0.00031802339479973464	0.6059428754473679	0.028036294486147802	3.3029887919882577	9.062202312903864	5001	30.575080594289826	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	130.3	0			-182.9,-179.3,19.1
174576	5	4	1	0.00015573379281142618	0.0	0.0	3.273314222619015	4.454398321883663	5005	82.4154655753969	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	129.8	0			-181.5,-184.7,16.3
174928	9	0	1	0.0004404775708453352	0.0	0.0	3.0314318399066864	7.928518461856538	9005	72.90747470190468	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	59.4	0			161.1,113.3,185.2
175808	18	0	6	0.0018640469814350058	3.019746430380449	0.0583018796082971	3.254867180085849	111.20988192260612	18001	4.6141680353742	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	131.1	0			-197.1,-46.7,386.3
277276	8	0	3	0.0020713275439137556	1.0367519289910843	0.14423991049209353	3.5501507306028652	12.716203649281496	8022	36.9560767099832	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	130.7	0			-99.4,-141.6,342.4
277298	17	0	106	0.08924244938465128	12.785604234310906	0.6793400654292315	7.333073027046697	4.26914054582418	17024	68.98394941328249	NEARVTX	1	1	0.92	0.99	0.01	11:96;13:1	3.0	17024	-1.0	-1.0	48.7	0	pr54drop(cid17,npts8,17.1cm,d2.1)	a5(seg17030,d4.8,g0.91,b2.02,v0)	-169.2,-88.1,86.0
277298	17	1	103	0.0684429604347147	12.436767719481047	0.5708243088008311	6.222422986265067	5.350540916580301	17026	3.8192321550214072	NEARVTX	1	1	1.0	1.0	0.0	11:103	5.4	17024	-1.0	-1.0	44.7	0		a5(seg17026,d4.8,g0.80,b1.32,v0)	-169.3,-98.2,92.3
278046	3	0	7	0.006512550438440547	1.8541914572858107	0.1147322878866302	3.9350128335241887	3.7522321356760515	3037	48.76091294581515	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	138.5	0			-104.6,-174.5,248.5
278420	18	2	484	0.126989001959369	33.17446794858657	1.1699523578637283	11.37045498122217	3.242262958182132	18002	3.366179491942826	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	37.1	0			20.9,-32.7,79.0
278420	18	3	304	0.11504539489592071	20.266727000998987	0.6484486830060798	7.906956912112266	3.9678793782069643	18002	3.222948214679989	NEARVTX	1	1	1.0	0.0	1.0	211:304	3.0	18002	-1.0	17.7	48.0	0			20.6,-25.1,69.2
278420	18	0	2	0.00015558358043520835	0.31259999999999977	7.924228990431202e-15	3.1459692957815064	22.907437019448512	18002	88.95608660608947	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	46.9	0			18.7,-41.2,67.0
278420	18	1	1	3.9033111694207815e-05	0.0	0.0	3.134301925469212	7.472881152540837	18002	87.68915590060189	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	53.8	0			23.6,-26.0,73.4
278785	5	0	104	0.05650307808044504	11.564599580784193	0.5906031296502142	7.234248102601948	177.7890993510288	5000	5.464933167279199	TRK-COR	2	1	1.0	0.0	1.0	13:104	165.9	25002	-1.0	-1.0	170.0	0			-128.4,39.9,463.5
278785	5	1	19	0.006953844687244975	5.310136906960741	0.3294307418082074	5.184690722695025	176.06636710073278	5000	12.96848472489416	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	169.4	0			-128.5,41.8,454.2
279256	15	0	461	0.09783268032541384	52.40515267383611	0.9244437638506537	54.99013682381687	27.848817611166194	15004	-1.0	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	19.5	0	pr54drop(cid15,npts19,45.3cm,d0.0)		87.2,-23.5,253.0
280598	15	2	36	0.02747254521952707	4.551594029333777	0.1524596739425119	4.31635054183509	11.182914020951777	15007	23.904783858750005	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	75.7	0		a5(seg15007,d3.8,g0.91,b0.94,v0)	-123.8,154.4,477.4
280598	15	1	18	0.010791847819979881	2.3673819296955574	0.15162845410272985	3.9617290417190336	10.514537032128407	15006	60.169199509762855	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	80.1	0		a5(seg15007,d6.9,g0.91,b0.94,v0)	-128.1,153.4,476.8
280598	15	3	7	0.0050017155390127445	1.0085929222948977	0.09929160937342797	3.609148098928611	13.620074926372473	15007	22.442104431228643	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	77.5	0		a5(seg15007,d3.3,g0.91,b0.94,v0)	-123.7,156.4,482.6
280598	15	0	6	0.0018281802480948264	2.078020008428702	0.17943555479440848	3.5865876540243637	7.211751312961344	15006	9.843585600319605	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	83.2	0		a5(seg15007,d4.5,g0.91,b0.94,v0)	-129.6,160.0,480.9
280598	15	4	4	0.002059206383171945	0.9120664658644821	0.11448275668727273	3.7842012367209055	21.34244269056379	15010	20.60054272422256	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	79.1	0			-122.3,167.1,493.4
280752	13	0	6	0.0031802041633177407	1.280416858200955	0.05099859348453139	3.4038808733561816	3.1452498803751734	13002	5.206350665251994	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	57.3	0			-108.7,-92.1,99.9
280972	7	6	1002	0.19778111131353807	23.712153050250656	1.5600825434371521	8.183291294460917	22.488634984142546	7040	4.3679113230127475	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	47.7	0		a5(seg7040,d5.0,g6.36,b1.02,v0)	58.5,-161.0,116.6
