sample	run	subrun	event	classes	why	sflags	vtx	denu	enu_a	enu_b	numu_a	numu_b	nue_a	nue_b
mcp1k	18259	1	172942	S	selection	numu>0.9		-65.0	616.4235	551.42377	1.4288716	-0.119859956	-2.8568985	-7.213723
mcp1k	18255	1	277298	S	selection	numu>0.9	4.851	-104.8	551.0442	446.2444	-0.17831585	1.4147395	-12.189443	-15.0
mcp1k	18255	1	282231	S	selection	numu>0.9		46.751	422.3443	469.0949	-0.033790566	1.3312658	-15.0	-15.0
mcp1k	18255	1	283515	S	selection	numu>0.9			841.5219	861.5581	-0.5447892	1.1677592	-15.0	-15.0
mcp1k	18255	1	284200	S	selection	numu>0.9			586.7695	592.86664	0.21660143	1.045055	-15.0	-15.0
mcp1k	18255	1	287007	ESV	selection	numu>0.9	103.871	-261.562	528.5319	266.96997	1.0807545	0.6387222	-15.0	-15.0
mcp1k	18255	1	287599	S	selection	numu>0.9	4.641	46.202	399.36316	445.56482	1.6968961	0.8041551	-15.0	-15.0
mcp1k	18255	1	287830	S	selection	numu>0.9			1059.5286	1033.8823	0.7549649	0.96735865	-15.0	-15.0
mcp1k	18255	1	386442	ES	selection	nue>0.7	4.893	282.546	248.77362	531.31915	-1.4281203	-0.40666375	4.1989374	-15.0
mcp1k	18255	1	386948	S	selection	nue>0.7			1173.7134	1166.7042	-0.106651165	-1.1214176	-2.4738631	1.227634
mcp1k	18255	1	390182	ES	selection	numu>0.9	1.228	-540.879	1302.7136	761.83435	0.8386352	2.1432984	-15.0	-15.0
mcp1k	18255	1	390864	S	selection	numu>0.9			709.8892	740.99286	1.3600377	0.4956944	-15.0	-15.0
