event	numu	nue	cosmict	enu	dvtx_cm
122660	0.830->-0.240	4.301->-15.000	=	1708->1627	0.0
163543	-0.389->0.488	-4.301->0.519	=	1256->1696	0.0
168596	-0.028->0.058	4.301->3.753	=	1614->3000	0.0
196649	-1.140->-1.982	=	=	=	0.0
268067	-1.382->-0.070	1.276->4.108	=	1712->1695	0.0
268784	-0.109->-0.776	-15.000->4.301	=	1697->2324	0.0
30504	-0.100->0.216	=	=	1459->1436	0.0
350186	-0.881->-1.031	=	=	=	0.0
360535	-0.153->-0.026	=	=	1962->2246	0.2
38856	-0.695->-0.986	=	=	1505->1659	0.0
400474	0.723->0.110	-15.000->4.301	=	1633->1831	0.0
423981	2.012->-0.655	-15.000->4.301	=	1051->1997	0.0
433451	-0.997->-1.098	=	=	2917->2960	0.0
