event	numu	nue	cosmict	enu	dvtx_cm
166870	0.442->-0.963	-2.312->-15.000	=	503->389	0.1
168432	1.612->1.029	=	=	937->923	0.2
168658	2.112->1.972	=	=	393->350	0.4
169356	2.602->2.610	=	=	1193->1050	0.0
169774	-1.022->-2.077	=	0.0->1.0	68->65	0.5
170792	1.083->1.019	=	=	730->586	0.0
170880	0.546->-2.106	=	=	496->236	0.0
170924	0.957->0.688	=	=	362->359	0.0
171600	3.713->4.301	=	=	939->935	0.2
172266	2.373->2.603	=	=	936->782	0.0
172794	1.708->1.940	=	=	1203->1062	0.0
173058	-1.406->-1.967	=	=	145->115	0.4
174114	2.635->0.878	=	=	694->552	0.3
174928	2.245->1.597	=	=	646->623	0.0
175016	-0.833->-0.525	=	=	156->84	0.1
175896	-0.488->-0.027	=	=	509->372	0.0
277276	1.040->1.701	=	=	958->896	0.0
277298	-0.373->-1.040	=	=	399->395	0.3
278046	0.321->-0.658	-4.301->-15.000	=	585->646	0.0
278420	1.676->1.793	=	=	847->821	0.0
278684	-3.511->-2.679	=	=	764->623	0.8
279643	-1.578->-0.576	=	=	216->84	0.0
280017	-0.570->-1.436	=	=	432->273	0.0
280598	1.529->1.540	=	=	599->583	0.0
280853	0.386->0.400	=	=	709->565	0.0
280972	3.710->3.883	=	=	1957->1816	0.0
281214	2.111->2.197	=	=	522->504	0.0
281595	2.501->2.318	=	=	959->926	0.0
281837	0.556->0.391	-0.037->-4.301	=	1516->1088	0.1
281953	-1.402->-1.536	=	=	472->333	0.9
282204	1.907->1.399	=	=	962->879	0.3
282217	2.921->3.069	=	=	1417->1275	0.0
282385	2.571->2.946	=	=	766->619	0.0
282979	-1.004->-0.652	=	=	546->673	0.1
283091	3.059->3.511	=	=	574->561	0.3
283463	-0.227->-1.021	=	=	288->154	0.0
283595	-0.505->0.606	-4.301->-15.000	=	373->589	0.0
284145	3.367->3.636	-4.301->-15.000	=	1314->1486	0.0
284200	0.697->0.374	=	=	621->604	0.0
284637	1.552->1.333	=	=	337->315	0.0
285069	0.791->0.379	=	=	487->467	0.0
285665	1.016->1.256	=	=	523->413	0.0
285753	-0.601->-1.480	-4.301->-15.000	=	158->292	0.5
286177	-1.977->-0.405	=	=	335->193	0.3
286268	3.080->3.024	=	=	605->592	0.2
286353	-0.262->1.707	=	=	583->787	0.5
286527	0.973->0.921	=	=	332->281	0.0
287517	3.250->3.000	=	=	687->674	0.0
287621	2.559->2.234	=	=	905->892	0.0
288358	2.233->2.537	=	=	623->603	0.0
288639	2.481->2.184	=	=	793->648	0.0
288745	1.021->0.868	=	=	630->617	0.0
289832	1.277->1.547	=	=	643->620	0.7
290729	2.011->2.056	=	=	521->517	0.0
291037	1.213->1.736	=	=	526->384	0.4
291262	3.989->2.783	=	=	539->524	0.3
291548	1.808->1.625	=	=	626->585	0.0
292005	3.178->2.975	=	=	1050->908	0.0
292533	=	=	=	1259->1115	0.0
292643	3.612->3.550	=	=	1080->938	0.0
293149	-0.886->-0.897	=	=	358->355	0.0
313781	-2.307->-2.796	=	=	263->121	0.0
316025	0.866->2.127	-4.301->-15.000	=	584->890	0.6
316311	2.789->2.840	=	=	633->490	0.0
318731	3.591->3.672	=	=	487->472	0.0
319611	1.922->0.208	=	0.0->1.0	603->618	0.0
321371	3.158->3.120	=	=	854->712	0.0
348515	0.456->-0.509	=	=	574->417	1.4
348691	3.280->3.322	-4.301->-15.000	=	2124->2116	0.0
348713	-1.661->-1.843	=	=	400->398	0.8
