event	numu	nue	cosmict	enu	dvtx_cm
166870	-0.963->1.208	=	=	389->1121	0.2
168432	1.029->2.443	=	=	923->969	0.6
170808	1.912->1.912	=	=	798->734	0.0
174114	0.878->1.066	=	1.0->0.0	552->412	0.5
174224	-0.355->2.804	-4.301->-15.000	=	258->830	0.0
174928	1.597->1.710	=	=	623->645	0.0
277276	1.701->2.494	=	=	896->943	0.3
278046	-0.658->-0.805	=	=	646->639	0.0
281214	2.197->1.456	=	=	504->807	0.0
281837	0.391->0.520	-4.301->-15.000	=	1088->1047	0.0
282204	1.399->2.092	=	=	879->770	0.5
283009	0.451->3.356	=	=	381->1120	0.0
284013	2.669->2.819	-15.000->-4.301	=	534->577	0.0
287830	0.833->0.797	=	=	990->1081	0.0
315343	-1.401->-1.107	=	=	385->383	0.1
345633	4.301->2.922	=	=	1064->830	0.0
349945	2.339->1.125	-4.301->-15.000	=	564->608	0.0
388224	2.998->3.927	=	=	734->1426	0.0
390842	0.013->4.301	=	=	26->1152	0.2
402330	-1.359->0.585	=	1.0->0.0	423->406	0.1
406752	0.554->0.162	=	=	210->375	0.1
411460	-1.396->-1.462	=	=	193->193	0.0
55715	0.857->1.227	=	=	368->410	0.0
59335	1.176->2.054	=	0.0->1.0	473->468	0.3
60669	1.165->2.368	=	=	355->629	0.0
61579	=	=	1.0->0.0	807->896	0.2
61843	-2.013->-1.626	=	=	526->605	0.0
62281	-1.664->3.731	=	0.0->1.0	41->233	0.3
64717	0.550->-0.408	=	=	532->527	0.1
66272	-1.178->-0.676	=	=	282->162	0.0
66712	0.957->2.285	=	=	891->757	0.2
73004	1.577->3.649	=	=	653->889	0.0
