==============================================================================
pr/130 item 4 -- q_miss mechanism census
==============================================================================

--- set 98  (adjudicated events removed) ---
kept q_miss total  4.1864e+07   over 142 segment(s) in 21 addressable row(s)
  REROOT       2 row(s)  6.5597e+06   15.7%   142421,409634
  DECLINED     1 seg(s)  1.6903e+06    4.0%
  SIBLING      8 seg(s)  1.2559e+06    3.0%
  SPLIT       43 seg(s)  1.2975e+07   31.0%
  STOLEN      90 seg(s)  1.9384e+07   46.3%
  ADMITTED     0 seg(s)  0.0000e+00    0.0%
  UNTOUCHED    0 seg(s)  0.0000e+00    0.0%
      SPLIT     same-cluster-as-reco 4/43 seg, 4.316e+06 of 1.297e+07
      STOLEN    same-cluster-as-reco 2/90 seg, 1.306e+06 of 1.938e+07
  donor location (pr/128 metric): of the 133 fragment seg / 3.236e+07
      in the MAIN CLUSTER            6 seg  5.6220e+06   17.4%
      holder conn=1                 7 seg  2.9881e+06    9.2%
      holder conn=2                65 seg  1.6067e+07   49.7%
      holder conn=3                40 seg  8.9335e+06   27.6%
      holder conn=4                14 seg  1.7857e+06    5.5%

--- set 141  (adjudicated events removed) ---
kept q_miss total  1.8005e+07   over 44 segment(s) in 22 addressable row(s)
  REROOT       2 row(s)  3.6468e+06   20.3%   52044,397630
  DECLINED     3 seg(s)  2.3450e+06   13.0%
  SIBLING      0 seg(s)  0.0000e+00    0.0%
  SPLIT       20 seg(s)  6.4082e+06   35.6%
  STOLEN      18 seg(s)  3.8757e+06   21.5%
  ADMITTED     0 seg(s)  0.0000e+00    0.0%
  UNTOUCHED    3 seg(s)  1.7297e+06    9.6%
      SPLIT     same-cluster-as-reco 5/20 seg, 2.717e+06 of 6.408e+06
      STOLEN    same-cluster-as-reco 2/18 seg, 1.541e+06 of 3.876e+06
      UNTOUCHED same-cluster-as-reco 3/3 seg, 1.730e+06 of 1.730e+06
  donor location (pr/128 metric): of the 41 fragment seg / 1.201e+07
      in the MAIN CLUSTER            6 seg  3.6144e+06   30.1%
      holder conn=1                 6 seg  2.8365e+06   23.6%
      holder conn=2                20 seg  5.9091e+06   49.2%
      holder conn=3                 4 seg  6.1138e+05    5.1%
      holder conn=4                 8 seg  9.2692e+05    7.7%
      holder conn=(none)              3 seg  1.7297e+06   14.4%

==============================================================================
per-segment detail (kept rows only, by charge)
==============================================================================
set  event    shower  matched  seg     cls                  q    len   pdg  cls# same main  conn held_by    sites
98   314838   110088  110088   13010   SPLIT        2.036e+06   24.5    11    13    1    1     2 13010      -
98   169626   53069   53069    53070   DECLINED     1.690e+06   14.1  2212    53    1    0     - -          in_other_clusters_A
98   122660   9110    9110     47049   STOLEN       1.456e+06   12.7    13    47    0    0     3 47050      in_other_clusters_A
98   122660   9110    9110     54071   SPLIT        1.275e+06   13.8    13    54    0    0     2 54071      -
98   444187   19079   19079    19082   SPLIT        1.246e+06   52.4    11    19    1    1     1 19082      -
98   122660   9110    9110     55073   STOLEN       1.155e+06   13.2    13    55    0    0     2 54071      pass4_angle
98   444187   19079   19079    19067   STOLEN       1.135e+06   10.4    11    19    1    1     1 19082      in_main_cluster
141  284206   10051   10051    10054   SPLIT        1.124e+06   29.1    11    10    1    1     1 10054      -
98   463565   13001   13001    115100  STOLEN       9.442e+05   13.2    11   115    0    0     3 115088     in_other_clusters_A
141  408304   9039    9039     9038    UNTOUCHED    8.979e+05   15.3   211     9    1    1     - -          -
141  54341    101041  101041   34015   DECLINED     8.691e+05   16.5    13    34    0    0     - -          from_vertices
141  181050   15006   15006    69039   STOLEN       8.272e+05   13.4    11    69    1    0     2 68031      pass4_angle_divert
141  54341    96031   96031    96033   DECLINED     8.107e+05   15.9    13    96    1    0     - -          from_vertices
98   84229    69134   69134    9058    SPLIT        7.380e+05    9.6    11     9    1    1     2 9058       -
98   463565   13001   13001    115088  SPLIT        7.325e+05    9.0    11   115    0    0     3 115088     -
98   54332    122091  122091   123098  SPLIT        7.233e+05   12.2    13   123    0    0     4 123098     pass4_angle
98   105946   55063   55063    53029   STOLEN       7.223e+05   14.1    11    53    0    0     2 53030      from_vertices
141  54453    57050   57050    23026   STOLEN       7.135e+05   13.0    11    23    1    0     2 58051      pass4_angle
98   54332    16014   16017    98066   STOLEN       7.078e+05    9.8    13    98    0    0     2 97060      pass4_angle
141  395597   20004   20004    20006   DECLINED     6.652e+05   16.9    13    20    1    1     - -          in_main_cluster
98   21073    60081   60081    57049   STOLEN       6.616e+05   15.9    11    57    0    0     2 31023      pass4_angle
141  284206   10051   10051    10056   SPLIT        6.559e+05   24.8    11    10    1    1     1 10056      -
98   463565   13001   13001    109073  STOLEN       5.586e+05   10.0    11   109    0    0   3,3 109073,114086 in_other_clusters_seg_cone
98   463565   13001   13001    115106  STOLEN       5.198e+05   10.6    11   115    0    0     3 115088     in_other_clusters_A
98   463565   13001   13001    111079  STOLEN       5.159e+05    6.1    11   111    0    0   3,3 109073,114086 in_other_clusters_seg_cone
98   342199   74101   74101    25035   STOLEN       5.132e+05    8.1    11    25    0    0     2 25109      from_vertices
98   122660   9110    9110     47050   SPLIT        5.131e+05   10.8    11    47    0    0     3 47050      -
141  284206   10051   10051    10052   SPLIT        4.910e+05   23.5    11    10    1    1     1 10052      -
141  174771   85085   85085    85058   UNTOUCHED    4.583e+05   14.0    11    85    1    0     - -          -
141  294174   71067   71067    64065   SPLIT        4.214e+05    7.3    11    64    0    0     2 64065      -
98   463565   13001   13001    115103  STOLEN       4.175e+05    7.2    11   115    0    0     3 115088     in_other_clusters_A
98   122660   9110    9110     53069   STOLEN       4.145e+05    5.5    11    53    0    0   3,3 47050,53070 in_other_clusters_A,in_other_clusters_seg_cone
141  348471   60026   60026    38018   SPLIT        4.097e+05    6.0    11    38    0    0     2 38018      -
98   463565   13001   13001    109074  STOLEN       4.089e+05    6.0    11   109    0    0   3,3 109073,114086 in_other_clusters_A,in_other_clusters_seg_cone
141  98844    70063   70063    69062   SPLIT        3.925e+05    6.2    11    69    0    0     2 69062      -
98   469665   15003   15003    62073   SPLIT        3.915e+05    7.8    11    62    0    0     2 62073      -
98   122660   9110    9110     60104   STOLEN       3.907e+05    2.6  2212    60    0    0     3 47050      in_other_clusters_seg_cone
98   342199   74101   74101    25038   STOLEN       3.854e+05    8.1    11    25    0    0     2 25109      from_vertices
98   173093   12007   12007    61040   SPLIT        3.844e+05    6.6    11    61    0    0     2 61040      -
141  54453    57050   57050    23028   UNTOUCHED    3.735e+05    6.3    11    23    1    0     - -          -
98   122660   9110    9110     53070   STOLEN       3.713e+05    6.6    11    53    0    0   3,3 47050,53070 in_other_clusters_seg_cone
98   469665   15003   15003    66042   SPLIT        3.690e+05    3.4    11    66    0    0     2 66042      -
141  289246   63034   63034    77064   STOLEN       3.670e+05    8.0    11    77    0    0     2 77063      from_vertices
141  168432   49028   49028    50029   SPLIT        3.560e+05    5.1    11    50    0    0     2 50029      -
98   463565   13001   13001    115099  STOLEN       3.539e+05    4.6    11   115    0    0     3 115088     in_other_clusters_A
98   269774   97197   97197    96190   SIBLING      3.526e+05    3.3    11    96    0    0     2 13237      pass4_angle
141  54341    101041  101041   34016   STOLEN       3.447e+05    5.4    11    34    0    0     2 34014      from_vertices
98   281485   88090   88090    90104   SPLIT        3.337e+05    3.6    11    90    0    0     2 90104      -
98   269774   97197   97197    96189   SIBLING      3.336e+05    5.1    13    96    0    0     2 13237      pass4_angle
98   469665   15003   15003    66048   STOLEN       3.279e+05    4.4    13    66    0    0     2 66042      from_vertices
141  281325   42039   42039    41036   STOLEN       3.277e+05    5.3    13    41    0    0     4 41034      pass4_angle
