kind	event	arm	id	cluster	pdg	length_cm	energy_mev	gap_cm
B	170761	work-pr125r1-flipS141-mcp2k	31034	31	11	3.2	1.7	-1.00
B	282979	work-pr125r1-flipS141-mcp1k	19009	19	2212	3.1	73.7	-1.00
B	57709	work-pr125r1-flipS141-mcp2k	92026	92	13	2.9	13.1	-1.00
B	287007	work-pr125r1-flipS141-mcp1k	58030	58	11	2.7	15.1	-1.00
B	409140	work-pr125r1-flipS141-mcp2k	17007	17	11	2.7	6.3	-1.00
B	174637	work-pr125r1-flipS98-nuecc48	12046	12	2212	2.4	17.1	-1.00
B	174637	work-pr125r1-flipS98-nuecc48	28053	28	13	2.4	7.4	-1.00
B	389538	work-pr125r1-flipS98-nuecc48	75083	75	13	2.3	6.9	-1.00
B	388	work-pr125r1-flipS98-nuecc48	97179	97	11	2.3	4.3	-1.00
B	292027	work-pr125r1-flipS141-mcp1k	20009	20	11	2.3	0.1	-1.00
B	395870	work-pr125r1-flipS141-mcp2k	53018	53	2212	2.2	103.3	-1.00
B	281567	work-pr125r1-flipS98-mcp2k	14037	14	11	2.2	0.7	-1.00
B	105946	work-pr125r1-flipS98-ncpi0	39013	39	11	2.0	12.2	-1.00
B	293149	work-pr125r1-flipS141-mcp1k	31010	31	13	2.0	6.4	-1.00
B	281567	work-pr125r1-flipS98-mcp2k	65076	65	2212	1.9	7.3	-1.00
B	180801	work-pr125r1-flipS98-ncpi0	23018	23	11	1.8	7.7	-1.00
B	54453	work-pr125r1-flipS141-mcp2k	35036	35	11	1.8	1.4	-1.00
B	401450	work-pr125r1-flipS141-mcp1k	94107	94	11	1.8	1.0	-1.00
B	56982	work-pr125r1-flipS98-ncpi0	51050	51	13	1.7	10.2	-1.00
B	314838	work-pr125r1-flipS98-ncpi0	113094	113	11	1.6	1.8	-1.00
B	486907	work-pr125r1-flipS141-mcp1k	63011	63	11	1.6	2.1	-1.00
B	415278	work-pr125r1-flipS98-mcp2k	110187	110	13	1.6	5.3	-1.00
B	180801	work-pr125r1-flipS98-ncpi0	66028	66	11	1.4	0.9	-1.00
B	486907	work-pr125r1-flipS141-mcp1k	90047	90	13	1.3	9.3	-1.00
B	94392	work-pr125r1-flipS141-mcp2k	12020	12	11	1.2	6.1	-1.00
B	408304	work-pr125r1-flipS141-mcp2k	17011	17	11	1.2	7.8	-1.00
B	170808	work-pr125r1-flipS141-mcp1k	19005	19	11	1.2	2.6	-1.00
B	165157	work-pr125r1-flipS98-mcp2k	43016	43	13	1.1	3.9	-1.00
B	52672	work-pr125r1-flipS98-nuecc48	15018	15	11	1.1	5.4	-1.00
B	408304	work-pr125r1-flipS141-mcp2k	18012	18	11	1.1	2.6	-1.00
B	317939	work-pr125r1-flipS141-mcp1k	31024	31	11	1.0	2.6	-1.00
B	289508	work-pr125r1-flipS141-mcp2k	24019	24	11	1.0	3.6	-1.00
B	72786	work-pr125r1-flipS141-mcp2k	15010	15	11	1.0	0.2	-1.00
B	171572	work-pr125r1-flipS141-mcp2k	72011	72	11	1.0	3.9	-1.00
B	318703	work-pr125r1-flipS141-mcp2k	49048	49	11	1.0	3.6	-1.00
B	487853	work-pr125r1-flipS141-mcp1k	17002	17	11	1.0	2.2	-1.00
B	395870	work-pr125r1-flipS141-mcp2k	24004	24	11	1.0	3.6	-1.00
B	475096	work-pr125r1-flipS98-mcp2k	27027	27	11	0.9	3.2	-1.00
B	64591	work-pr125r1-flipS98-mcp1k	24003	24	11	0.9	1.8	-1.00
B	267597	work-pr125r1-flipS98-nuecc48	11039	11	11	0.9	0.3	-1.00
B	174752	work-pr125r1-flipS98-mcp1k	17001	17	11	0.9	3.7	-1.00
B	282271	work-pr125r1-flipS141-mcp2k	53040	53	11	0.9	0.8	-1.00
B	103798	work-pr125r1-flipS141-mcp2k	50005	50	11	0.9	7.4	-1.00
B	348691	work-pr125r1-flipS141-mcp1k	28025	28	11	0.9	8.7	-1.00
B	350354	work-pr125r1-flipS141-mcp2k	95080	95	11	0.9	2.3	-1.00
B	174771	work-pr125r1-flipS141-mcp2k	96080	96	11	0.9	1.2	-1.00
B	91917	work-pr125r1-flipS141-mcp2k	21015	21	11	0.9	0.8	-1.00
B	114446	work-pr125r1-flipS98-ncpi0	33002	33	11	0.9	5.6	-1.00
B	105946	work-pr125r1-flipS98-ncpi0	57057	57	2212	0.9	60.3	-1.00
B	179611	work-pr125r1-flipS141-mcp2k	75018	75	11	0.9	1.5	-1.00
B	410008	work-pr125r1-flipS141-mcp1k	93021	93	11	0.9	1.8	-1.00
B	84229	work-pr125r1-flipS98-ncpi0	18063	18	11	0.9	0.8	-1.00
B	52693	work-pr125r1-flipS141-mcp2k	46010	46	2212	0.9	4.2	-1.00
B	388	work-pr125r1-flipS98-nuecc48	27066	27	11	0.9	4.8	-1.00
B	318703	work-pr125r1-flipS141-mcp2k	39042	39	2212	0.9	4.4	-1.00
B	412242	work-pr125r1-flipS141-mcp2k	61051	61	11	0.8	1.7	-1.00
B	100135	work-pr125r1-flipS141-mcp2k	45018	45	11	0.8	0.0	-1.00
B	67394	work-pr125r1-flipS141-mcp1k	21014	21	11	0.8	2.4	-1.00
B	256587	work-pr125r1-flipS98-nuecc48	16183	16	2212	0.8	21.9	-1.00
B	76346	work-pr125r1-flipS98-mcp2k	19021	19	2212	0.8	24.0	-1.00
B	395870	work-pr125r1-flipS141-mcp2k	52017	52	11	0.8	1.6	-1.00
B	285567	work-pr125r1-flipS98-ncpi0	123098	123	11	0.8	0.8	-1.00
B	410008	work-pr125r1-flipS141-mcp1k	85013	85	11	0.8	1.4	-1.00
B	283515	work-pr125r1-flipS141-mcp1k	26017	26	11	0.8	2.4	-1.00
B	475096	work-pr125r1-flipS98-mcp2k	30030	30	11	0.8	6.3	-1.00
B	280159	work-pr125r1-flipS141-mcp2k	18013	18	11	0.8	1.8	-1.00
B	54332	work-pr125r1-flipS98-mcp2k	26023	26	11	0.8	3.1	-1.00
B	408678	work-pr125r1-flipS141-mcp2k	45020	45	11	0.8	4.3	-1.00
B	407918	work-pr125r1-flipS141-mcp1k	46016	46	11	0.8	2.4	-1.00
B	359980	work-pr125r1-flipS98-ncpi0	23053	23	2212	0.8	3.8	-1.00
B	284206	work-pr125r1-flipS141-mcp2k	18036	18	11	0.8	0.8	-1.00
B	395123	work-pr125r1-flipS141-mcp2k	52004	52	2212	0.8	3.8	-1.00
B	396323	work-pr125r1-flipS141-mcp2k	38018	38	11	0.8	3.7	-1.00
B	318703	work-pr125r1-flipS141-mcp2k	20035	20	11	0.8	0.6	-1.00
B	412242	work-pr125r1-flipS141-mcp2k	26014	26	11	0.8	3.4	-1.00
B	52605	work-pr125r1-flipS141-mcp2k	18006	18	11	0.8	3.4	-1.00
B	282271	work-pr125r1-flipS141-mcp2k	70057	70	11	0.7	1.6	-1.00
B	163543	work-pr125r1-flipS98-nuecc48	17048	17	11	0.7	4.7	-1.00
B	395870	work-pr125r1-flipS141-mcp2k	51016	51	2212	0.7	20.0	-1.00
B	271851	work-pr125r1-flipS98-nuecc48	26022	26	2212	0.7	9.1	-1.00
B	521075	work-pr125r1-flipS98-ncpi0	26023	26	11	0.7	0.3	-1.00
B	410008	work-pr125r1-flipS141-mcp1k	86014	86	2212	0.7	3.5	-1.00
B	175896	work-pr125r1-flipS141-mcp1k	24004	24	11	0.7	2.9	-1.00
B	259542	work-pr125r1-flipS98-ncpi0	22021	22	11	0.7	4.8	-1.00
B	289508	work-pr125r1-flipS141-mcp2k	22017	22	11	0.7	2.8	-1.00
B	284200	work-pr125r1-flipS141-mcp1k	11015	11	11	0.7	1.1	-1.00
B	284206	work-pr125r1-flipS141-mcp2k	16034	16	11	0.7	2.0	-1.00
B	69314	work-pr125r1-flipS98-nuecc48	29018	29	13	0.7	1.9	-1.00
B	409140	work-pr125r1-flipS141-mcp2k	48015	48	11	0.7	1.9	-1.00
B	75954	work-pr125r1-flipS141-mcp2k	27049	27	11	0.7	1.6	-1.00
B	463565	work-pr125r1-flipS98-ncpi0	26035	26	11	0.7	2.6	-1.00
B	256587	work-pr125r1-flipS98-nuecc48	133294	133	11	0.7	4.1	-1.00
B	396222	work-pr125r1-flipS98-mcp2k	79155	79	11	0.7	2.5	-1.00
B	55740	work-pr125r1-flipS141-mcp2k	68034	68	11	0.7	2.8	-1.00
B	167612	work-pr125r1-flipS141-mcp2k	61025	61	11	0.7	5.0	-1.00
B	447477	work-pr125r1-flipS98-nuecc48	78085	78	11	0.7	0.5	-1.00
B	18625	work-pr125r1-flipS98-ncpi0	37010	37	11	0.7	2.0	-1.00
B	176502	work-pr125r1-flipS98-mcp2k	70033	70	13	0.7	2.8	-1.00
B	168432	work-pr125r1-flipS141-mcp1k	40008	40	2212	0.7	3.4	-1.00
B	415278	work-pr125r1-flipS98-mcp2k	54084	54	11	0.7	2.4	-1.00
B	409140	work-pr125r1-flipS141-mcp2k	46013	46	11	0.7	1.4	-1.00
B	52044	work-pr125r1-flipS141-mcp2k	26014	26	11	0.6	1.3	-1.00
B	347085	work-pr125r1-flipS141-mcp1k	29015	29	11	0.6	1.8	-1.00
B	396222	work-pr125r1-flipS98-mcp2k	14099	14	11	0.6	2.3	-1.00
B	179611	work-pr125r1-flipS141-mcp2k	17004	17	11	0.6	3.5	-1.00
B	54453	work-pr125r1-flipS141-mcp2k	74067	74	11	0.6	1.9	-1.00
B	318769	work-pr125r1-flipS141-mcp2k	73045	73	11	0.6	3.5	-1.00
B	54453	work-pr125r1-flipS141-mcp2k	25032	25	11	0.6	1.8	-1.00
B	286655	work-pr125r1-flipS141-mcp1k	30010	30	11	0.6	2.5	-1.00
B	96383	work-pr125r1-flipS141-mcp2k	21013	21	11	0.6	2.5	-1.00
B	408304	work-pr125r1-flipS141-mcp2k	21015	21	11	0.6	0.3	-1.00
B	423981	work-pr125r1-flipS98-nuecc48	64071	64	2212	0.6	8.6	-1.00
B	292027	work-pr125r1-flipS141-mcp1k	61044	61	11	0.6	1.3	-1.00
B	395870	work-pr125r1-flipS141-mcp2k	40005	40	2212	0.6	3.3	-1.00
B	398191	work-pr125r1-flipS141-mcp2k	29005	29	11	0.6	2.5	-1.00
B	283713	work-pr125r1-flipS141-mcp1k	72056	72	11	0.6	3.0	-1.00
B	94224	work-pr125r1-flipS141-mcp2k	23018	23	11	0.6	3.1	-1.00
B	267597	work-pr125r1-flipS98-nuecc48	32044	32	2212	0.6	4.0	-1.00
B	318769	work-pr125r1-flipS141-mcp2k	80052	80	13	0.6	4.5	-1.00
B	396323	work-pr125r1-flipS141-mcp2k	37017	37	11	0.6	2.8	-1.00
B	412242	work-pr125r1-flipS141-mcp2k	27015	27	2212	0.6	3.5	-1.00
B	408304	work-pr125r1-flipS141-mcp2k	15009	15	11	0.6	3.0	-1.00
B	347129	work-pr125r1-flipS98-mcp1k	21001	21	11	0.6	1.2	-1.00
B	99838	work-pr125r1-flipS98-mcp2k	18009	18	11	0.6	3.7	-1.00
B	167612	work-pr125r1-flipS141-mcp2k	24003	24	11	0.6	1.2	-1.00
B	282979	work-pr125r1-flipS141-mcp1k	58048	58	11	0.6	0.1	-1.00
B	105946	work-pr125r1-flipS98-ncpi0	59059	59	2212	0.6	3.5	-1.00
B	285443	work-pr125r1-flipS141-mcp1k	20004	20	11	0.6	3.1	-1.00
B	318703	work-pr125r1-flipS141-mcp2k	18033	18	2212	0.6	3.2	-1.00
B	267597	work-pr125r1-flipS98-nuecc48	12040	12	2212	0.6	3.3	-1.00
B	176502	work-pr125r1-flipS98-mcp2k	83046	83	13	0.6	13.8	-1.00
B	38856	work-pr125r1-flipS98-nuecc48	66070	66	13	0.6	2.8	-1.00
B	410008	work-pr125r1-flipS141-mcp1k	84012	84	11	0.5	1.7	-1.00
B	283713	work-pr125r1-flipS141-mcp1k	70054	70	11	0.5	1.5	-1.00
B	168596	work-pr125r1-flipS98-nuecc48	21080	21	2212	0.5	2.9	-1.00
B	122660	work-pr125r1-flipS98-nuecc48	13022	13	11	0.5	3.4	-1.00
B	52044	work-pr125r1-flipS141-mcp2k	27015	27	2212	0.5	2.3	-1.00
B	131357	work-pr125r1-flipS98-nuecc48	52037	52	13	0.5	1.9	-1.00
B	292027	work-pr125r1-flipS141-mcp1k	19008	19	11	0.5	1.6	-1.00
B	55740	work-pr125r1-flipS141-mcp2k	64030	64	2212	0.5	4.2	-1.00
B	165157	work-pr125r1-flipS98-mcp2k	13002	13	11	0.5	3.4	-1.00
B	46363	work-pr125r1-flipS98-nuecc48	48095	48	11	0.5	1.1	-1.00
B	444187	work-pr125r1-flipS98-nuecc48	23071	23	11	0.5	3.9	-1.00
B	499423	work-pr125r1-flipS141-mcp2k	21006	21	11	0.5	7.1	-1.00
B	347824	work-pr125r1-flipS141-mcp2k	85019	85	11	0.5	2.4	-1.00
B	122660	work-pr125r1-flipS98-nuecc48	17026	17	11	0.5	1.7	-1.00
B	281781	work-pr125r1-flipS98-mcp2k	21010	21	2212	0.5	3.3	-1.00
