setname	sample	event	labelsrc	theta_deg	e1_lab	e2_lab	e1_prod	e2_prod	ratio1	ratio2	m_lab	m_prod	origin	ledger_clean	accepted
98	ncpi0	21073	base	45.689	756.2	104.7	647.8	99.8	0.857	0.952	218.5	197.4	ncpi0	1	0
98	mcp2k	47212	base	67.06	221.9	65.1	221.9	65.1	1.0	1.0	132.8	132.8	ncpi0	1	1
98	mcp2k	54332	base	61.855	182.5	65.0	190.3	61.9	1.043	0.952	111.9	111.6	ncpi0	1	1
98	mcp1k	64591	base	74.918	298.1	50.7	288.9	50.4	0.969	0.994	149.6	146.8	ncpi0	1	0
98	ncpi0	71372	base	102.712	120.7	65.8	112.4	77.5	0.932	1.177	139.2	145.8	ncpi0	1	1
98	mcp2k	99838	base	67.305	118.3	108.8	166.8	103.6	1.409	0.952	125.8	145.7	ncpi0	0	1
98	ncpi0	105946	base	41.033	604.3	60.3	477.9	44.9	0.791	0.744	133.8	102.7	ncpi0	0	1
98	ncpi0	142421	overlay	23.329	706.5	583.7	672.8	555.9	0.952	0.952	259.6	247.3	ncpi0	1	0
98	mcp2k	165157	overlay	52.771	167.6	127.4	159.6	192.3	0.952	1.51	129.9	155.7	ncpi0	0	0
98	mcp1k	166870	base	90.475	173.8	38.6	168.7	38.6	0.971	1.0	116.3	114.6	ncpi0	1	1
98	mcp1k	169356	base	96.932	100.2	84.9	95.5	84.3	0.952	0.994	138.1	134.3	ncpi0	1	1
98	mcp1k	169626	base	35.172	537.1	107.9	511.5	102.7	0.952	0.952	145.4	138.5	owner	1	1
98	mcp2k	173093	base	95.983	261.2	38.5	213.5	37.0	0.817	0.961	149.0	132.0	ncpi0	1	1
98	mcp2k	176986	overlay	46.008	176.5	120.1	168.1	114.4	0.952	0.952	113.8	108.4	ncpi0	1	0
98	ncpi0	259542	overlay	27.524	993.0	138.7	945.7	132.1	0.952	0.952	176.5	168.1	ncpi0	1	0
98	nuecc48	269774	base	18.528	916.1	250.8	882.8	244.9	0.964	0.977	154.3	149.7	nuecc	1	0
98	mcp1k	278794	base	127.532	200.4	39.2	196.0	38.7	0.978	0.987	159.1	156.2	ncpi0	1	1
98	mcp2k	281165	base	80.853	159.6	81.7	158.0	78.0	0.99	0.955	148.1	144.0	ncpi0	1	1
98	mcp1k	281485	base	93.022	73.4	29.2	69.9	27.9	0.952	0.952	67.2	64.0	ncpi0	1	0
98	mcp1k	281639	base	51.627	149.7	144.5	143.6	140.4	0.959	0.972	128.1	123.7	ncpi0	1	1
98	mcp1k	284235	base	85.151	133.6	87.7	141.5	84.6	1.059	0.964	146.5	148.0	ncpi0	1	1
98	ncpi0	314838	overlay	26.32	693.4	118.6	660.4	112.9	0.952	0.952	130.6	124.3	ncpi0	1	1
98	nuecc48	342199	base	103.576	74.7	126.7	56.7	64.2	0.76	0.507	152.9	94.8	nuecc	0	0
98	mcp1k	347129	base	86.033	143.2	64.5	136.4	61.4	0.952	0.952	131.1	124.9	owner	1	0
98	ncpi0	359980	base	29.208	596.3	163.3	569.2	160.3	0.955	0.982	157.4	152.3	ncpi0	1	0
98	mcp2k	396222	overlay	37.992	2857.4	162.7	2721.4	154.9	0.952	0.952	443.9	422.7	ncpi0	1	0
98	mcp1k	399052	base	43.029	399.5	117.7	380.8	112.1	0.953	0.952	159.0	151.5	ncpi0	1	1
98	mcp1k	409634	base	59.567	180.6	39.1	171.2	37.2	0.948	0.952	83.4	79.3	ncpi0	1	0
98	ncpi0	506114	base	33.32	1715.0	44.8	1677.6	50.8	0.978	1.133	158.9	167.3	ncpi0	1	0
141	mcp1k	54341	base	46.528	341.1	47.6	281.1	23.7	0.824	0.498	100.7	64.5	other_em	0	0
141	mcp1k	56243	base	91.222	120.1	112.2	123.8	106.9	1.031	0.952	165.9	164.4	numucc_em	1	0
141	mcp2k	57709	base	68.15	211.6	98.5	185.8	93.8	0.878	0.952	161.8	147.9	other_em	1	1
141	mcp1k	71178	base	17.986	106.7	63.1	101.6	60.3	0.952	0.956	25.6	24.5	other_em	1	0
141	mcp2k	71872	base	106.506	200.6	19.9	199.4	23.0	0.994	1.158	101.1	108.5	numucc_em	1	0
141	mcp2k	74123	base	98.068	159.6	63.1	152.0	57.4	0.952	0.909	151.6	141.1	numucc_em	1	1
141	mcp2k	91917	base	81.462	213.4	54.5	182.7	51.9	0.856	0.952	140.7	127.1	numucc_em	1	1
141	mcp2k	99782	base	104.091	156.6	64.8	151.0	62.8	0.964	0.969	158.8	153.5	numucc_em	1	1
141	mcp2k	103798	base	38.159	133.0	97.6	128.3	99.1	0.965	1.015	74.5	73.7	other_em	1	0
141	mcp1k	168432	base	18.427	259.1	143.0	246.8	118.6	0.952	0.83	61.6	54.8	numucc_em	1	0
141	mcp2k	242726	base	98.572	116.1	67.8	110.6	64.6	0.952	0.952	134.5	128.1	numucc_em	1	1
141	mcp2k	280159	base	44.14	78.1	129.6	75.9	132.4	0.972	1.022	75.6	75.3	numucc_em	1	0
141	mcp1k	280972	overlay	17.141	625.6	127.3	595.8	121.2	0.952	0.952	84.1	80.1	numucc_em	1	0
141	mcp1k	283713	base	90.565	163.9	27.1	156.1	25.8	0.952	0.952	94.8	90.3	numucc_em	1	1
141	mcp1k	285443	base	104.434	281.3	37.1	268.7	35.3	0.955	0.952	161.5	154.0	numucc_em	1	1
141	mcp1k	286655	overlay	67.783	236.7	201.3	225.4	191.7	0.952	0.952	243.5	231.9	nuecc	1	0
141	mcp1k	292027	base	72.838	259.1	65.5	259.9	62.4	1.003	0.952	154.7	151.2	numucc_em	1	1
141	mcp2k	292524	base	61.313	329.8	38.1	290.8	38.6	0.882	1.013	114.3	108.0	numucc_em	1	1
141	mcp1k	348691	overlay	100.761	324.2	115.1	308.8	109.6	0.952	0.952	297.6	283.5	numucc_em	1	0
141	mcp2k	392901	overlay	55.964	196.6	106.1	187.3	101.1	0.952	0.952	135.5	129.1	other_em	1	1
141	mcp2k	397630	overlay	27.702	128.7	114.0	122.6	108.6	0.952	0.952	58.0	55.2	numucc_em	1	0
141	mcp1k	399118	base	113.043	130.5	55.5	136.7	53.5	1.047	0.965	141.9	142.6	numucc_em	1	1
141	mcp1k	400504	base	91.415	153.5	63.9	146.2	64.4	0.952	1.008	141.8	138.9	numucc_em	1	1
141	mcp2k	403023	base	90.292	131.0	96.8	124.7	95.2	0.952	0.984	159.6	154.5	numucc_em	1	1
141	mcp1k	486907	overlay	37.597	457.7	154.9	435.9	147.5	0.952	0.952	171.6	163.4	other_em	1	0
141	mcp1k	489327	base	77.136	237.2	46.4	345.0	44.1	1.454	0.952	130.8	153.9	numucc_em	0	1
141	mcp2k	499577	base	133.298	103.7	40.8	99.8	38.9	0.963	0.952	119.5	114.4	numucc_em	1	1
