arm	event	rcid	npts	n_inner	n_outer	angle_in_out_deg	imp_inner_cm	imp_outer_cm
work-pr51r6-flip48	111412	18026	53	14	26	6.02	1.120	1.503
work-pr51r6-flip48	131357	12010	27	8	18	1.38	0.113	0.078
work-pr51r6-flip48	131357	12030	23	8	13	2.97	1.135	1.105
work-pr51r6-flip48	137238	143052	33	7	23	1.60	0.126	0.097
work-pr51r6-flip48	137238	143058	25	8	16	5.00	0.157	0.320
work-pr51r6-flip48	138009	12015	26	9	16	8.59	1.239	2.003
work-pr51r6-flip48	138009	12091	53	8	22	3.30	0.112	0.235
work-pr51r6-flip48	163543	14031	21	8	12	6.79	0.478	0.281
work-pr51r6-flip48	168596	14085	30	8	21	5.14	0.683	0.781
work-pr51r6-flip48	172230	5024	19	8	10	3.30	0.038	0.266
work-pr51r6-flip48	172230	5030	31	8	22	3.64	0.283	0.549
work-pr51r6-flip48	174637	9019	19	8	10	3.53	0.005	0.315
work-pr51r6-flip48	174637	9039	44	8	22	3.10	0.108	0.349
work-pr51r6-flip48	214469	16010	140	8	22	1.52	0.062	0.094
work-pr51r6-flip48	214469	16037	47	8	22	0.67	0.053	0.014
work-pr51r6-flip48	219295	15003	147	7	22	1.26	0.117	0.020
work-pr51r6-flip48	234638	10053	131	7	21	1.72	0.295	0.240
work-pr51r6-flip48	234638	10063	43	8	22	7.78	0.442	0.259
work-pr51r6-flip48	235435	2041	57	9	22	20.91	1.504	0.188
work-pr51r6-flip48	239794	2038	31	8	22	1.10	0.130	0.161
work-pr51r6-flip48	239794	2064	45	8	22	1.83	0.046	0.123
work-pr51r6-flip48	246579	19055	36	7	23	2.74	0.083	0.280
work-pr51r6-flip48	256587	11095	50	8	22	2.26	0.036	0.200
work-pr51r6-flip48	256587	11131	51	8	22	8.52	0.173	0.586
work-pr51r6-flip48	267597	5012	134	8	22	0.81	0.079	0.074
work-pr51r6-flip48	267597	5040	27	8	18	4.01	0.097	0.383
work-pr51r6-flip48	268784	13001	192	7	22	4.43	0.244	0.431
work-pr51r6-flip48	269774	87120	42	8	22	2.17	0.363	0.422
work-pr51r6-flip48	271851	23013	21	9	9	29.20	1.583	1.323
work-pr51r6-flip48	271851	23014	25	8	16	18.22	0.207	1.390
work-pr51r6-flip48	342199	20035	67	8	22	2.02	0.053	0.131
work-pr51r6-flip48	342199	20036	26	7	17	4.15	0.121	0.377
work-pr51r6-flip48	388	23031	40	8	22	4.42	0.338	0.728
work-pr51r6-flip48	388	23040	42	8	22	12.60	0.497	0.739
work-pr51r6-flip48	38856	12038	76	8	22	7.73	0.165	0.677
work-pr51r6-flip48	389538	11004	274	8	22	0.31	0.220	0.156
work-pr51r6-flip48	389538	11014	77	8	22	3.61	0.038	0.466
work-pr51r6-flip48	400474	18007	49	8	22	3.25	0.676	0.700
work-pr51r6-flip48	400474	18012	45	9	23	9.72	0.989	0.261
work-pr51r6-flip48	42280	8029	31	8	22	7.49	0.085	0.856
work-pr51r6-flip48	422851	1017	40	7	22	5.47	0.107	0.415
work-pr51r6-flip48	423981	12003	142	8	23	8.36	0.511	0.587
work-pr51r6-flip48	423981	12052	51	8	22	4.95	0.102	0.505
work-pr51r6-flip48	433451	4018	29	8	20	3.41	0.183	0.129
work-pr51r6-flip48	433451	4034	47	8	22	3.88	0.114	0.132
work-pr51r6-flip48	437699	11015	20	8	11	5.26	0.123	0.421
work-pr51r6-flip48	437699	11024	43	9	24	16.00	0.405	0.929
work-pr51r6-flip48	444187	19001	242	7	21	1.34	0.089	0.189
work-pr51r6-flip48	444187	19034	23	8	14	0.42	0.047	0.118
work-pr51r6-flip48	447477	11018	66	8	24	8.25	0.423	0.398
work-pr51r6-flip48	46363	19060	63	9	23	12.58	0.817	0.040
work-pr51r6-flip48	489330	4020	38	8	22	0.74	0.081	0.222
work-pr51r6-flip48	489330	4033	111	8	22	3.29	0.204	0.089
work-pr51r6-flip48	52672	9016	25	8	16	5.24	0.153	0.542
work-pr51r6-flip48	54095	17041	34	8	24	8.67	0.249	0.562
work-pr51r6-flip48	54095	17092	78	8	22	0.86	0.100	0.134
work-pr51r6-flip48	69314	3009	264	8	23	5.97	0.151	0.834
work-pr51r6-flip48	69314	3015	65	8	22	3.27	0.243	0.069
work-pr51r6-flip48	69314	3027	60	8	22	5.76	0.175	0.322
work-pr51r6-flip48	69314	3028	55	8	22	4.88	0.274	0.483
work-pr51r6-flip48	74544	12099	30	8	21	2.84	0.500	0.706
work-pr51r6-flip48	74544	12100	19	7	10	5.53	0.276	0.520
work-pr51r6-flip48	81597	19009	38	8	23	1.67	0.043	0.212
work-pr51r6-flip48	81597	19047	24	8	15	1.37	0.054	0.095
work-pr51r6-flip48	90055	11045	25	8	16	10.95	0.244	0.942
work-pr51r6-flip48	90055	11054	35	9	22	2.91	0.138	0.188
work-pr51r6-flip19	105946	14001	82	7	22	4.06	0.124	0.580
work-pr51r6-flip19	142421	7006	243	8	22	3.28	0.247	0.144
work-pr51r6-flip19	142421	7011	397	9	22	10.80	0.863	0.232
work-pr51r6-flip19	142421	7014	119	8	24	3.02	0.149	0.235
work-pr51r6-flip19	180801	15014	34	10	23	9.55	1.183	0.850
work-pr51r6-flip19	18625	11005	165	8	22	3.90	0.798	0.672
work-pr51r6-flip19	18625	11006	102	8	22	1.19	0.096	0.088
work-pr51r6-flip19	314838	18022	64	8	22	2.98	0.870	0.807
work-pr51r6-flip19	359980	75072	42	8	24	23.92	0.310	2.199
work-pr51r6-flip19	37112	84078	28	8	19	12.39	0.397	1.324
work-pr51r6-flip19	399860	17044	29	8	20	3.11	0.139	0.210
work-pr51r6-flip19	399860	17052	43	8	23	17.71	0.092	1.608
work-pr51r6-flip19	399860	17056	25	8	16	12.12	1.237	1.693
work-pr51r6-flip19	506114	28078	150	8	22	1.33	0.242	0.247
work-pr51r6-flip19	506746	21048	35	8	23	7.54	0.444	0.220
work-pr51r6-flip19	506746	21052	126	9	25	5.55	0.220	0.401
work-pr51r6-flip19	521075	94038	41	8	22	1.49	0.055	0.151
work-pr51r6-flip19	56982	22016	21	8	12	35.55	0.208	2.913
work-pr51r6-flip19	71372	92121	100	9	24	16.48	0.593	0.867
work-pr51r6-flip19	71372	92123	23	7	14	2.72	0.048	0.356
work-pr51r6-flip19	84229	19058	44	7	22	6.61	0.175	0.700
work-pr51r6-flip19	84229	19059	101	8	22	5.90	0.050	0.527
work-pr51r6-flip50	48367	82053	43	9	24	6.06	0.164	0.425
work-pr51r6-flip50	49951	16001	91	8	22	5.48	0.073	0.527
work-pr51r6-flip50	49951	16005	47	8	23	6.72	0.180	0.491
work-pr51r6-flip50	49951	16006	27	8	18	2.05	0.059	0.166
work-pr51r6-flip50	50303	12011	40	8	23	7.36	0.195	0.998
work-pr51r6-flip50	51051	19001	419	8	22	1.09	0.287	0.335
work-pr51r6-flip50	51513	16002	113	8	22	3.89	0.162	0.369
work-pr51r6-flip50	52085	6002	175	7	21	2.33	0.344	0.519
work-pr51r6-flip50	52657	23000	171	8	22	10.12	0.080	0.835
work-pr51r6-flip50	52723	7000	102	8	23	0.47	0.100	0.074
work-pr51r6-flip50	53427	14003	20	8	11	4.42	0.058	0.535
work-pr51r6-flip50	54175	18016	310	8	22	4.41	0.095	0.552
work-pr51r6-flip50	54341	18001	56	8	24	6.43	0.268	0.257
work-pr51r6-flip50	54341	18003	38	8	22	2.61	0.083	0.260
work-pr51r6-flip50	54351	17009	82	8	23	3.25	0.044	0.342
work-pr51r6-flip50	54351	17012	71	8	23	9.83	0.152	0.786
work-pr51r6-flip50	55539	18003	26	10	16	55.37	1.465	3.949
work-pr51r6-flip50	55595	8010	344	8	24	8.76	0.028	0.812
work-pr51r6-flip50	55595	8012	24	7	15	2.93	0.040	0.365
work-pr51r6-flip50	55627	22001	313	8	22	3.11	0.186	0.375
work-pr51r6-flip50	55627	22002	23	8	14	2.59	0.110	0.150
work-pr51r6-flip50	55715	15001	29	8	20	7.61	0.536	0.301
work-pr51r6-flip50	56211	11001	27	8	18	2.16	0.110	0.165
work-pr51r6-flip50	56243	9001	55	8	25	15.48	0.155	1.148
work-pr51r6-flip50	56243	9002	122	8	22	1.69	0.081	0.215
