event	moved_cm	dclick_a	dclick_b	verdict	b1	nue	numu	cosmict
138009	0.70	0.54	1.23	away	0.75	4.30->4.28	0.09->0.11	=
196649	0.17	0.00	0.17	on	0.00	=	-1.98->-1.41	=
360535	0.15	0.16	0.20	on	0.00	=	-0.03->0.12	=
271851	0.14	32.65	32.65	away	31.85	1.32->1.66	-0.51->-0.65	=
350186	0.09	0.00	0.09	on	0.00	=	-1.03->-1.01	=
